data_id,r,method,dataset
0,0.6420084029611148,PCA,lorenz
1,0.689794003012236,PCA,lorenz
2,0.6856908847700204,PCA,lorenz
3,0.7720414434321291,PCA,lorenz
4,0.6186315270408841,PCA,lorenz
5,0.7608624750241425,PCA,lorenz
6,0.7209983322322736,PCA,lorenz
7,0.8780761534689716,PCA,lorenz
8,0.7178685174235581,PCA,lorenz
9,0.614699297530017,PCA,lorenz
10,0.4887561303201976,PCA,lorenz
11,0.7157648680026595,PCA,lorenz
12,0.8491134288045026,PCA,lorenz
13,0.7191614281240344,PCA,lorenz
14,0.63840290859848,PCA,lorenz
15,0.7002241834805342,PCA,lorenz
16,0.6611216222023931,PCA,lorenz
17,0.8601007650289004,PCA,lorenz
18,0.7928570352913786,PCA,lorenz
19,0.6418563676528922,PCA,lorenz
20,0.7681093014106551,PCA,lorenz
21,0.6584930814180623,PCA,lorenz
22,0.7706527643593153,PCA,lorenz
23,0.636537045236862,PCA,lorenz
24,0.7339892139808452,PCA,lorenz
25,0.7568080889691347,PCA,lorenz
26,0.6225405845412899,PCA,lorenz
27,0.8165815369849567,PCA,lorenz
28,0.733186929840811,PCA,lorenz
29,0.6093775017323882,PCA,lorenz
30,0.556079347466173,PCA,lorenz
31,0.3617413871563582,PCA,lorenz
32,0.7615488853325628,PCA,lorenz
33,0.5664464642700711,PCA,lorenz
34,0.5938882894708,PCA,lorenz
35,0.6676046507950824,PCA,lorenz
36,0.7668675809794632,PCA,lorenz
37,0.5487332501731982,PCA,lorenz
38,0.5737753883432456,PCA,lorenz
39,0.7391185177220212,PCA,lorenz
40,0.6065025443527148,PCA,lorenz
41,0.8319539315415416,PCA,lorenz
42,0.7970553838238317,PCA,lorenz
43,0.6710583917260551,PCA,lorenz
44,0.6341102776907891,PCA,lorenz
45,0.6947993000813238,PCA,lorenz
46,0.8074628541615749,PCA,lorenz
47,0.7149597557485126,PCA,lorenz
48,0.7289476646926597,PCA,lorenz
49,0.6458268690588892,PCA,lorenz
