data_id,r,method,dataset
0,0.09264832110840984,Random,lorenz
1,0.10215242243254231,Random,lorenz
2,0.0928883668686865,Random,lorenz
3,0.12286122635546971,Random,lorenz
4,0.10031954503655226,Random,lorenz
5,0.09411601955504043,Random,lorenz
6,0.11046808497473122,Random,lorenz
7,0.0933693445026392,Random,lorenz
8,0.09126300455318118,Random,lorenz
9,0.08937852053617301,Random,lorenz
10,0.09697028194699452,Random,lorenz
11,0.10240428275194502,Random,lorenz
12,0.09359055864300192,Random,lorenz
13,0.10041212185753214,Random,lorenz
14,0.0953866339821579,Random,lorenz
15,0.09443047551953912,Random,lorenz
16,0.0867297138165797,Random,lorenz
17,0.09856836075723534,Random,lorenz
18,0.09290152641709558,Random,lorenz
19,0.10427806941066918,Random,lorenz
20,0.08817973625111795,Random,lorenz
21,0.08559425993814297,Random,lorenz
22,0.09158908361885684,Random,lorenz
23,0.10761702792705959,Random,lorenz
24,0.09670574060488188,Random,lorenz
25,0.1028893636823284,Random,lorenz
26,0.10626417308386774,Random,lorenz
27,0.10066352752996126,Random,lorenz
28,0.10428044305243629,Random,lorenz
29,0.10369218805293286,Random,lorenz
30,0.10458209344440114,Random,lorenz
31,0.08705085453961002,Random,lorenz
32,0.09032622783863224,Random,lorenz
33,0.09437955227313408,Random,lorenz
34,0.08618303932890131,Random,lorenz
35,0.09581915575123295,Random,lorenz
36,0.09935718636112881,Random,lorenz
37,0.12117706346679712,Random,lorenz
38,0.09703488553603086,Random,lorenz
39,0.10125703728245797,Random,lorenz
40,0.09475746149468178,Random,lorenz
41,0.09689564297795751,Random,lorenz
42,0.1032375650267596,Random,lorenz
43,0.07981414027223818,Random,lorenz
44,0.09625200149602008,Random,lorenz
45,0.0865484934046404,Random,lorenz
46,0.09504318745283408,Random,lorenz
47,0.10640388341120904,Random,lorenz
48,0.08237426288761594,Random,lorenz
49,0.10236349479308632,Random,lorenz
