data_id,r,method,dataset
0,0.6492908867275476,SFA,lorenz
1,0.6552866407064042,SFA,lorenz
2,0.6523151385622414,SFA,lorenz
3,0.7432130301968763,SFA,lorenz
4,0.8825612001674568,SFA,lorenz
5,0.7868240645532977,SFA,lorenz
6,0.7154066956857132,SFA,lorenz
7,0.8805678093503252,SFA,lorenz
8,0.6742294495133506,SFA,lorenz
9,0.6674725867540574,SFA,lorenz
10,0.7049620387146511,SFA,lorenz
11,0.632432663758218,SFA,lorenz
12,0.8021385560702058,SFA,lorenz
13,0.6460744561296646,SFA,lorenz
14,0.6951673163615917,SFA,lorenz
15,0.7978880620809891,SFA,lorenz
16,0.8774559519005487,SFA,lorenz
17,0.7543705577366863,SFA,lorenz
18,0.763036234914501,SFA,lorenz
19,0.8569098915540225,SFA,lorenz
20,0.7749419124681569,SFA,lorenz
21,0.6420967237196378,SFA,lorenz
22,0.7393895826855055,SFA,lorenz
23,0.6106932435980639,SFA,lorenz
24,0.6279483952694996,SFA,lorenz
25,0.6478079507559996,SFA,lorenz
26,0.6799699896575094,SFA,lorenz
27,0.9412427290109553,SFA,lorenz
28,0.6857480189520122,SFA,lorenz
29,0.82597773624949,SFA,lorenz
30,0.8287565874223265,SFA,lorenz
31,0.1343017301455328,SFA,lorenz
32,0.8143641947902557,SFA,lorenz
33,0.8080156910025277,SFA,lorenz
34,0.8177789301400353,SFA,lorenz
35,0.8982586465445953,SFA,lorenz
36,0.7619185609037086,SFA,lorenz
37,0.7383728832991049,SFA,lorenz
38,0.5226881923086839,SFA,lorenz
39,0.8365793155286877,SFA,lorenz
40,0.6011893667305799,SFA,lorenz
41,0.8218384893472446,SFA,lorenz
42,0.7872585087989508,SFA,lorenz
43,0.8678807804119022,SFA,lorenz
44,0.7776725985883923,SFA,lorenz
45,0.6721449457354053,SFA,lorenz
46,0.7714760031740684,SFA,lorenz
47,0.6243054617516577,SFA,lorenz
48,0.9554446479280176,SFA,lorenz
49,0.7568571313454283,SFA,lorenz
