data_id,r,method,dataset
0,0.2921018164339143,ShRec,lorenz
1,0.25950128499393527,ShRec,lorenz
2,0.101752921344539,ShRec,lorenz
3,0.09425020820639274,ShRec,lorenz
4,0.35051456586407304,ShRec,lorenz
5,0.3491938415013203,ShRec,lorenz
6,0.21831386133749342,ShRec,lorenz
7,0.1930691496334231,ShRec,lorenz
8,0.7283868870311367,ShRec,lorenz
9,0.61360474723179,ShRec,lorenz
10,0.06388902180585083,ShRec,lorenz
11,0.5127349781319946,ShRec,lorenz
12,0.10537222381894387,ShRec,lorenz
13,0.23269439183707413,ShRec,lorenz
14,0.5693796978512449,ShRec,lorenz
15,0.6811708267903793,ShRec,lorenz
16,0.33799914720649793,ShRec,lorenz
17,0.7803126812655039,ShRec,lorenz
18,0.25017278130501897,ShRec,lorenz
19,0.47872072129828275,ShRec,lorenz
20,0.21144879856896207,ShRec,lorenz
21,0.15537629757673838,ShRec,lorenz
22,0.07192502056006626,ShRec,lorenz
23,0.627368483552154,ShRec,lorenz
24,0.4405477631067371,ShRec,lorenz
25,0.18671514478544016,ShRec,lorenz
26,0.3257002702399894,ShRec,lorenz
27,0.2542583416186146,ShRec,lorenz
28,0.2653588173778744,ShRec,lorenz
29,0.2866129398635326,ShRec,lorenz
30,0.6164708473403449,ShRec,lorenz
31,0.06160802977974414,ShRec,lorenz
32,0.7379827756311514,ShRec,lorenz
33,0.22188179486814114,ShRec,lorenz
34,0.5065649652919411,ShRec,lorenz
35,0.22186498164350316,ShRec,lorenz
36,0.20940841436144994,ShRec,lorenz
37,0.07013875341551445,ShRec,lorenz
38,0.5552770433649188,ShRec,lorenz
39,0.27135124155501833,ShRec,lorenz
40,0.6302521262108967,ShRec,lorenz
41,0.17418921892732547,ShRec,lorenz
42,0.24945172937050192,ShRec,lorenz
43,0.5316750708805011,ShRec,lorenz
44,0.1547811848211806,ShRec,lorenz
45,0.08328739673120665,ShRec,lorenz
46,0.29958890245192116,ShRec,lorenz
47,0.09594551863475038,ShRec,lorenz
48,0.5994375740650368,ShRec,lorenz
49,0.11153910449340043,ShRec,lorenz
