data_id,r,method,dataset
0,0.7128918603937862,ASOM,tentmap
1,0.6806226935913003,ASOM,tentmap
2,0.39605516805213636,ASOM,tentmap
3,0.7940223089147851,ASOM,tentmap
4,0.4926591863834552,ASOM,tentmap
5,0.8137076101096105,ASOM,tentmap
6,0.7371310602384071,ASOM,tentmap
7,0.6319782605274463,ASOM,tentmap
8,0.21262853249574662,ASOM,tentmap
9,0.8075286679683028,ASOM,tentmap
10,0.8761733694574382,ASOM,tentmap
11,0.6247834774338107,ASOM,tentmap
12,0.5719780555901962,ASOM,tentmap
13,0.24031585114126117,ASOM,tentmap
14,0.8926956291111146,ASOM,tentmap
15,0.7602569678844155,ASOM,tentmap
16,0.9110609429674394,ASOM,tentmap
17,0.8827982063042207,ASOM,tentmap
18,0.7860340737441064,ASOM,tentmap
19,0.9151246014768138,ASOM,tentmap
20,0.8712534925351282,ASOM,tentmap
21,0.4162688651870805,ASOM,tentmap
22,0.7356260768730226,ASOM,tentmap
23,0.7655032942497999,ASOM,tentmap
24,0.4906191997130428,ASOM,tentmap
25,0.3590759730693103,ASOM,tentmap
26,0.7290565743690258,ASOM,tentmap
27,0.48947370997403244,ASOM,tentmap
28,0.7922671719814632,ASOM,tentmap
29,0.6566168624285136,ASOM,tentmap
30,0.6905629699316623,ASOM,tentmap
31,0.5424782113426149,ASOM,tentmap
32,0.7865256218005807,ASOM,tentmap
33,0.6065624637937361,ASOM,tentmap
34,0.8377360835968434,ASOM,tentmap
35,0.16975970534876444,ASOM,tentmap
36,0.8220502726615211,ASOM,tentmap
37,0.8556594620799475,ASOM,tentmap
38,0.8711475713279291,ASOM,tentmap
39,0.9066319850107015,ASOM,tentmap
40,0.6797182362381234,ASOM,tentmap
41,0.7887693997294438,ASOM,tentmap
42,0.6156415800592472,ASOM,tentmap
43,0.9035246194617571,ASOM,tentmap
44,0.7721488435700445,ASOM,tentmap
45,0.6720250523234489,ASOM,tentmap
46,0.46065787316365486,ASOM,tentmap
47,0.9244911045590781,ASOM,tentmap
48,0.6790877701301865,ASOM,tentmap
49,0.8133156132247689,ASOM,tentmap
