data_id,r,method,dataset
0,0.6334157355880917,CCA,tentmap
1,0.1104687637150959,CCA,tentmap
2,0.13323763777881717,CCA,tentmap
3,0.51835824078552,CCA,tentmap
4,0.38167815369362745,CCA,tentmap
5,0.3087660042932172,CCA,tentmap
6,0.6504712950393361,CCA,tentmap
7,0.5317254373109623,CCA,tentmap
8,0.6362561565668317,CCA,tentmap
9,0.3356689679476444,CCA,tentmap
10,0.06931232973162961,CCA,tentmap
11,0.2832744989554288,CCA,tentmap
12,0.367613081784578,CCA,tentmap
13,0.6162546793325904,CCA,tentmap
14,0.6382450402200397,CCA,tentmap
15,0.09528017619390244,CCA,tentmap
16,0.4603853852036634,CCA,tentmap
17,0.5108891851778427,CCA,tentmap
18,0.10741845580862008,CCA,tentmap
19,0.5607689795680059,CCA,tentmap
20,0.6069747315920253,CCA,tentmap
21,0.41768369594365673,CCA,tentmap
22,0.4391631195985407,CCA,tentmap
23,0.5957924218506702,CCA,tentmap
24,0.3623206632271367,CCA,tentmap
25,0.6072423959962508,CCA,tentmap
26,0.343869260548291,CCA,tentmap
27,0.5292466903530848,CCA,tentmap
28,0.089412874040264,CCA,tentmap
29,0.1570139985926521,CCA,tentmap
30,0.20724599664947507,CCA,tentmap
31,0.5713091011895974,CCA,tentmap
32,0.2895775005961454,CCA,tentmap
33,0.4425959536205147,CCA,tentmap
34,0.396691541507438,CCA,tentmap
35,0.4928054074404082,CCA,tentmap
36,0.22735499585529975,CCA,tentmap
37,0.1815142880478456,CCA,tentmap
38,0.2635577936464331,CCA,tentmap
39,0.5473581396915546,CCA,tentmap
40,0.5525325447952577,CCA,tentmap
41,0.16240406901471946,CCA,tentmap
42,0.4679065746514097,CCA,tentmap
43,0.42768666647066433,CCA,tentmap
44,0.5113254378427562,CCA,tentmap
45,0.32679181296544246,CCA,tentmap
46,0.48122620648141634,CCA,tentmap
47,0.6168462961393925,CCA,tentmap
48,0.45892223053337344,CCA,tentmap
49,0.5360496102045249,CCA,tentmap
