data_id,r,method,dataset
0,0.5975959029832683,DCA,tentmap
1,0.2658387088853085,DCA,tentmap
2,0.34177551432216974,DCA,tentmap
3,0.44048534685160406,DCA,tentmap
4,0.6626148991803864,DCA,tentmap
5,0.39082140513571045,DCA,tentmap
6,0.5913001600532074,DCA,tentmap
7,0.5009824823627258,DCA,tentmap
8,0.6534223872547766,DCA,tentmap
9,0.4525549568906309,DCA,tentmap
10,0.08109682126761128,DCA,tentmap
11,0.2846268583527841,DCA,tentmap
12,0.3239779324935579,DCA,tentmap
13,0.5555461495285207,DCA,tentmap
14,0.6168038597856589,DCA,tentmap
15,0.180085336495087,DCA,tentmap
16,0.49130547688502496,DCA,tentmap
17,0.48731467692866326,DCA,tentmap
18,0.4550203496273548,DCA,tentmap
19,0.5262840681945895,DCA,tentmap
20,0.6087553257600264,DCA,tentmap
21,0.4169756216815983,DCA,tentmap
22,0.39624479696024245,DCA,tentmap
23,0.5530283082146076,DCA,tentmap
24,0.6109367322728559,DCA,tentmap
25,0.5140887610918146,DCA,tentmap
26,0.3347265352585769,DCA,tentmap
27,0.5529749327139649,DCA,tentmap
28,0.23742940560024917,DCA,tentmap
29,0.2740199137117376,DCA,tentmap
30,0.5615156595684537,DCA,tentmap
31,0.5851830612028057,DCA,tentmap
32,0.5496565947228649,DCA,tentmap
33,0.513797039821732,DCA,tentmap
34,0.4032025243386555,DCA,tentmap
35,0.48284526228313446,DCA,tentmap
36,0.29919035945812084,DCA,tentmap
37,0.1908647766857322,DCA,tentmap
38,0.3520877122909657,DCA,tentmap
39,0.602775514805165,DCA,tentmap
40,0.5541917805455676,DCA,tentmap
41,0.5405884983184989,DCA,tentmap
42,0.537971471310039,DCA,tentmap
43,0.47958145143821573,DCA,tentmap
44,0.5234991366168373,DCA,tentmap
45,0.3985354564926716,DCA,tentmap
46,0.4406006115823505,DCA,tentmap
47,0.5916474125863203,DCA,tentmap
48,0.48018811543548146,DCA,tentmap
49,0.502316806451379,DCA,tentmap
