data_id,r,method,dataset
0,0.6426396199409784,DCCA,tentmap
1,0.20120544642056037,DCCA,tentmap
2,0.27534121570387754,DCCA,tentmap
3,0.40146888432218386,DCCA,tentmap
4,0.8542695365384366,DCCA,tentmap
5,0.3844324481871757,DCCA,tentmap
6,0.6548791061850047,DCCA,tentmap
7,0.5312290512071245,DCCA,tentmap
8,0.683952112172984,DCCA,tentmap
9,0.358149258210657,DCCA,tentmap
10,0.06464666477116592,DCCA,tentmap
11,0.29261791680874943,DCCA,tentmap
12,0.27330694395908756,DCCA,tentmap
13,0.5959008500198278,DCCA,tentmap
14,0.613959696630183,DCCA,tentmap
15,0.13375972771990619,DCCA,tentmap
16,0.3640028621400869,DCCA,tentmap
17,0.520349062594314,DCCA,tentmap
18,0.3334493570844003,DCCA,tentmap
19,0.587597220993339,DCCA,tentmap
20,0.5924387171087119,DCCA,tentmap
21,0.42150656707333306,DCCA,tentmap
22,0.42909519135149754,DCCA,tentmap
23,0.5764437572430221,DCCA,tentmap
24,0.1809948858333181,DCCA,tentmap
25,0.5839673990857864,DCCA,tentmap
26,0.3580122904716064,DCCA,tentmap
27,0.6234523277612983,DCCA,tentmap
28,0.1972042150761462,DCCA,tentmap
29,0.11331091198008926,DCCA,tentmap
30,0.1662745158599256,DCCA,tentmap
31,0.651482946075727,DCCA,tentmap
32,0.4017799806589602,DCCA,tentmap
33,0.3980342504608667,DCCA,tentmap
34,0.40362810286650846,DCCA,tentmap
35,0.5028252862577838,DCCA,tentmap
36,0.20422266078210133,DCCA,tentmap
37,0.15389960967723323,DCCA,tentmap
38,0.26412013550284574,DCCA,tentmap
39,0.5976701415654677,DCCA,tentmap
40,0.5491040285492594,DCCA,tentmap
41,0.39852540790981233,DCCA,tentmap
42,0.41601382553027727,DCCA,tentmap
43,0.47427550408030794,DCCA,tentmap
44,0.5174413042548835,DCCA,tentmap
45,0.3212368104266039,DCCA,tentmap
46,0.38704359231125995,DCCA,tentmap
47,0.5390424302240396,DCCA,tentmap
48,0.5824952022979055,DCCA,tentmap
49,0.588442888451259,DCCA,tentmap
