data_id,r,method,dataset
0,0.6256615733441987,ICA,tentmap
1,0.27598036036316276,ICA,tentmap
2,0.3882469741406964,ICA,tentmap
3,0.5128913417563699,ICA,tentmap
4,0.6744314770995526,ICA,tentmap
5,0.5456608335269117,ICA,tentmap
6,0.6381498832327287,ICA,tentmap
7,0.5362469207510907,ICA,tentmap
8,0.6356817199314108,ICA,tentmap
9,0.5060680401057165,ICA,tentmap
10,0.13255276953612843,ICA,tentmap
11,0.39362955852861553,ICA,tentmap
12,0.4659662204158699,ICA,tentmap
13,0.5273593014767144,ICA,tentmap
14,0.604347493610592,ICA,tentmap
15,0.1563205840885204,ICA,tentmap
16,0.5500978962991061,ICA,tentmap
17,0.5150617196629383,ICA,tentmap
18,0.522684641969489,ICA,tentmap
19,0.4948294329087818,ICA,tentmap
20,0.49499389490316026,ICA,tentmap
21,0.607630661850458,ICA,tentmap
22,0.342470188913357,ICA,tentmap
23,0.5730288244728361,ICA,tentmap
24,0.658769144025885,ICA,tentmap
25,0.5664469481648878,ICA,tentmap
26,0.3956700062490764,ICA,tentmap
27,0.5674235469580633,ICA,tentmap
28,0.2972711307444281,ICA,tentmap
29,0.3638869034938836,ICA,tentmap
30,0.6056329507044426,ICA,tentmap
31,0.5890483675182886,ICA,tentmap
32,0.5734724011153114,ICA,tentmap
33,0.48576786605390565,ICA,tentmap
34,0.43703934411998474,ICA,tentmap
35,0.39008867899238314,ICA,tentmap
36,0.3148138680485153,ICA,tentmap
37,0.19086217423308166,ICA,tentmap
38,0.3416260400722738,ICA,tentmap
39,0.6060905746055493,ICA,tentmap
40,0.5815002937286337,ICA,tentmap
41,0.5456243732652984,ICA,tentmap
42,0.5606723580464953,ICA,tentmap
43,0.550675195587234,ICA,tentmap
44,0.5859239928061774,ICA,tentmap
45,0.4747693781477875,ICA,tentmap
46,0.5000773709588583,ICA,tentmap
47,0.6100998432899881,ICA,tentmap
48,0.5798912678828948,ICA,tentmap
49,0.4617825720847328,ICA,tentmap
