data_id,r,duration,method,dataset
0,0.6298207714741865,NaN,KPCA,tentmap
1,0.27176400202866163,NaN,KPCA,tentmap
2,0.3987308146451162,NaN,KPCA,tentmap
3,0.14906228686719214,NaN,KPCA,tentmap
4,0.6464050312205216,NaN,KPCA,tentmap
5,0.04616335487715219,NaN,KPCA,tentmap
6,0.6514871645486845,NaN,KPCA,tentmap
7,0.5308828666509161,NaN,KPCA,tentmap
8,0.6814229226519478,NaN,KPCA,tentmap
9,0.354371818266496,NaN,KPCA,tentmap
10,0.06235812484910832,NaN,KPCA,tentmap
11,0.03255152093909945,NaN,KPCA,tentmap
12,0.03711527856435902,NaN,KPCA,tentmap
13,0.5887966933853086,NaN,KPCA,tentmap
14,0.5619883830918252,NaN,KPCA,tentmap
15,0.240896345155349,NaN,KPCA,tentmap
16,0.5677493654875752,NaN,KPCA,tentmap
17,0.4074466066713913,NaN,KPCA,tentmap
18,0.057713696494079925,NaN,KPCA,tentmap
19,0.584786071016488,NaN,KPCA,tentmap
20,0.5703736402936573,NaN,KPCA,tentmap
21,0.2500708220929552,NaN,KPCA,tentmap
22,0.28436250420912845,NaN,KPCA,tentmap
23,0.4941399711831917,NaN,KPCA,tentmap
24,0.6348831658891186,NaN,KPCA,tentmap
25,0.5205271820891884,NaN,KPCA,tentmap
26,0.38471565669788355,NaN,KPCA,tentmap
27,0.6230847725428067,NaN,KPCA,tentmap
28,0.2885953227453216,NaN,KPCA,tentmap
29,0.15066233229114548,NaN,KPCA,tentmap
30,0.600480376219546,NaN,KPCA,tentmap
31,0.6714637674435818,NaN,KPCA,tentmap
32,0.13801950051512693,NaN,KPCA,tentmap
33,0.14639623636513527,NaN,KPCA,tentmap
34,0.39714569968704144,NaN,KPCA,tentmap
35,0.5050468278306414,NaN,KPCA,tentmap
36,0.18857338345288907,NaN,KPCA,tentmap
37,0.06418729760015587,NaN,KPCA,tentmap
38,0.06839417050563981,NaN,KPCA,tentmap
39,0.6580817224314273,NaN,KPCA,tentmap
40,0.5319711001010279,NaN,KPCA,tentmap
41,0.5429644700214021,NaN,KPCA,tentmap
42,0.046478937601918256,NaN,KPCA,tentmap
43,0.49956380323624977,NaN,KPCA,tentmap
44,0.41081749701129133,NaN,KPCA,tentmap
45,0.07058640651865325,NaN,KPCA,tentmap
46,0.05859980297394329,NaN,KPCA,tentmap
47,0.40863018725725436,NaN,KPCA,tentmap
48,0.29279948010587914,NaN,KPCA,tentmap
49,0.5475777328387305,NaN,KPCA,tentmap
