data_id,r,method,dataset
0,0.913147419081852,MaCo,tentmap
1,0.35046047117160684,MaCo,tentmap
2,0.44553668209943426,MaCo,tentmap
3,0.7109564874699063,MaCo,tentmap
4,0.9273161783636208,MaCo,tentmap
5,0.8921028009807328,MaCo,tentmap
6,0.8691090931754284,MaCo,tentmap
7,0.8873149389200924,MaCo,tentmap
8,0.8883007314707254,MaCo,tentmap
9,0.8197175987278411,MaCo,tentmap
10,0.8968501258144804,MaCo,tentmap
11,0.8470716783507514,MaCo,tentmap
12,0.9206176679543736,MaCo,tentmap
13,0.8484601847971566,MaCo,tentmap
14,0.6282014624148551,MaCo,tentmap
15,0.8708283289513722,MaCo,tentmap
16,0.8231964570015614,MaCo,tentmap
17,0.5230706413312413,MaCo,tentmap
18,0.9292521091290848,MaCo,tentmap
19,0.8434011093056533,MaCo,tentmap
20,0.8737057827457319,MaCo,tentmap
21,0.8502926183323438,MaCo,tentmap
22,0.2132700091542941,MaCo,tentmap
23,0.874121598641248,MaCo,tentmap
24,0.9295744478490099,MaCo,tentmap
25,0.8974812155146399,MaCo,tentmap
26,0.5132879716066447,MaCo,tentmap
27,0.894664836375585,MaCo,tentmap
28,0.7757124516017069,MaCo,tentmap
29,0.7686169216427652,MaCo,tentmap
30,0.9223310039893693,MaCo,tentmap
31,0.9085608465990236,MaCo,tentmap
32,0.9010720521792311,MaCo,tentmap
33,0.8901273433242083,MaCo,tentmap
34,0.8585406689868669,MaCo,tentmap
35,0.8367957838516449,MaCo,tentmap
36,0.8783490810273792,MaCo,tentmap
37,0.8018457030963222,MaCo,tentmap
38,0.8478732995994368,MaCo,tentmap
39,0.8263883216222812,MaCo,tentmap
40,0.8944608390204666,MaCo,tentmap
41,0.8947887195341441,MaCo,tentmap
42,0.8052422423500892,MaCo,tentmap
43,0.8154997138483704,MaCo,tentmap
44,0.8714541571244006,MaCo,tentmap
45,0.7393835246965392,MaCo,tentmap
46,0.8857770151526762,MaCo,tentmap
47,0.895175817570996,MaCo,tentmap
48,0.6653456114317816,MaCo,tentmap
49,0.809498447222242,MaCo,tentmap
