data_id,r,duration,method,dataset
0,0.6150744115451903,NaN,KPCA,tentmap
1,0.2677519241245107,NaN,KPCA,tentmap
2,0.38729061886538224,NaN,KPCA,tentmap
3,0.16486029590255524,NaN,KPCA,tentmap
4,0.665817607886053,NaN,KPCA,tentmap
5,0.07092549047760437,NaN,KPCA,tentmap
6,0.6393581376882082,NaN,KPCA,tentmap
7,0.534095844975619,NaN,KPCA,tentmap
8,0.6400254544202361,NaN,KPCA,tentmap
9,0.35107284354766366,NaN,KPCA,tentmap
10,0.13168654023773693,NaN,KPCA,tentmap
11,0.05900361856820333,NaN,KPCA,tentmap
12,0.06941062011043944,NaN,KPCA,tentmap
13,0.5836460304627217,NaN,KPCA,tentmap
14,0.5541533342943942,NaN,KPCA,tentmap
15,0.1926759742185448,NaN,KPCA,tentmap
16,0.554609906590453,NaN,KPCA,tentmap
17,0.41950332198949336,NaN,KPCA,tentmap
18,0.13022630964757043,NaN,KPCA,tentmap
19,0.5907751583349184,NaN,KPCA,tentmap
20,0.5476414269483586,NaN,KPCA,tentmap
21,0.2532658930144331,NaN,KPCA,tentmap
22,0.308308432331993,NaN,KPCA,tentmap
23,0.515129253801549,NaN,KPCA,tentmap
24,0.6549528566944688,NaN,KPCA,tentmap
25,0.5240202760032827,NaN,KPCA,tentmap
26,0.3389277512909478,NaN,KPCA,tentmap
27,0.6206520423880199,NaN,KPCA,tentmap
28,0.27134413869336343,NaN,KPCA,tentmap
29,0.11791358237250106,NaN,KPCA,tentmap
30,0.6059754655178441,NaN,KPCA,tentmap
31,0.6560047050092633,NaN,KPCA,tentmap
32,0.12467513898330777,NaN,KPCA,tentmap
33,0.07812554179208277,NaN,KPCA,tentmap
34,0.4060582323001118,NaN,KPCA,tentmap
35,0.5056083831041198,NaN,KPCA,tentmap
36,0.22930499897020462,NaN,KPCA,tentmap
37,0.09746192432723416,NaN,KPCA,tentmap
38,0.12466554480182288,NaN,KPCA,tentmap
39,0.6197379972614637,NaN,KPCA,tentmap
40,0.49923709515418446,NaN,KPCA,tentmap
41,0.5519513917842568,NaN,KPCA,tentmap
42,0.06812056077838322,NaN,KPCA,tentmap
43,0.47608674312447136,NaN,KPCA,tentmap
44,0.4198510238010669,NaN,KPCA,tentmap
45,0.09787528379856063,NaN,KPCA,tentmap
46,0.11201551887659701,NaN,KPCA,tentmap
47,0.42342799004704745,NaN,KPCA,tentmap
48,0.287337198524598,NaN,KPCA,tentmap
49,0.5616689295996509,NaN,KPCA,tentmap
