data_id,r,method,dataset
0,0.6212408898710547,PCA,tentmap
1,0.2648195289996779,PCA,tentmap
2,0.3765063802909989,PCA,tentmap
3,0.17604218984582867,PCA,tentmap
4,0.6585880970543672,PCA,tentmap
5,0.05093552826356654,PCA,tentmap
6,0.6541823270155713,PCA,tentmap
7,0.531287799531623,PCA,tentmap
8,0.6779832908644777,PCA,tentmap
9,0.35237883838222245,PCA,tentmap
10,0.08086810371209811,PCA,tentmap
11,0.04119837971901595,PCA,tentmap
12,0.047397653690879116,PCA,tentmap
13,0.5797779631694127,PCA,tentmap
14,0.5602772910157018,PCA,tentmap
15,0.1988860322534884,PCA,tentmap
16,0.5637092218471933,PCA,tentmap
17,0.4142918806784157,PCA,tentmap
18,0.09233638403753695,PCA,tentmap
19,0.5870374329024124,PCA,tentmap
20,0.5638628271693736,PCA,tentmap
21,0.25044637874720216,PCA,tentmap
22,0.29118442692831714,PCA,tentmap
23,0.5199875560937677,PCA,tentmap
24,0.6546496957639842,PCA,tentmap
25,0.5214929092329597,PCA,tentmap
26,0.3427639831192023,PCA,tentmap
27,0.63941728259859,PCA,tentmap
28,0.24749903105859306,PCA,tentmap
29,0.13033297104894082,PCA,tentmap
30,0.5969219853294294,PCA,tentmap
31,0.662583076981351,PCA,tentmap
32,0.11583850374344168,PCA,tentmap
33,0.11673997071111322,PCA,tentmap
34,0.39796646703363703,PCA,tentmap
35,0.5121255581880407,PCA,tentmap
36,0.17333732194123397,PCA,tentmap
37,0.08303596387777282,PCA,tentmap
38,0.0690129680958789,PCA,tentmap
39,0.6294494380156928,PCA,tentmap
40,0.5232115777606587,PCA,tentmap
41,0.5386724481470018,PCA,tentmap
42,0.06746202538427058,PCA,tentmap
43,0.49280157630791177,PCA,tentmap
44,0.40497227998523194,PCA,tentmap
45,0.08035414529001154,PCA,tentmap
46,0.0799136203619222,PCA,tentmap
47,0.4215071726842681,PCA,tentmap
48,0.2938998874544773,PCA,tentmap
49,0.5548421959432455,PCA,tentmap
