data_id,r,method,dataset
0,0.03605262494572635,Random,tentmap
1,0.036151930154481905,Random,tentmap
2,0.03388847434605205,Random,tentmap
3,0.03716908673292706,Random,tentmap
4,0.03408476730916996,Random,tentmap
5,0.03867494615360538,Random,tentmap
6,0.03626640198245879,Random,tentmap
7,0.03520349888190358,Random,tentmap
8,0.03796549122247158,Random,tentmap
9,0.038648804071320646,Random,tentmap
10,0.03228510005272951,Random,tentmap
11,0.040969403224290483,Random,tentmap
12,0.03042275768246804,Random,tentmap
13,0.03506023829118663,Random,tentmap
14,0.038412593334174294,Random,tentmap
15,0.037390583081871834,Random,tentmap
16,0.037095827792118355,Random,tentmap
17,0.03443268997297282,Random,tentmap
18,0.03267350362067602,Random,tentmap
19,0.03278447484603367,Random,tentmap
20,0.03497217585864126,Random,tentmap
21,0.03501039625652822,Random,tentmap
22,0.03639350054334141,Random,tentmap
23,0.03483042905562651,Random,tentmap
24,0.03589185504169161,Random,tentmap
25,0.03542546107432707,Random,tentmap
26,0.036130655956992386,Random,tentmap
27,0.0375387218956995,Random,tentmap
28,0.03576251416589844,Random,tentmap
29,0.035291329610496844,Random,tentmap
30,0.03620574120330718,Random,tentmap
31,0.04438711275847925,Random,tentmap
32,0.03600905994436684,Random,tentmap
33,0.032438492949405665,Random,tentmap
34,0.03507359264124859,Random,tentmap
35,0.032918649639059196,Random,tentmap
36,0.03374852947606768,Random,tentmap
37,0.03394987423043193,Random,tentmap
38,0.03294246962405922,Random,tentmap
39,0.031821796520069265,Random,tentmap
40,0.0429828018945679,Random,tentmap
41,0.04186848249829623,Random,tentmap
42,0.038168943949550165,Random,tentmap
43,0.03487466409950179,Random,tentmap
44,0.03539480039242228,Random,tentmap
45,0.04456576191324428,Random,tentmap
46,0.032745576851913816,Random,tentmap
47,0.033180751002873154,Random,tentmap
48,0.037217801513436996,Random,tentmap
49,0.034549127504047546,Random,tentmap
