data_id,r,method,dataset
0,0.0460464167021037,SFA,tentmap
1,0.08030183171908849,SFA,tentmap
2,0.02452668632599666,SFA,tentmap
3,0.03941901898116201,SFA,tentmap
4,0.08396977675783954,SFA,tentmap
5,0.05837464238059365,SFA,tentmap
6,0.032496231982346656,SFA,tentmap
7,0.09726298854488773,SFA,tentmap
8,0.0358767731816394,SFA,tentmap
9,0.0666782500008611,SFA,tentmap
10,0.041586712387213905,SFA,tentmap
11,0.08904067105544948,SFA,tentmap
12,0.05762018788937466,SFA,tentmap
13,0.030582450243836972,SFA,tentmap
14,0.020131982813243462,SFA,tentmap
15,0.016578467350495077,SFA,tentmap
16,0.08129823692695906,SFA,tentmap
17,0.03929404168246092,SFA,tentmap
18,0.03762881257383374,SFA,tentmap
19,0.09874999878776626,SFA,tentmap
20,0.01966727327157849,SFA,tentmap
21,0.04625521270409793,SFA,tentmap
22,0.07752568989509065,SFA,tentmap
23,0.0233543734525746,SFA,tentmap
24,0.09993400456753555,SFA,tentmap
25,0.023321841894404467,SFA,tentmap
26,0.027257663022265417,SFA,tentmap
27,0.053406586352460914,SFA,tentmap
28,0.08011047309342702,SFA,tentmap
29,0.02305906683467892,SFA,tentmap
30,0.11801305051882598,SFA,tentmap
31,0.07334614771840393,SFA,tentmap
32,0.020154399215062003,SFA,tentmap
33,0.03217092198052545,SFA,tentmap
34,0.07798852875742181,SFA,tentmap
35,0.035432269788290775,SFA,tentmap
36,0.019049086157359674,SFA,tentmap
37,0.038119905837074176,SFA,tentmap
38,0.026932151430387744,SFA,tentmap
39,0.07799638100648128,SFA,tentmap
40,0.03081344566816207,SFA,tentmap
41,0.027354285336360043,SFA,tentmap
42,0.06509596554399687,SFA,tentmap
43,0.06937118168668052,SFA,tentmap
44,0.03433558658178531,SFA,tentmap
45,0.015144322095739779,SFA,tentmap
46,0.018200318041576437,SFA,tentmap
47,0.03965120102279676,SFA,tentmap
48,0.06682304834146613,SFA,tentmap
49,0.044493365887069626,SFA,tentmap
