data_id,r,method,dataset
0,0.6315509321223607,ShRec,tentmap
1,0.243557992475036,ShRec,tentmap
2,0.412594730322525,ShRec,tentmap
3,0.09912622744456982,ShRec,tentmap
4,0.7285831006344862,ShRec,tentmap
5,0.0801058441996007,ShRec,tentmap
6,0.7135218122539166,ShRec,tentmap
7,0.5044787186538439,ShRec,tentmap
8,0.7012029254273299,ShRec,tentmap
9,0.30056562667377945,ShRec,tentmap
10,0.09902381548138835,ShRec,tentmap
11,0.060449138580394156,ShRec,tentmap
12,0.06424186970895264,ShRec,tentmap
13,0.7357100860302294,ShRec,tentmap
14,0.5266531151215336,ShRec,tentmap
15,0.18217419288679265,ShRec,tentmap
16,0.6281529523409339,ShRec,tentmap
17,0.35470642592654483,ShRec,tentmap
18,0.09020319175869783,ShRec,tentmap
19,0.5808070016734387,ShRec,tentmap
20,0.5656968669393414,ShRec,tentmap
21,0.20395307629396833,ShRec,tentmap
22,0.2638655918826236,ShRec,tentmap
23,0.47297996448291174,ShRec,tentmap
24,0.6586892436483017,ShRec,tentmap
25,0.5308101104775775,ShRec,tentmap
26,0.34771659163407226,ShRec,tentmap
27,0.7073771684506468,ShRec,tentmap
28,0.29027123474995,ShRec,tentmap
29,0.7015984409656638,ShRec,tentmap
30,0.5915881428366722,ShRec,tentmap
31,0.6581414633378317,ShRec,tentmap
32,0.09026563600875846,ShRec,tentmap
33,0.1294368423960209,ShRec,tentmap
34,0.39146844825978283,ShRec,tentmap
35,0.6246831496622746,ShRec,tentmap
36,0.2579636945651699,ShRec,tentmap
37,0.09629816749462705,ShRec,tentmap
38,0.12869741607307955,ShRec,tentmap
39,0.6913747945128441,ShRec,tentmap
40,0.6587514935435818,ShRec,tentmap
41,0.546833058238024,ShRec,tentmap
42,0.0698980012277046,ShRec,tentmap
43,0.6398815574612254,ShRec,tentmap
44,0.4894770089823022,ShRec,tentmap
45,0.1158449974271851,ShRec,tentmap
46,0.1017822504410946,ShRec,tentmap
47,0.3204662605328919,ShRec,tentmap
48,0.18022286388464806,ShRec,tentmap
49,0.6156446569915708,ShRec,tentmap
