,dataset,method,median,mad
0,logmap,ASOM,0.8209684331565232,0.035506460258036276
1,logmap,CCA,0.7324158768479629,0.03695092465329697
2,logmap,DCA,0.7045718597220701,0.03729283013215012
3,logmap,DCCA,0.8037474309827983,0.05990284419794012
4,logmap,ICA,0.6889377113787947,0.03845503822927898
5,logmap,MaCo,0.972705000127702,0.004612694120436189
6,logmap,PCA,0.7126379565930947,0.051560575777117146
7,logmap,Random,0.035303712750340846,0.0019448996719347543
8,logmap,SFA,0.0700535013084776,0.032447945515450896
9,logmap,ShRec,0.7250358096275992,0.05240171152261458
10,tentmap,ASOM,0.854114358426507,0.06773569891812026
11,tentmap,CCA,0.44415605945753434,0.12367038670550529
12,tentmap,DCA,0.4888937659350266,0.0894390838926066
13,tentmap,DCCA,0.3999297867719037,0.14378536767667632
14,tentmap,ICA,0.5247159899924555,0.07172767607054481
15,tentmap,MaCo,0.8639859877942437,0.03946536989791588
16,tentmap,PCA,0.3742620863493107,0.20590950002103636
17,tentmap,Random,0.14400678844987774,0.026884378178184593
18,tentmap,SFA,0.0817006638329152,0.04622705406211375
19,tentmap,ShRec,0.42483690854152045,0.2711839163552078
