,dataset,method,length,median,mad
0,logmap,ASOM,long,0.8209684331565232,0.035506460258036276
1,logmap,ASOM,short,0.7922124445698536,0.041018509904449274
2,logmap,CCA,long,0.7324158768479629,0.03695092465329697
3,logmap,CCA,short,0.7335258318417406,0.038277046638327206
4,logmap,DCA,long,0.7045718597220701,0.03729283013215012
5,logmap,DCA,short,0.7039338814489239,0.04130786810606757
6,logmap,DCCA,long,0.8037474309827983,0.05990284419794012
7,logmap,DCCA,short,0.7349402856725951,0.04438506812804255
8,logmap,ICA,long,0.6889377113787947,0.03845503822927898
9,logmap,ICA,short,0.6948850697877258,0.04092415006357797
10,logmap,KPCA,long,0.709788790946559,0.05127411410562993
11,logmap,KPCA,short,0.7145404663136851,0.048100714327725225
12,logmap,PCA,long,0.7126379565930947,0.051560575777117146
13,logmap,PCA,short,0.7159494612106713,0.04987500027033631
14,logmap,Random,long,0.035303712750340846,0.0019448996719347543
15,logmap,Random,short,0.04880867655785475,0.0035840157980946974
16,logmap,SFA,long,0.0700535013084776,0.032447945515450896
17,logmap,SFA,short,0.1430541724274521,0.04346292848197579
18,logmap,SOM,long,0.37214962536818036,0.11006122443618513
19,logmap,SOM,short,0.4225865917378143,0.10896418452171819
20,logmap,ShRec,long,0.7250358096275992,0.05240171152261458
21,logmap,ShRec,short,0.6740648281095969,0.05853996399640082
22,tentmap,ASOM,long,0.854114358426507,0.06773569891812026
23,tentmap,ASOM,short,0.7363785685557149,0.1154379923230684
24,tentmap,CCA,long,0.44415605945753434,0.12367038670550529
25,tentmap,CCA,short,0.4408795366095277,0.12515950376927393
26,tentmap,DCA,long,0.4888937659350266,0.0894390838926066
27,tentmap,DCA,short,0.4944202467518504,0.08831825490218809
28,tentmap,DCCA,long,0.3999297867719037,0.14378536767667632
29,tentmap,DCCA,short,0.42842347153508276,0.12542869817163083
30,tentmap,ICA,long,0.5247159899924555,0.07172767607054481
31,tentmap,ICA,short,0.5250219717231017,0.06363289771677791
32,tentmap,KPCA,long,0.4030887106582538,0.18370267154264452
33,tentmap,KPCA,short,0.41046402969915896,0.17694434828658515
34,tentmap,PCA,long,0.3742620863493107,0.20590950002103636
35,tentmap,PCA,short,0.3988632761022838,0.19945656163449177
36,tentmap,Random,long,0.14400678844987774,0.026884378178184593
37,tentmap,Random,short,0.0489050940533683,0.0028238470285846494
38,tentmap,SFA,long,0.0817006638329152,0.04622705406211375
39,tentmap,SFA,short,0.039535110001979346,0.018462305133004755
40,tentmap,SOM,long,0.20230904246894044,0.08484173188362032
41,tentmap,SOM,short,0.2398284227195584,0.06050244548709366
42,tentmap,ShRec,long,0.42483690854152045,0.2711839163552078
43,tentmap,ShRec,short,0.4020315892911539,0.2278203529404934
