,coefs,wcomp,n_components,method,dataset
0,0.13206994376731593,1,1,DCA,lorenz
1,0.11642296246151299,1,1,DCA,lorenz
2,0.1038755819291423,1,1,DCA,lorenz
3,0.275453898233125,1,1,DCA,lorenz
4,0.08530229801398488,1,1,DCA,lorenz
5,0.08486288876520473,1,1,DCA,lorenz
6,0.1572733429035445,1,1,DCA,lorenz
7,0.10930929435784807,1,1,DCA,lorenz
8,0.1413595963650348,1,1,DCA,lorenz
9,0.16769205940528623,1,1,DCA,lorenz
10,0.09928227376945113,1,1,DCA,lorenz
11,0.18004644887980173,1,1,DCA,lorenz
12,0.11989661926996754,1,1,DCA,lorenz
13,0.3431924247062692,1,1,DCA,lorenz
14,0.23855355604369743,1,1,DCA,lorenz
15,0.12592800620724787,1,1,DCA,lorenz
16,0.08304225806565756,1,1,DCA,lorenz
17,0.1053865996793036,1,1,DCA,lorenz
18,0.1147262969524902,1,1,DCA,lorenz
19,0.08140752853329368,1,1,DCA,lorenz
20,0.09894959947452064,1,1,DCA,lorenz
21,0.14976018968841706,1,1,DCA,lorenz
22,0.08291945782729311,1,1,DCA,lorenz
23,0.10083390998239669,1,1,DCA,lorenz
24,0.1462587113176467,1,1,DCA,lorenz
25,0.1399195063892268,1,1,DCA,lorenz
26,0.11498307476745538,1,1,DCA,lorenz
27,0.1509411235524496,1,1,DCA,lorenz
28,0.1319386294744223,1,1,DCA,lorenz
29,0.10063415671712413,1,1,DCA,lorenz
30,0.198707674900273,1,1,DCA,lorenz
31,0.11724581245854891,1,1,DCA,lorenz
32,0.1859654221773137,1,1,DCA,lorenz
33,0.29590868531892306,1,1,DCA,lorenz
34,0.18729427510560287,1,1,DCA,lorenz
35,0.11554543185441579,1,1,DCA,lorenz
36,0.12574037243827146,1,1,DCA,lorenz
37,0.16193263804719998,1,1,DCA,lorenz
38,0.21731133316900364,1,1,DCA,lorenz
39,0.09653743675801185,1,1,DCA,lorenz
40,0.17352242671086843,1,1,DCA,lorenz
41,0.1092343666790266,1,1,DCA,lorenz
42,0.14698830925043016,1,1,DCA,lorenz
43,0.2515508345948472,1,1,DCA,lorenz
44,0.10501239670005245,1,1,DCA,lorenz
45,0.15756277363941323,1,1,DCA,lorenz
46,0.10298384563532761,1,1,DCA,lorenz
47,0.1528863993377474,1,1,DCA,lorenz
48,0.11399853449236139,1,1,DCA,lorenz
49,0.1674615352122877,1,1,DCA,lorenz
50,0.10973066215379845,1,1,DCA,lorenz
51,0.17365822246668278,1,1,DCA,lorenz
52,0.08968711870340101,1,1,DCA,lorenz
53,0.16723789101072725,1,1,DCA,lorenz
54,0.12905999424413406,1,1,DCA,lorenz
55,0.2534743690570236,1,1,DCA,lorenz
56,0.1248036066309885,1,1,DCA,lorenz
57,0.13105027530503105,1,1,DCA,lorenz
58,0.14345367542959314,1,1,DCA,lorenz
59,0.10740824068338473,1,1,DCA,lorenz
60,0.20084550750628496,1,1,DCA,lorenz
61,0.1094630042296061,1,1,DCA,lorenz
62,0.19985656516183614,1,1,DCA,lorenz
63,0.20557947811417948,1,1,DCA,lorenz
64,0.12099305150087136,1,1,DCA,lorenz
65,0.12701287255961874,1,1,DCA,lorenz
66,0.0764030090510813,1,1,DCA,lorenz
67,0.28964662392912166,1,1,DCA,lorenz
68,0.1176870443440061,1,1,DCA,lorenz
69,0.15310291904379486,1,1,DCA,lorenz
70,0.09839257898585531,1,1,DCA,lorenz
71,0.08329792459879257,1,1,DCA,lorenz
72,0.16714580635593376,1,1,DCA,lorenz
73,0.13106262464962581,1,1,DCA,lorenz
74,0.17714296505776678,1,1,DCA,lorenz
75,0.08884682319178923,1,1,DCA,lorenz
76,0.16518648378333575,1,1,DCA,lorenz
77,0.10219154381021468,1,1,DCA,lorenz
78,0.1357761048507869,1,1,DCA,lorenz
79,0.10671699631093633,1,1,DCA,lorenz
80,0.12510198686216012,1,1,DCA,lorenz
81,0.111445850374441,1,1,DCA,lorenz
82,0.10292570716066253,1,1,DCA,lorenz
83,0.10267193815949949,1,1,DCA,lorenz
84,0.19632376928833856,1,1,DCA,lorenz
85,0.16995306845645913,1,1,DCA,lorenz
86,0.10493850101092647,1,1,DCA,lorenz
87,0.1972045251591459,1,1,DCA,lorenz
88,0.1057229699742682,1,1,DCA,lorenz
89,0.10361869921722881,1,1,DCA,lorenz
90,0.14976222794066035,1,1,DCA,lorenz
91,0.0764053698305232,1,1,DCA,lorenz
92,0.3336603674141625,1,1,DCA,lorenz
93,0.18564379923782798,1,1,DCA,lorenz
94,0.08281153560490137,1,1,DCA,lorenz
95,0.17119313434864997,1,1,DCA,lorenz
96,0.13474801139132037,1,1,DCA,lorenz
97,0.22121067241703185,1,1,DCA,lorenz
98,0.16872598478112888,1,1,DCA,lorenz
99,0.10897966064007762,1,1,DCA,lorenz
0,0.17828260200119458,2,2,DCA,lorenz
1,0.12139449313374617,2,2,DCA,lorenz
2,0.1640873054954673,1,2,DCA,lorenz
3,0.31199827078960096,2,2,DCA,lorenz
4,0.09141752422427918,2,2,DCA,lorenz
5,0.5284204051253865,1,2,DCA,lorenz
6,0.21212132932838418,1,2,DCA,lorenz
7,0.1468799252856604,1,2,DCA,lorenz
8,0.14439811320473867,1,2,DCA,lorenz
9,0.18436783957556174,1,2,DCA,lorenz
10,0.14155638492217545,1,2,DCA,lorenz
11,0.16687020579664738,2,2,DCA,lorenz
12,0.1385633181330671,2,2,DCA,lorenz
13,0.5076475511353415,1,2,DCA,lorenz
