,data_id,r,method,dataset
0,0,0.9368680463306951,MaCo,lorenz
1,1,0.9184041154581537,MaCo,lorenz
2,2,0.8628821304675602,MaCo,lorenz
3,3,0.9345936285620368,MaCo,lorenz
4,4,0.955263281223228,MaCo,lorenz
5,5,0.9305122936741308,MaCo,lorenz
6,6,0.9404045624299576,MaCo,lorenz
7,7,0.947667444929984,MaCo,lorenz
8,8,0.6494920137772764,MaCo,lorenz
9,9,0.8945583154478473,MaCo,lorenz
10,10,0.9264328747047423,MaCo,lorenz
11,11,0.9418622544026746,MaCo,lorenz
12,12,0.8341774104003565,MaCo,lorenz
13,13,0.9479710382592875,MaCo,lorenz
14,14,0.9171655318030476,MaCo,lorenz
15,15,0.9319358568132922,MaCo,lorenz
16,16,0.9314231381808382,MaCo,lorenz
17,17,0.9466638784004787,MaCo,lorenz
18,18,0.8803743802356643,MaCo,lorenz
19,19,0.9364570920031258,MaCo,lorenz
20,20,0.9365626446014409,MaCo,lorenz
21,21,0.9377838867493712,MaCo,lorenz
22,22,0.9296780747306362,MaCo,lorenz
23,23,0.9293758743601405,MaCo,lorenz
24,24,0.8622771454497924,MaCo,lorenz
25,25,0.8019368986649466,MaCo,lorenz
26,26,0.9265354650356636,MaCo,lorenz
27,27,0.9354619447507414,MaCo,lorenz
28,28,0.8809879358443133,MaCo,lorenz
29,29,0.13825582062089387,MaCo,lorenz
30,30,0.9067691795279154,MaCo,lorenz
31,31,0.9190731230647583,MaCo,lorenz
32,32,0.9325940137764228,MaCo,lorenz
33,33,0.9253266894361464,MaCo,lorenz
34,34,0.9203823658826833,MaCo,lorenz
35,35,0.951521435170127,MaCo,lorenz
36,36,0.8183370964141281,MaCo,lorenz
37,37,0.853013145396124,MaCo,lorenz
38,38,0.8982498669911485,MaCo,lorenz
39,39,0.9352601086710631,MaCo,lorenz
40,40,0.8899441687941196,MaCo,lorenz
41,41,0.6506946077421331,MaCo,lorenz
42,42,0.8823876076712064,MaCo,lorenz
43,43,0.9215796435131703,MaCo,lorenz
44,44,0.9353189037360277,MaCo,lorenz
45,45,0.20457704633652,MaCo,lorenz
46,46,0.8398040376412009,MaCo,lorenz
47,47,0.9200780804632875,MaCo,lorenz
48,48,0.9412991362545275,MaCo,lorenz
49,49,0.9682902136835561,MaCo,lorenz
50,50,0.9092364804386435,MaCo,lorenz
51,51,0.9138962430109481,MaCo,lorenz
52,52,0.9075516271150733,MaCo,lorenz
53,53,0.9116286417402631,MaCo,lorenz
54,54,0.9118168492565202,MaCo,lorenz
55,55,0.9246166688856626,MaCo,lorenz
56,56,0.16341436608352164,MaCo,lorenz
57,57,0.8225486243380632,MaCo,lorenz
58,58,0.9288967912311309,MaCo,lorenz
59,59,0.8728160464178158,MaCo,lorenz
60,60,0.9209812133696029,MaCo,lorenz
61,61,0.9215974454420263,MaCo,lorenz
62,62,0.8920242533656074,MaCo,lorenz
63,63,0.9067025454852079,MaCo,lorenz
64,64,0.914970564771734,MaCo,lorenz
65,65,0.9332122250171625,MaCo,lorenz
66,66,0.9030836330863632,MaCo,lorenz
67,67,0.7261989281847233,MaCo,lorenz
68,68,0.8796024526653403,MaCo,lorenz
69,69,0.6164565113568778,MaCo,lorenz
70,70,0.9414696482785964,MaCo,lorenz
71,71,0.9116759960150634,MaCo,lorenz
72,72,0.9003560165900466,MaCo,lorenz
73,73,0.8211210873750943,MaCo,lorenz
74,74,0.9566045584813676,MaCo,lorenz
75,75,0.884669024174775,MaCo,lorenz
76,76,0.8042910267719318,MaCo,lorenz
77,77,0.774643356056885,MaCo,lorenz
78,78,0.916054395029688,MaCo,lorenz
79,79,0.9378793634728665,MaCo,lorenz
80,80,0.8852725751244808,MaCo,lorenz
81,81,0.8075721749270504,MaCo,lorenz
82,82,0.9507940056238602,MaCo,lorenz
83,83,0.9137522425735459,MaCo,lorenz
84,84,0.8505052291077652,MaCo,lorenz
85,85,0.7752022393776895,MaCo,lorenz
86,86,0.9338228347543738,MaCo,lorenz
87,87,0.9035952132489348,MaCo,lorenz
88,88,0.6988377877751528,MaCo,lorenz
89,89,0.9095772609325316,MaCo,lorenz
90,90,0.8997032064199076,MaCo,lorenz
91,91,0.9638867536173193,MaCo,lorenz
92,92,0.9413450278331387,MaCo,lorenz
93,93,0.8650771045279869,MaCo,lorenz
94,94,0.9377894457432473,MaCo,lorenz
95,95,0.8763201284119146,MaCo,lorenz
96,96,0.9319591003687544,MaCo,lorenz
97,97,0.8443196410847726,MaCo,lorenz
98,98,0.8666352776366175,MaCo,lorenz
99,99,0.92921180608763,MaCo,lorenz
