,data_id,r,method,dataset
0,0,0.7445717527344637,PCA,lorenz
1,1,0.6347217977958758,PCA,lorenz
2,2,0.722629537589873,PCA,lorenz
3,3,0.6523604971703458,PCA,lorenz
4,4,0.7998671540116545,PCA,lorenz
5,5,0.6979362400087854,PCA,lorenz
6,6,0.7203376912413662,PCA,lorenz
7,7,0.7775405403279427,PCA,lorenz
8,8,0.6412753860295264,PCA,lorenz
9,9,0.7128385680998949,PCA,lorenz
10,10,0.650264131376487,PCA,lorenz
11,11,0.6916805508697544,PCA,lorenz
12,12,0.8266758096170885,PCA,lorenz
13,13,0.6652379571905624,PCA,lorenz
14,14,0.6983608985462622,PCA,lorenz
15,15,0.5915394584005449,PCA,lorenz
16,16,0.6974348642049372,PCA,lorenz
17,17,0.6887297573937992,PCA,lorenz
18,18,0.7454779129137101,PCA,lorenz
19,19,0.9533466400277092,PCA,lorenz
20,20,0.6219737501931177,PCA,lorenz
21,21,0.6510887203906339,PCA,lorenz
22,22,0.6756105551339148,PCA,lorenz
23,23,0.6197833146084238,PCA,lorenz
24,24,0.47904341425750196,PCA,lorenz
25,25,0.518032217255751,PCA,lorenz
26,26,0.7079864442908586,PCA,lorenz
27,27,0.7685473960731688,PCA,lorenz
28,28,0.6675488822642017,PCA,lorenz
29,29,0.6242243791468876,PCA,lorenz
30,30,0.7989067453575248,PCA,lorenz
31,31,0.7638957625375833,PCA,lorenz
32,32,0.6084654578286957,PCA,lorenz
33,33,0.6917993873164648,PCA,lorenz
34,34,0.7863968626925897,PCA,lorenz
35,35,0.7710851472772441,PCA,lorenz
36,36,0.6794647016143449,PCA,lorenz
37,37,0.763296658375366,PCA,lorenz
38,38,0.510030413454755,PCA,lorenz
39,39,0.7939654333059925,PCA,lorenz
40,40,0.7410332685339981,PCA,lorenz
41,41,0.6461544705712019,PCA,lorenz
42,42,0.8223484963135009,PCA,lorenz
43,43,0.6123849032084863,PCA,lorenz
44,44,0.6189201442789525,PCA,lorenz
45,45,0.49372354144141606,PCA,lorenz
46,46,0.6924880469363599,PCA,lorenz
47,47,0.7227437113091507,PCA,lorenz
48,48,0.8393095616980983,PCA,lorenz
49,49,0.7725676205414418,PCA,lorenz
50,50,0.6738124907923833,PCA,lorenz
51,51,0.582775741900982,PCA,lorenz
52,52,0.6921848767564633,PCA,lorenz
53,53,0.7492716502132974,PCA,lorenz
54,54,0.6959116594155303,PCA,lorenz
55,55,0.6264024339164199,PCA,lorenz
56,56,0.7826833106401585,PCA,lorenz
57,57,0.680128511508564,PCA,lorenz
58,58,0.6028836421083438,PCA,lorenz
59,59,0.6639833152623933,PCA,lorenz
60,60,0.7553675759892173,PCA,lorenz
61,61,0.6899679289292279,PCA,lorenz
62,62,0.6976149493951892,PCA,lorenz
63,63,0.6589643575219026,PCA,lorenz
64,64,0.8694935112245035,PCA,lorenz
65,65,0.6368633892682131,PCA,lorenz
66,66,0.8409116985075328,PCA,lorenz
67,67,0.5633763351111927,PCA,lorenz
68,68,0.6531967310943894,PCA,lorenz
69,69,0.7290874306141527,PCA,lorenz
70,70,0.7197546938961787,PCA,lorenz
71,71,0.7404882447173821,PCA,lorenz
72,72,0.713965446681893,PCA,lorenz
73,73,0.7216394036627324,PCA,lorenz
74,74,0.8246836418132961,PCA,lorenz
75,75,0.8006268323745147,PCA,lorenz
76,76,0.8154081685032727,PCA,lorenz
77,77,0.7821271445215481,PCA,lorenz
78,78,0.7117286459345404,PCA,lorenz
79,79,0.6970868853217804,PCA,lorenz
80,80,0.7268114935421758,PCA,lorenz
81,81,0.7575817090166417,PCA,lorenz
82,82,0.6762217771192813,PCA,lorenz
83,83,0.5814019912176918,PCA,lorenz
84,84,0.5802811892495471,PCA,lorenz
85,85,0.6546798579424776,PCA,lorenz
86,86,0.7261722281263134,PCA,lorenz
87,87,0.7907365774970019,PCA,lorenz
88,88,0.5706275112192131,PCA,lorenz
89,89,0.7500181891307287,PCA,lorenz
90,90,0.6525282928118505,PCA,lorenz
91,91,0.852570956661526,PCA,lorenz
92,92,0.7582806169261207,PCA,lorenz
93,93,0.7538333796907837,PCA,lorenz
94,94,0.6816278313535117,PCA,lorenz
95,95,0.6616620911690891,PCA,lorenz
96,96,0.8173461250280565,PCA,lorenz
97,97,0.6026001799377003,PCA,lorenz
98,98,0.7425105151052354,PCA,lorenz
99,99,0.8392152344484431,PCA,lorenz
