,data_id,r,method,dataset
0,0,0.6537428095560002,CCA,tentmap
1,1,0.04308682421616871,CCA,tentmap
2,2,0.1865370865394557,CCA,tentmap
3,3,0.44289454758509306,CCA,tentmap
4,4,0.40017116477908615,CCA,tentmap
5,5,0.2951407564498447,CCA,tentmap
6,6,0.6914520837979978,CCA,tentmap
7,7,0.527465666716339,CCA,tentmap
8,8,0.700370842782199,CCA,tentmap
9,9,0.333032739343258,CCA,tentmap
10,10,0.054414940228915284,CCA,tentmap
11,11,0.27623800801018633,CCA,tentmap
12,12,0.27038083629036114,CCA,tentmap
13,13,0.5994964926145416,CCA,tentmap
14,14,0.6346328283614213,CCA,tentmap
15,15,0.03228944430344934,CCA,tentmap
16,16,0.46299334139317816,CCA,tentmap
17,17,0.5081874491938468,CCA,tentmap
18,18,0.16711169540246945,CCA,tentmap
19,19,0.5404691609213483,CCA,tentmap
20,20,0.6350110855768002,CCA,tentmap
21,21,0.4454175713299757,CCA,tentmap
22,22,0.44084806096598683,CCA,tentmap
23,23,0.6665887843047801,CCA,tentmap
24,24,0.32172940030464875,CCA,tentmap
25,25,0.5787833469233646,CCA,tentmap
26,26,0.3564959833076665,CCA,tentmap
27,27,0.5436725612765682,CCA,tentmap
28,28,0.08920275820725079,CCA,tentmap
29,29,0.14758788888892,CCA,tentmap
30,30,0.2090806363539332,CCA,tentmap
31,31,0.5690701737156593,CCA,tentmap
32,32,0.4977521207090193,CCA,tentmap
33,33,0.4360356257137552,CCA,tentmap
34,34,0.36524934337006115,CCA,tentmap
35,35,0.5241328038871503,CCA,tentmap
36,36,0.16681582348075816,CCA,tentmap
37,37,0.14020527502798302,CCA,tentmap
38,38,0.3219477694295825,CCA,tentmap
39,39,0.5646465600880103,CCA,tentmap
40,40,0.530755521589907,CCA,tentmap
41,41,0.28907366115496447,CCA,tentmap
42,42,0.5229941054920911,CCA,tentmap
43,43,0.4196681096039673,CCA,tentmap
44,44,0.5443486181518067,CCA,tentmap
45,45,0.2366995591031085,CCA,tentmap
46,46,0.45039736703061917,CCA,tentmap
47,47,0.5947450307497406,CCA,tentmap
48,48,0.48620662822934124,CCA,tentmap
49,49,0.5389175595153259,CCA,tentmap
