,data_id,r,method,dataset
0,0,0.6096142173675577,DCA,tentmap
1,1,0.23918609238438343,DCA,tentmap
2,2,0.3596684546852673,DCA,tentmap
3,3,0.39702919249974034,DCA,tentmap
4,4,0.6251201777693189,DCA,tentmap
5,5,0.5011709618997601,DCA,tentmap
6,6,0.6768953782286691,DCA,tentmap
7,7,0.5076818780032981,DCA,tentmap
8,8,0.7112827685414019,DCA,tentmap
9,9,0.41352349267229527,DCA,tentmap
10,10,0.1407788337186347,DCA,tentmap
11,11,0.29656599027153113,DCA,tentmap
12,12,0.402308123321878,DCA,tentmap
13,13,0.5497781975961391,DCA,tentmap
14,14,0.6616797267276402,DCA,tentmap
15,15,0.1973685665789252,DCA,tentmap
16,16,0.4879054137949793,DCA,tentmap
17,17,0.43193466417066406,DCA,tentmap
18,18,0.3033676931347505,DCA,tentmap
19,19,0.5435368388360504,DCA,tentmap
20,20,0.5864684620490986,DCA,tentmap
21,21,0.4890030820059529,DCA,tentmap
22,22,0.34820267884791545,DCA,tentmap
23,23,0.6013685912537966,DCA,tentmap
24,24,0.613892699209162,DCA,tentmap
25,25,0.4924224725517074,DCA,tentmap
26,26,0.4018801715850997,DCA,tentmap
27,27,0.5960871363934805,DCA,tentmap
28,28,0.176867775276819,DCA,tentmap
29,29,0.32890346137103876,DCA,tentmap
30,30,0.5178029350598974,DCA,tentmap
31,31,0.5599506294531182,DCA,tentmap
32,32,0.5369974641165429,DCA,tentmap
33,33,0.5052537125271825,DCA,tentmap
34,34,0.39079175967134583,DCA,tentmap
35,35,0.47740970508797087,DCA,tentmap
36,36,0.3146601465013048,DCA,tentmap
37,37,0.2502423773362626,DCA,tentmap
38,38,0.3777220651899,DCA,tentmap
39,39,0.6157298182644979,DCA,tentmap
40,40,0.5459832291597686,DCA,tentmap
41,41,0.48878444986410036,DCA,tentmap
42,42,0.42943704225286716,DCA,tentmap
43,43,0.45938573709560904,DCA,tentmap
44,44,0.4975885568185644,DCA,tentmap
45,45,0.4136046795180999,DCA,tentmap
46,46,0.4545366777677108,DCA,tentmap
47,47,0.6105356055791693,DCA,tentmap
48,48,0.5121693423178453,DCA,tentmap
49,49,0.5299419766020912,DCA,tentmap
