,data_id,r,method,dataset
0,0,0.6609525365519628,DCCA,tentmap
1,1,0.218240091079464,DCCA,tentmap
2,2,0.29011110081021574,DCCA,tentmap
3,3,0.3823642583818433,DCCA,tentmap
4,4,0.8745944838645421,DCCA,tentmap
5,5,0.36566774874144736,DCCA,tentmap
6,6,0.6832406892458144,DCCA,tentmap
7,7,0.5289555485454321,DCCA,tentmap
8,8,0.7122334807218409,DCCA,tentmap
9,9,0.3548973899645697,DCCA,tentmap
10,10,0.13166765533284333,DCCA,tentmap
11,11,0.25338535993581507,DCCA,tentmap
12,12,0.33465195465757824,DCCA,tentmap
13,13,0.601616260645578,DCCA,tentmap
14,14,0.6232754910290097,DCCA,tentmap
15,15,0.14711054796050602,DCCA,tentmap
16,16,0.5409560952891677,DCCA,tentmap
17,17,0.5211204652139675,DCCA,tentmap
18,18,0.3462993887441308,DCCA,tentmap
19,19,0.5688066167227571,DCCA,tentmap
20,20,0.6135644403695383,DCCA,tentmap
21,21,0.41577301096822183,DCCA,tentmap
22,22,0.40198811111992866,DCCA,tentmap
23,23,0.6252755953590118,DCCA,tentmap
24,24,0.2671694206640248,DCCA,tentmap
25,25,0.5657014898653876,DCCA,tentmap
26,26,0.36199890708326754,DCCA,tentmap
27,27,0.6347588238608484,DCCA,tentmap
28,28,0.14972745327722958,DCCA,tentmap
29,29,0.06525596365544283,DCCA,tentmap
30,30,0.1687513011761851,DCCA,tentmap
31,31,0.6310906212214964,DCCA,tentmap
32,32,0.31556183701939877,DCCA,tentmap
33,33,0.3764752259626417,DCCA,tentmap
34,34,0.3768027654912718,DCCA,tentmap
35,35,0.5184293177863248,DCCA,tentmap
36,36,0.16190509069021164,DCCA,tentmap
37,37,0.13228994640050856,DCCA,tentmap
38,38,0.3097002355901343,DCCA,tentmap
39,39,0.6076129382875259,DCCA,tentmap
40,40,0.5335292952946533,DCCA,tentmap
41,41,0.37925275401335234,DCCA,tentmap
42,42,0.3978714624238788,DCCA,tentmap
43,43,0.7777960725405866,DCCA,tentmap
44,44,0.5238038940593734,DCCA,tentmap
45,45,0.25270512784186194,DCCA,tentmap
46,46,0.3792867127432595,DCCA,tentmap
47,47,0.5184543366011786,DCCA,tentmap
48,48,0.4913737475025728,DCCA,tentmap
49,49,0.5765001652805601,DCCA,tentmap
