,data_id,r,method,dataset
0,0,0.6509091080342754,PCA,tentmap
1,1,0.31877763298511247,PCA,tentmap
2,2,0.36786361514993376,PCA,tentmap
3,3,0.17150589237395247,PCA,tentmap
4,4,0.6412807424491352,PCA,tentmap
5,5,0.09585580350654277,PCA,tentmap
6,6,0.677727267596479,PCA,tentmap
7,7,0.523382408225744,PCA,tentmap
8,8,0.702268286967412,PCA,tentmap
9,9,0.3534515944686831,PCA,tentmap
10,10,0.1355009315297185,PCA,tentmap
11,11,0.07970436060782969,PCA,tentmap
12,12,0.08991146924604454,PCA,tentmap
13,13,0.5948841030864267,PCA,tentmap
14,14,0.5817213448804095,PCA,tentmap
15,15,0.16990234483833683,PCA,tentmap
16,16,0.5935082032353466,PCA,tentmap
17,17,0.4136423431045894,PCA,tentmap
18,18,0.14035221712370968,PCA,tentmap
19,19,0.5628765361858659,PCA,tentmap
20,20,0.5900054274361175,PCA,tentmap
21,21,0.26205644963011193,PCA,tentmap
22,22,0.26615616099786266,PCA,tentmap
23,23,0.5640308319498265,PCA,tentmap
24,24,0.6660691209718156,PCA,tentmap
25,25,0.5040506349314013,PCA,tentmap
26,26,0.3535996599544439,PCA,tentmap
27,27,0.6549803194015748,PCA,tentmap
28,28,0.20009900028287333,PCA,tentmap
29,29,0.12476827185331708,PCA,tentmap
30,30,0.5870538599411607,PCA,tentmap
31,31,0.6475589769817642,PCA,tentmap
32,32,0.19667946198927527,PCA,tentmap
33,33,0.13114138679286794,PCA,tentmap
34,34,0.3748268235792726,PCA,tentmap
35,35,0.5198067162378105,PCA,tentmap
36,36,0.1469464889582387,PCA,tentmap
37,37,0.16586954272445467,PCA,tentmap
38,38,0.11973610425058642,PCA,tentmap
39,39,0.6385965661689709,PCA,tentmap
40,40,0.518309569422414,PCA,tentmap
41,41,0.49656784250676317,PCA,tentmap
42,42,0.11380013844359664,PCA,tentmap
43,43,0.4982545315076316,PCA,tentmap
44,44,0.3875102923995583,PCA,tentmap
45,45,0.18735846979606044,PCA,tentmap
46,46,0.1577542649043195,PCA,tentmap
47,47,0.37369734911934877,PCA,tentmap
48,48,0.3123124744633468,PCA,tentmap
49,49,0.5529553215938728,PCA,tentmap
