,data_id,r,method,dataset
0,0,0.6620136599760107,ShRec,tentmap
1,1,0.2416815853299889,ShRec,tentmap
2,2,0.412781191684239,ShRec,tentmap
3,3,0.14523265534590374,ShRec,tentmap
4,4,0.7950761125964874,ShRec,tentmap
5,5,0.09653050399809127,ShRec,tentmap
6,6,0.7688211414065192,ShRec,tentmap
7,7,0.5370344073602807,ShRec,tentmap
8,8,0.728089436679629,ShRec,tentmap
9,9,0.3162006748470494,ShRec,tentmap
10,10,0.06867590369313992,ShRec,tentmap
11,11,0.04837897968889487,ShRec,tentmap
12,12,0.04565872239047882,ShRec,tentmap
13,13,0.7758769117186048,ShRec,tentmap
14,14,0.562578899306563,ShRec,tentmap
15,15,0.23524734548600973,ShRec,tentmap
16,16,0.7019041458327047,ShRec,tentmap
17,17,0.43689262539880197,ShRec,tentmap
18,18,0.06253378741996912,ShRec,tentmap
19,19,0.6365260918164539,ShRec,tentmap
20,20,0.5796510369843554,ShRec,tentmap
21,21,0.18143475184665178,ShRec,tentmap
22,22,0.2723757411590819,ShRec,tentmap
23,23,0.5039725479896433,ShRec,tentmap
24,24,0.7298311239432473,ShRec,tentmap
25,25,0.6025377517134619,ShRec,tentmap
26,26,0.33791241791680016,ShRec,tentmap
27,27,0.7397215228232176,ShRec,tentmap
28,28,0.26301911755778873,ShRec,tentmap
29,29,0.7856679851682227,ShRec,tentmap
30,30,0.7027757434841737,ShRec,tentmap
31,31,0.7058160704845828,ShRec,tentmap
32,32,0.17592351211891588,ShRec,tentmap
33,33,0.0735942031273244,ShRec,tentmap
34,34,0.4030907858866247,ShRec,tentmap
35,35,0.7404880792577958,ShRec,tentmap
36,36,0.2227236361264917,ShRec,tentmap
37,37,0.0680842640615309,ShRec,tentmap
38,38,0.05232347914639507,ShRec,tentmap
39,39,0.7229201911966201,ShRec,tentmap
40,40,0.7236152795488242,ShRec,tentmap
41,41,0.5666262887419198,ShRec,tentmap
42,42,0.04686828408144479,ShRec,tentmap
43,43,0.6901375039607518,ShRec,tentmap
44,44,0.6138716565659664,ShRec,tentmap
45,45,0.058211028355121146,ShRec,tentmap
46,46,0.08021323806093245,ShRec,tentmap
47,47,0.3592852833573684,ShRec,tentmap
48,48,0.2049119226678653,ShRec,tentmap
49,49,0.683129083045091,ShRec,tentmap
