,dataset,method,mean,std,median,iqr
0,logmap_fixed,ASOM,0.8081060585150857,0.07996484879015721,0.8209684331565232,0.0778482677277822
1,logmap_fixed,CCA,0.7201745756748908,0.06525020900244077,0.7324158768479629,0.07055216286729094
2,logmap_fixed,DCA,0.7038849044765564,0.08476887270335465,0.7045718597220701,0.08439754130430699
3,logmap_fixed,DCCA,0.8069328308622303,0.07871921811879584,0.8037474309827983,0.11976027029677183
4,logmap_fixed,ICA,0.6915604374937842,0.07704333226109515,0.6889377113787947,0.07826171568262741
5,logmap_fixed,MaCo,0.9546223675720802,0.06961744595144823,0.972705000127702,0.009818302145051194
6,logmap_fixed,PCA,0.6932972956054322,0.09714460841837509,0.7126379565930947,0.11213260586702911
7,logmap_fixed,Random,0.03392902033379826,0.006680935524086233,0.035303712750340846,0.0036316438778054017
8,logmap_fixed,SFA,0.07927324212605559,0.04340127106642424,0.0700535013084776,0.06964848738308102
9,logmap_fixed,ShRec,0.728459231033562,0.0878394711699811,0.7250358096275992,0.10521326445116508
10,tentmap,ASOM,0.7720696287627083,0.17532086051277224,0.854114358426507,0.18715679512257566
11,tentmap,CCA,0.4090837690393581,0.18468670144857935,0.44415605945753434,0.2634247898913824
12,tentmap,DCA,0.4636004220586161,0.13322587871759736,0.4888937659350266,0.15647833760860214
13,tentmap,DCCA,0.43341106455176726,0.1880252801452587,0.3999297867719037,0.263411142193659
14,tentmap,ICA,0.4985473965857066,0.13293675474044908,0.5247159899924555,0.16379353915273664
15,tentmap,MaCo,0.818484595075494,0.1275044423531158,0.8639859877942437,0.09757662596266248
16,tentmap,PCA,0.3835515652957241,0.20526187007760405,0.3742620863493107,0.40699548492552307
17,tentmap,Random,0.149138003876373,0.036087288418440826,0.14400678844987774,0.05460568239150676
18,tentmap,SFA,0.12214745011725267,0.10089133509498786,0.0817006638329152,0.12147576873868188
19,tentmap,ShRec,0.4233693662470806,0.2695322949020387,0.42483690854152045,0.5216611633138667
