,data_id,r,method,dataset
0,0,0.8571104292975354,ASOM,logmap_fixed
1,1,0.8055618910623351,ASOM,logmap_fixed
2,2,0.8716141780137526,ASOM,logmap_fixed
3,3,0.7210430200402104,ASOM,logmap_fixed
4,4,0.6919629863681929,ASOM,logmap_fixed
5,5,0.9587185083755535,ASOM,logmap_fixed
6,6,0.7765139144428282,ASOM,logmap_fixed
7,7,0.7257977522754153,ASOM,logmap_fixed
8,8,0.8241585457236732,ASOM,logmap_fixed
9,9,0.5858253760999115,ASOM,logmap_fixed
10,10,0.7881421344264462,ASOM,logmap_fixed
11,11,0.9876476047433148,ASOM,logmap_fixed
12,12,0.9404794136783228,ASOM,logmap_fixed
13,13,0.8229900948601929,ASOM,logmap_fixed
14,14,0.835340944044246,ASOM,logmap_fixed
15,15,0.6028839886105981,ASOM,logmap_fixed
16,16,0.9228268556752794,ASOM,logmap_fixed
17,17,0.7765225323821572,ASOM,logmap_fixed
18,18,0.8120684727621319,ASOM,logmap_fixed
19,19,0.8234666685199398,ASOM,logmap_fixed
20,20,0.838455068887791,ASOM,logmap_fixed
21,21,0.8213961900584109,ASOM,logmap_fixed
22,22,0.8830530886468191,ASOM,logmap_fixed
23,23,0.8552975491633887,ASOM,logmap_fixed
24,24,0.665289108810544,ASOM,logmap_fixed
25,25,0.7176476102787495,ASOM,logmap_fixed
26,26,0.8595508081359856,ASOM,logmap_fixed
27,27,0.8305188549412967,ASOM,logmap_fixed
28,28,0.8268108695123928,ASOM,logmap_fixed
29,29,0.7534760638179332,ASOM,logmap_fixed
30,30,0.8515646991316043,ASOM,logmap_fixed
31,31,0.8630561239668755,ASOM,logmap_fixed
32,32,0.838847252301441,ASOM,logmap_fixed
33,33,0.7934460092596093,ASOM,logmap_fixed
34,34,0.7894896561280816,ASOM,logmap_fixed
35,35,0.8205406762546354,ASOM,logmap_fixed
36,36,0.8558393575315836,ASOM,logmap_fixed
37,37,0.8046492792537134,ASOM,logmap_fixed
38,38,0.7618960353790857,ASOM,logmap_fixed
39,39,0.8135025275255877,ASOM,logmap_fixed
40,40,0.8493821089800878,ASOM,logmap_fixed
41,41,0.8477222220333881,ASOM,logmap_fixed
42,42,0.8044406923767232,ASOM,logmap_fixed
43,43,0.8848578876036642,ASOM,logmap_fixed
44,44,0.7702747865178186,ASOM,logmap_fixed
45,45,0.715813339661948,ASOM,logmap_fixed
46,46,0.8017749186019284,ASOM,logmap_fixed
47,47,0.8797468018489963,ASOM,logmap_fixed
48,48,0.8049572946828158,ASOM,logmap_fixed
49,49,0.6713307330593453,ASOM,logmap_fixed
