,data_id,r,method,dataset
0,0,0.7319911029827161,cca,logistic_fixed
1,1,0.7536332246451438,cca,logistic_fixed
2,2,0.7492998255126448,cca,logistic_fixed
3,3,0.7332234644713229,cca,logistic_fixed
4,4,0.5808981964900318,cca,logistic_fixed
5,5,0.7085047637665619,cca,logistic_fixed
6,6,0.629674046146864,cca,logistic_fixed
7,7,0.7802381771840282,cca,logistic_fixed
8,8,0.6546267483642294,cca,logistic_fixed
9,9,0.7790875063357934,cca,logistic_fixed
10,10,0.6934890977626011,cca,logistic_fixed
11,11,0.6992883821162593,cca,logistic_fixed
12,12,0.6957662861648175,cca,logistic_fixed
13,13,0.6794939179919237,cca,logistic_fixed
14,14,0.7373288717967573,cca,logistic_fixed
15,15,0.6594443703896883,cca,logistic_fixed
16,16,0.8655402426745115,cca,logistic_fixed
17,17,0.7482796529570452,cca,logistic_fixed
18,18,0.7093145121226655,cca,logistic_fixed
19,19,0.7944848205519804,cca,logistic_fixed
20,20,0.7255062758067843,cca,logistic_fixed
21,21,0.7976868176626731,cca,logistic_fixed
22,22,0.8325827203412538,cca,logistic_fixed
23,23,0.747236748954573,cca,logistic_fixed
24,24,0.5736983644147414,cca,logistic_fixed
25,25,0.6471279529325267,cca,logistic_fixed
26,26,0.7456868499204315,cca,logistic_fixed
27,27,0.7419616779312663,cca,logistic_fixed
28,28,0.6894631737851163,cca,logistic_fixed
29,29,0.6557824788644111,cca,logistic_fixed
30,30,0.7188294248165548,cca,logistic_fixed
31,31,0.7505861499346498,cca,logistic_fixed
32,32,0.6556961402481547,cca,logistic_fixed
33,33,0.7838149268387625,cca,logistic_fixed
34,34,0.822875487432578,cca,logistic_fixed
35,35,0.76186977344284,cca,logistic_fixed
36,36,0.7029268135718303,cca,logistic_fixed
37,37,0.6181320901985563,cca,logistic_fixed
38,38,0.7396081652578703,cca,logistic_fixed
39,39,0.7220906134521716,cca,logistic_fixed
40,40,0.7506620959319279,cca,logistic_fixed
41,41,0.7105504519733234,cca,logistic_fixed
42,42,0.7381054252184488,cca,logistic_fixed
43,43,0.8029053591592447,cca,logistic_fixed
44,44,0.6537632486708852,cca,logistic_fixed
45,45,0.5601022461053167,cca,logistic_fixed
46,46,0.6663177265485242,cca,logistic_fixed
47,47,0.7719325214421412,cca,logistic_fixed
48,48,0.7937641610926628,cca,logistic_fixed
49,49,0.7516454163548892,cca,logistic_fixed
