,data_id,r,method,dataset
0,0,0.7359571824068252,dcca,logistic_fixed
1,1,0.7544838655368158,dcca,logistic_fixed
2,2,0.8090073775697391,dcca,logistic_fixed
3,3,0.7383612156221567,dcca,logistic_fixed
4,4,0.8474093930002777,dcca,logistic_fixed
5,5,0.8809523487974638,dcca,logistic_fixed
6,6,0.7599537398016611,dcca,logistic_fixed
7,7,0.7870476321442373,dcca,logistic_fixed
8,8,0.8583291465173705,dcca,logistic_fixed
9,9,0.7818892375464576,dcca,logistic_fixed
10,10,0.8671184902474477,dcca,logistic_fixed
11,11,0.9447103791338786,dcca,logistic_fixed
12,12,0.8759076817464756,dcca,logistic_fixed
13,13,0.7598364974507381,dcca,logistic_fixed
14,14,0.7404631146877485,dcca,logistic_fixed
15,15,0.853342083185613,dcca,logistic_fixed
16,16,0.9642292390860774,dcca,logistic_fixed
17,17,0.858677380085567,dcca,logistic_fixed
18,18,0.7094004423107064,dcca,logistic_fixed
19,19,0.7984311703322478,dcca,logistic_fixed
20,20,0.731613639757726,dcca,logistic_fixed
21,21,0.798846497361312,dcca,logistic_fixed
22,22,0.9651168007641213,dcca,logistic_fixed
23,23,0.7777929879751874,dcca,logistic_fixed
24,24,0.5816769412795383,dcca,logistic_fixed
25,25,0.9081945557381469,dcca,logistic_fixed
26,26,0.9087672702871535,dcca,logistic_fixed
27,27,0.7466428855604558,dcca,logistic_fixed
28,28,0.6872592186930748,dcca,logistic_fixed
29,29,0.9285737977763348,dcca,logistic_fixed
30,30,0.7159832216584523,dcca,logistic_fixed
31,31,0.9304677254046124,dcca,logistic_fixed
32,32,0.8935537900464189,dcca,logistic_fixed
33,33,0.952801086787686,dcca,logistic_fixed
34,34,0.8235519106747843,dcca,logistic_fixed
35,35,0.7664469783975761,dcca,logistic_fixed
36,36,0.7059826261744703,dcca,logistic_fixed
37,37,0.7606846995937789,dcca,logistic_fixed
38,38,0.7393081210384419,dcca,logistic_fixed
39,39,0.8263136794353708,dcca,logistic_fixed
40,40,0.7559864980298328,dcca,logistic_fixed
41,41,0.821000852062478,dcca,logistic_fixed
42,42,0.7509965786149388,dcca,logistic_fixed
43,43,0.8554110737297372,dcca,logistic_fixed
44,44,0.8856180768595266,dcca,logistic_fixed
45,45,0.9078626291192635,dcca,logistic_fixed
46,46,0.6649868685594605,dcca,logistic_fixed
47,47,0.7735627253316608,dcca,logistic_fixed
48,48,0.7958957927620672,dcca,logistic_fixed
49,49,0.843034516721518,dcca,logistic_fixed
