,data_id,r,method,dataset
0,0,0.9749928422067428,dummy_MaCo,logmap_fixed
1,1,0.9758734777185524,dummy_MaCo,logmap_fixed
2,2,0.9760078430587442,dummy_MaCo,logmap_fixed
3,3,0.9810980564852728,dummy_MaCo,logmap_fixed
4,4,0.9672309971288784,dummy_MaCo,logmap_fixed
5,5,0.8698646658797575,dummy_MaCo,logmap_fixed
6,6,0.9761940946569342,dummy_MaCo,logmap_fixed
7,7,0.9845699289413549,dummy_MaCo,logmap_fixed
8,8,0.9691432177769304,dummy_MaCo,logmap_fixed
9,9,0.9821244277042424,dummy_MaCo,logmap_fixed
10,10,0.9773411794784805,dummy_MaCo,logmap_fixed
11,11,0.9588327203647744,dummy_MaCo,logmap_fixed
12,12,0.8984096428123558,dummy_MaCo,logmap_fixed
13,13,0.9646069787524386,dummy_MaCo,logmap_fixed
14,14,0.9716658274873416,dummy_MaCo,logmap_fixed
15,15,0.9760556695154178,dummy_MaCo,logmap_fixed
16,16,0.8243876271448577,dummy_MaCo,logmap_fixed
17,17,0.981236194323369,dummy_MaCo,logmap_fixed
18,18,0.9712234081847266,dummy_MaCo,logmap_fixed
19,19,0.9810669691489273,dummy_MaCo,logmap_fixed
20,20,0.9760596492049711,dummy_MaCo,logmap_fixed
21,21,0.9685970355924652,dummy_MaCo,logmap_fixed
22,22,0.8316350273073532,dummy_MaCo,logmap_fixed
23,23,0.9605630415442948,dummy_MaCo,logmap_fixed
24,24,0.958879316429859,dummy_MaCo,logmap_fixed
25,25,0.9705639301839113,dummy_MaCo,logmap_fixed
26,26,0.9756453366931327,dummy_MaCo,logmap_fixed
27,27,0.9746556914863871,dummy_MaCo,logmap_fixed
28,28,0.9723950048382158,dummy_MaCo,logmap_fixed
29,29,0.967096755340977,dummy_MaCo,logmap_fixed
30,30,0.9804395709346886,dummy_MaCo,logmap_fixed
31,31,0.9659234492480088,dummy_MaCo,logmap_fixed
32,32,0.976885680442987,dummy_MaCo,logmap_fixed
33,33,0.7263938053837683,dummy_MaCo,logmap_fixed
34,34,0.9820852822047218,dummy_MaCo,logmap_fixed
35,35,0.9671373915428627,dummy_MaCo,logmap_fixed
36,36,0.9738264388707321,dummy_MaCo,logmap_fixed
37,37,0.9690685040515437,dummy_MaCo,logmap_fixed
38,38,0.9701852643396386,dummy_MaCo,logmap_fixed
39,39,0.9654960498018854,dummy_MaCo,logmap_fixed
40,40,0.970604465393335,dummy_MaCo,logmap_fixed
41,41,0.9155893362822336,dummy_MaCo,logmap_fixed
42,42,0.9763192623767164,dummy_MaCo,logmap_fixed
43,43,0.9784613426967186,dummy_MaCo,logmap_fixed
44,44,0.9732250475519103,dummy_MaCo,logmap_fixed
45,45,0.9676354579328419,dummy_MaCo,logmap_fixed
46,46,0.9662832210648209,dummy_MaCo,logmap_fixed
47,47,0.9654583913272512,dummy_MaCo,logmap_fixed
48,48,0.9796722577974764,dummy_MaCo,logmap_fixed
49,49,0.9720158012320606,dummy_MaCo,logmap_fixed
