,data_id,r,method,dataset
0,0,0.6977212612491344,ica,logmap_fixed
1,1,0.7200394256194477,ica,logmap_fixed
2,2,0.7114110068009417,ica,logmap_fixed
3,3,0.68766444435582,ica,logmap_fixed
4,4,0.5767000115245752,ica,logmap_fixed
5,5,0.6953188711014344,ica,logmap_fixed
6,6,0.5972014897845815,ica,logmap_fixed
7,7,0.7783620255333601,ica,logmap_fixed
8,8,0.6318748291727773,ica,logmap_fixed
9,9,0.7892175445547703,ica,logmap_fixed
10,10,0.6131450772472361,ica,logmap_fixed
11,11,0.6534435125915561,ica,logmap_fixed
12,12,0.6484777009022754,ica,logmap_fixed
13,13,0.6228890031935072,ica,logmap_fixed
14,14,0.7138817194401771,ica,logmap_fixed
15,15,0.5705709068012336,ica,logmap_fixed
16,16,0.836359407975334,ica,logmap_fixed
17,17,0.6569102382546133,ica,logmap_fixed
18,18,0.6764716508230367,ica,logmap_fixed
19,19,0.7703846021230524,ica,logmap_fixed
20,20,0.6874041698923881,ica,logmap_fixed
21,21,0.7875491967639734,ica,logmap_fixed
22,22,0.8321649613885947,ica,logmap_fixed
23,23,0.7186329429899783,ica,logmap_fixed
24,24,0.5235332846377848,ica,logmap_fixed
25,25,0.6245213011495372,ica,logmap_fixed
26,26,0.6926109146969006,ica,logmap_fixed
27,27,0.7108734960245062,ica,logmap_fixed
28,28,0.6806684267349216,ica,logmap_fixed
29,29,0.5704364474580336,ica,logmap_fixed
30,30,0.6794237326676503,ica,logmap_fixed
31,31,0.6833256050687117,ica,logmap_fixed
32,32,0.5562670538757188,ica,logmap_fixed
33,33,0.7940387709818649,ica,logmap_fixed
34,34,0.8015210423389663,ica,logmap_fixed
35,35,0.725405501336266,ica,logmap_fixed
36,36,0.6657920650767443,ica,logmap_fixed
37,37,0.5484765102100142,ica,logmap_fixed
38,38,0.702071114457281,ica,logmap_fixed
39,39,0.6847129146465734,ica,logmap_fixed
40,40,0.7149726508541313,ica,logmap_fixed
41,41,0.6653109962197877,ica,logmap_fixed
42,42,0.7116674116312656,ica,logmap_fixed
43,43,0.7626652410703434,ica,logmap_fixed
44,44,0.5912141517911608,ica,logmap_fixed
45,45,0.47439294985053465,ica,logmap_fixed
46,46,0.6408265788489798,ica,logmap_fixed
47,47,0.7392948525514085,ica,logmap_fixed
48,48,0.7914601244898177,ica,logmap_fixed
49,49,0.7233332000854025,ica,logmap_fixed
