,data_id,r,method,dataset
0,0,0.9676384069576802,dummy_MaCo,logmap_fixed
1,1,0.9766957126397136,dummy_MaCo,logmap_fixed
2,2,0.978601067941558,dummy_MaCo,logmap_fixed
3,3,0.9780757815395681,dummy_MaCo,logmap_fixed
4,4,0.969424453445832,dummy_MaCo,logmap_fixed
5,5,0.8353947265060769,dummy_MaCo,logmap_fixed
6,6,0.9669552732632585,dummy_MaCo,logmap_fixed
7,7,0.986124644444375,dummy_MaCo,logmap_fixed
8,8,0.948456263869341,dummy_MaCo,logmap_fixed
9,9,0.9746016930613736,dummy_MaCo,logmap_fixed
10,10,0.9756477157745678,dummy_MaCo,logmap_fixed
11,11,0.8119918917543137,dummy_MaCo,logmap_fixed
12,12,0.7684565318460831,dummy_MaCo,logmap_fixed
13,13,0.9458906815327118,dummy_MaCo,logmap_fixed
14,14,0.9730124753858521,dummy_MaCo,logmap_fixed
15,15,0.9734672079612711,dummy_MaCo,logmap_fixed
16,16,0.8763722064772358,dummy_MaCo,logmap_fixed
17,17,0.9768479834464273,dummy_MaCo,logmap_fixed
18,18,0.9705105899261426,dummy_MaCo,logmap_fixed
19,19,0.9808814607454661,dummy_MaCo,logmap_fixed
20,20,0.9651376346353713,dummy_MaCo,logmap_fixed
21,21,0.9814509522562315,dummy_MaCo,logmap_fixed
22,22,0.9749645088822549,dummy_MaCo,logmap_fixed
23,23,0.966373383057872,dummy_MaCo,logmap_fixed
24,24,0.9623910124669992,dummy_MaCo,logmap_fixed
25,25,0.9787612558933717,dummy_MaCo,logmap_fixed
26,26,0.9635328375771135,dummy_MaCo,logmap_fixed
27,27,0.9775726379862815,dummy_MaCo,logmap_fixed
28,28,0.97515833633924,dummy_MaCo,logmap_fixed
29,29,0.9778366247035362,dummy_MaCo,logmap_fixed
30,30,0.9821245532224565,dummy_MaCo,logmap_fixed
31,31,0.977420750244555,dummy_MaCo,logmap_fixed
32,32,0.972443170508787,dummy_MaCo,logmap_fixed
33,33,0.851377944058821,dummy_MaCo,logmap_fixed
34,34,0.9873801880341393,dummy_MaCo,logmap_fixed
35,35,0.9589346249375296,dummy_MaCo,logmap_fixed
36,36,0.9780959086159938,dummy_MaCo,logmap_fixed
37,37,0.9771368263523651,dummy_MaCo,logmap_fixed
38,38,0.9683812445158795,dummy_MaCo,logmap_fixed
39,39,0.9719183506884307,dummy_MaCo,logmap_fixed
40,40,0.9757731536839426,dummy_MaCo,logmap_fixed
41,41,0.9508805013817322,dummy_MaCo,logmap_fixed
42,42,0.9601257876945464,dummy_MaCo,logmap_fixed
43,43,0.9831374434887458,dummy_MaCo,logmap_fixed
44,44,0.9764454198780235,dummy_MaCo,logmap_fixed
45,45,0.9695730535084698,dummy_MaCo,logmap_fixed
46,46,0.9771323010419669,dummy_MaCo,logmap_fixed
47,47,0.9709937199139261,dummy_MaCo,logmap_fixed
48,48,0.9817484298373855,dummy_MaCo,logmap_fixed
49,49,0.9697585399678914,dummy_MaCo,logmap_fixed
