,data_id,r,method,dataset
0,0,0.7260175104275122,gilpin,logistic_fixed
1,1,0.7335110322745914,gilpin,logistic_fixed
2,2,0.7268033909605135,gilpin,logistic_fixed
3,3,0.719993423449494,gilpin,logistic_fixed
4,4,0.6065113452572735,gilpin,logistic_fixed
5,5,0.7782920041626766,gilpin,logistic_fixed
6,6,0.633458289720483,gilpin,logistic_fixed
7,7,0.7817742782731791,gilpin,logistic_fixed
8,8,0.6548558331186894,gilpin,logistic_fixed
9,9,0.7958209773661864,gilpin,logistic_fixed
10,10,0.6664497167041654,gilpin,logistic_fixed
11,11,0.7963931385153641,gilpin,logistic_fixed
12,12,0.7609454604632021,gilpin,logistic_fixed
13,13,0.6646215251345251,gilpin,logistic_fixed
14,14,0.7338574354924446,gilpin,logistic_fixed
15,15,0.6386469070961257,gilpin,logistic_fixed
16,16,0.9834786596669066,gilpin,logistic_fixed
17,17,0.7729626134152345,gilpin,logistic_fixed
18,18,0.6962998504001214,gilpin,logistic_fixed
19,19,0.786662730013625,gilpin,logistic_fixed
20,20,0.7239263912794544,gilpin,logistic_fixed
21,21,0.7804308544504749,gilpin,logistic_fixed
22,22,0.9772832979129693,gilpin,logistic_fixed
23,23,0.7424084983265186,gilpin,logistic_fixed
24,24,0.5984495517412699,gilpin,logistic_fixed
25,25,0.6397524977139947,gilpin,logistic_fixed
26,26,0.7614388397982794,gilpin,logistic_fixed
27,27,0.7402238610788627,gilpin,logistic_fixed
28,28,0.6843196162680031,gilpin,logistic_fixed
29,29,0.6476949955480064,gilpin,logistic_fixed
30,30,0.6995678069686802,gilpin,logistic_fixed
31,31,0.774979880126204,gilpin,logistic_fixed
32,32,0.6385005157045317,gilpin,logistic_fixed
33,33,0.966971529443217,gilpin,logistic_fixed
34,34,0.8228246529101965,gilpin,logistic_fixed
35,35,0.7403056918022854,gilpin,logistic_fixed
36,36,0.6956485559730485,gilpin,logistic_fixed
37,37,0.6128168979531108,gilpin,logistic_fixed
38,38,0.7232303719415275,gilpin,logistic_fixed
39,39,0.7259224050873916,gilpin,logistic_fixed
40,40,0.7276577573353689,gilpin,logistic_fixed
41,41,0.7174831626487828,gilpin,logistic_fixed
42,42,0.7377853850584012,gilpin,logistic_fixed
43,43,0.7935707748024464,gilpin,logistic_fixed
44,44,0.6492844951957027,gilpin,logistic_fixed
45,45,0.5659806284204213,gilpin,logistic_fixed
46,46,0.6494529944558147,gilpin,logistic_fixed
47,47,0.7649323131014123,gilpin,logistic_fixed
48,48,0.8002564215071619,gilpin,logistic_fixed
49,49,0.7407296650691916,gilpin,logistic_fixed
