,data_id,r,method,dataset
0,0,0.7313736627919294,CCA,logmap_fixed
1,1,0.7547415843741487,CCA,logmap_fixed
2,2,0.747247863359352,CCA,logmap_fixed
3,3,0.7334580909039965,CCA,logmap_fixed
4,4,0.583633784074102,CCA,logmap_fixed
5,5,0.7092558019770658,CCA,logmap_fixed
6,6,0.6289961431076335,CCA,logmap_fixed
7,7,0.781847235232782,CCA,logmap_fixed
8,8,0.6577739229321513,CCA,logmap_fixed
9,9,0.7819748129199402,CCA,logmap_fixed
10,10,0.6891658745279943,CCA,logmap_fixed
11,11,0.6992883869905779,CCA,logmap_fixed
12,12,0.6983603149542874,CCA,logmap_fixed
13,13,0.6812076821755457,CCA,logmap_fixed
14,14,0.7381757441844835,CCA,logmap_fixed
15,15,0.6589744071230451,CCA,logmap_fixed
16,16,0.8655402426745112,CCA,logmap_fixed
17,17,0.7450452466347682,CCA,logmap_fixed
18,18,0.7069160533938417,CCA,logmap_fixed
19,19,0.7903132058143396,CCA,logmap_fixed
20,20,0.723989492716711,CCA,logmap_fixed
21,21,0.7947145666088609,CCA,logmap_fixed
22,22,0.8325827203412575,CCA,logmap_fixed
23,23,0.7444398695887888,CCA,logmap_fixed
24,24,0.5750727892148323,CCA,logmap_fixed
25,25,0.6467896091225966,CCA,logmap_fixed
26,26,0.7447888099748257,CCA,logmap_fixed
27,27,0.7451454694499214,CCA,logmap_fixed
28,28,0.6944101786140049,CCA,logmap_fixed
29,29,0.6532942428399935,CCA,logmap_fixed
30,30,0.7175435386082618,CCA,logmap_fixed
31,31,0.7500814074006559,CCA,logmap_fixed
32,32,0.6545939126681561,CCA,logmap_fixed
33,33,0.7838149268387631,CCA,logmap_fixed
34,34,0.8226871590591389,CCA,logmap_fixed
35,35,0.761568653267167,CCA,logmap_fixed
36,36,0.7042078597919932,CCA,logmap_fixed
37,37,0.6224189472261665,CCA,logmap_fixed
38,38,0.7415925423029042,CCA,logmap_fixed
39,39,0.7258190240130716,CCA,logmap_fixed
40,40,0.7466849608847891,CCA,logmap_fixed
41,41,0.7101962047388414,CCA,logmap_fixed
42,42,0.7370590207597518,CCA,logmap_fixed
43,43,0.8020172541660611,CCA,logmap_fixed
44,44,0.6471545510147214,CCA,logmap_fixed
45,45,0.5598252446632082,CCA,logmap_fixed
46,46,0.6696564999514034,CCA,logmap_fixed
47,47,0.7683120279205988,CCA,logmap_fixed
48,48,0.7942044204492504,CCA,logmap_fixed
49,49,0.7507728194013491,CCA,logmap_fixed
