,data_id,r,method,dataset
0,0,0.6950247138809016,DCA,logmap_fixed
1,1,0.7315973391870754,DCA,logmap_fixed
2,2,0.7248091276999198,DCA,logmap_fixed
3,3,0.695149044343148,DCA,logmap_fixed
4,4,0.5840575778639945,DCA,logmap_fixed
5,5,0.6854510213890557,DCA,logmap_fixed
6,6,0.6166476707851459,DCA,logmap_fixed
7,7,0.7410885288073596,DCA,logmap_fixed
8,8,0.6438395742184244,DCA,logmap_fixed
9,9,0.759488380883676,DCA,logmap_fixed
10,10,0.6699472400269352,DCA,logmap_fixed
11,11,0.5763797688497287,DCA,logmap_fixed
12,12,0.6923352462231145,DCA,logmap_fixed
13,13,0.6649812987129021,DCA,logmap_fixed
14,14,0.7189513569959882,DCA,logmap_fixed
15,15,0.6243061533503237,DCA,logmap_fixed
16,16,0.9802612775422712,DCA,logmap_fixed
17,17,0.7166741614417209,DCA,logmap_fixed
18,18,0.6701818771921645,DCA,logmap_fixed
19,19,0.7534122032109267,DCA,logmap_fixed
20,20,0.7027390614668225,DCA,logmap_fixed
21,21,0.7675718586756513,DCA,logmap_fixed
22,22,0.947802004471772,DCA,logmap_fixed
23,23,0.7136524406532239,DCA,logmap_fixed
24,24,0.5747682432590989,DCA,logmap_fixed
25,25,0.6310493431576528,DCA,logmap_fixed
26,26,0.7256069620911358,DCA,logmap_fixed
27,27,0.7199009525156193,DCA,logmap_fixed
28,28,0.6596648555793418,DCA,logmap_fixed
29,29,0.630504166424763,DCA,logmap_fixed
30,30,0.6798018875431762,DCA,logmap_fixed
31,31,0.7133826393346259,DCA,logmap_fixed
32,32,0.6419120023109318,DCA,logmap_fixed
33,33,0.940046646596505,DCA,logmap_fixed
34,34,0.8034575959844226,DCA,logmap_fixed
35,35,0.73498952887902,DCA,logmap_fixed
36,36,0.6694749148425896,DCA,logmap_fixed
37,37,0.6178376410129927,DCA,logmap_fixed
38,38,0.7146465051607729,DCA,logmap_fixed
39,39,0.6983163011943601,DCA,logmap_fixed
40,40,0.7201081259416665,DCA,logmap_fixed
41,41,0.7084468391219638,DCA,logmap_fixed
42,42,0.7064046579773178,DCA,logmap_fixed
43,43,0.7590494949639701,DCA,logmap_fixed
44,44,0.634168887180508,DCA,logmap_fixed
45,45,0.5494228853040822,DCA,logmap_fixed
46,46,0.646436968342522,DCA,logmap_fixed
47,47,0.7362733706913379,DCA,logmap_fixed
48,48,0.7595840296441203,DCA,logmap_fixed
49,49,0.7426408509010809,DCA,logmap_fixed
