,data_id,r,method,dataset
0,0,0.7324773191048485,DCCA,logmap_fixed
1,1,0.7563145449530186,DCCA,logmap_fixed
2,2,0.7478061735574487,DCCA,logmap_fixed
3,3,0.7353315051491919,DCCA,logmap_fixed
4,4,0.5879198130940169,DCCA,logmap_fixed
5,5,0.7552433205335681,DCCA,logmap_fixed
6,6,0.6305725513305193,DCCA,logmap_fixed
7,7,0.7835102461018035,DCCA,logmap_fixed
8,8,0.6653208196939207,DCCA,logmap_fixed
9,9,0.7814776810539011,DCCA,logmap_fixed
10,10,0.6901081579009604,DCCA,logmap_fixed
11,11,0.7063343925576436,DCCA,logmap_fixed
12,12,0.6877055049246233,DCCA,logmap_fixed
13,13,0.6840948563516867,DCCA,logmap_fixed
14,14,0.7394802891095789,DCCA,logmap_fixed
15,15,0.6622204605983918,DCCA,logmap_fixed
16,16,0.8554902489430285,DCCA,logmap_fixed
17,17,0.7490987733445442,DCCA,logmap_fixed
18,18,0.708891866911848,DCCA,logmap_fixed
19,19,0.7922270895556807,DCCA,logmap_fixed
20,20,0.7242420193205168,DCCA,logmap_fixed
21,21,0.7951318716531032,DCCA,logmap_fixed
22,22,0.9584017726560937,DCCA,logmap_fixed
23,23,0.7465079675243498,DCCA,logmap_fixed
24,24,0.5791802851825587,DCCA,logmap_fixed
25,25,0.649396791155452,DCCA,logmap_fixed
26,26,0.7475490813568241,DCCA,logmap_fixed
27,27,0.7469000412965963,DCCA,logmap_fixed
28,28,0.695082175174564,DCCA,logmap_fixed
29,29,0.6577377164440311,DCCA,logmap_fixed
30,30,0.7184775156617345,DCCA,logmap_fixed
31,31,0.7447991776052498,DCCA,logmap_fixed
32,32,0.6571691263014022,DCCA,logmap_fixed
33,33,0.9587003039418069,DCCA,logmap_fixed
34,34,0.8249822283768019,DCCA,logmap_fixed
35,35,0.7624271200247572,DCCA,logmap_fixed
36,36,0.7048907880917031,DCCA,logmap_fixed
37,37,0.6272130336478073,DCCA,logmap_fixed
38,38,0.7430082558822496,DCCA,logmap_fixed
39,39,0.7271215800286892,DCCA,logmap_fixed
40,40,0.7471832445030379,DCCA,logmap_fixed
41,41,0.7100911228046867,DCCA,logmap_fixed
42,42,0.7383875209124872,DCCA,logmap_fixed
43,43,0.8049672885733885,DCCA,logmap_fixed
44,44,0.6503733253763154,DCCA,logmap_fixed
45,45,0.5645452035068522,DCCA,logmap_fixed
46,46,0.6700597807309069,DCCA,logmap_fixed
47,47,0.7708672876437032,DCCA,logmap_fixed
48,48,0.7957842285484645,DCCA,logmap_fixed
49,49,0.758274385815013,DCCA,logmap_fixed
