,data_id,r,method,dataset
0,0,0.7339430940769452,dcca,logistic_fixed
1,1,0.7539636489004924,dcca,logistic_fixed
2,2,0.7465970921319525,dcca,logistic_fixed
3,3,0.7344283622037248,dcca,logistic_fixed
4,4,0.8058160319546884,dcca,logistic_fixed
5,5,0.8686237494990348,dcca,logistic_fixed
6,6,0.8728317115003936,dcca,logistic_fixed
7,7,0.7964293205183869,dcca,logistic_fixed
8,8,0.8317368285445095,dcca,logistic_fixed
9,9,0.7908060410672766,dcca,logistic_fixed
10,10,0.8658346468826884,dcca,logistic_fixed
11,11,0.9333674789731974,dcca,logistic_fixed
12,12,0.8571890726837543,dcca,logistic_fixed
13,13,0.8259922105119843,dcca,logistic_fixed
14,14,0.7456612355948274,dcca,logistic_fixed
15,15,0.8402036763559638,dcca,logistic_fixed
16,16,0.9445814664169241,dcca,logistic_fixed
17,17,0.9212879705578806,dcca,logistic_fixed
18,18,0.8499843471458832,dcca,logistic_fixed
19,19,0.7893104765089097,dcca,logistic_fixed
20,20,0.7274579622870575,dcca,logistic_fixed
21,21,0.7989282595464342,dcca,logistic_fixed
22,22,0.9796643861040784,dcca,logistic_fixed
23,23,0.8725505745554901,dcca,logistic_fixed
24,24,0.81486013382393,dcca,logistic_fixed
25,25,0.919929892231619,dcca,logistic_fixed
26,26,0.910248431790826,dcca,logistic_fixed
27,27,0.8789386082095588,dcca,logistic_fixed
28,28,0.7146016543000454,dcca,logistic_fixed
29,29,0.8821349473980737,dcca,logistic_fixed
30,30,0.7227766531112425,dcca,logistic_fixed
31,31,0.8966415587806669,dcca,logistic_fixed
32,32,0.7531726161124211,dcca,logistic_fixed
33,33,0.9012056887995231,dcca,logistic_fixed
34,34,0.8283992693501313,dcca,logistic_fixed
35,35,0.7847171379444683,dcca,logistic_fixed
36,36,0.7108528213815963,dcca,logistic_fixed
37,37,0.7754155690385378,dcca,logistic_fixed
38,38,0.7320093744701847,dcca,logistic_fixed
39,39,0.8674598988657228,dcca,logistic_fixed
40,40,0.7668151854738697,dcca,logistic_fixed
41,41,0.8480361163883263,dcca,logistic_fixed
42,42,0.7473910230567216,dcca,logistic_fixed
43,43,0.8559968666326003,dcca,logistic_fixed
44,44,0.8452689510076914,dcca,logistic_fixed
45,45,0.9046856817324676,dcca,logistic_fixed
46,46,0.6553058888448089,dcca,logistic_fixed
47,47,0.7716286945780848,dcca,logistic_fixed
48,48,0.7843854053877576,dcca,logistic_fixed
49,49,0.8848061057218011,dcca,logistic_fixed
