,data_id,r,method,dataset
0,0,0.7007343512446758,ICA,logmap_fixed
1,1,0.702183820180699,ICA,logmap_fixed
2,2,0.7113581515437226,ICA,logmap_fixed
3,3,0.692002731928074,ICA,logmap_fixed
4,4,0.5775615563386225,ICA,logmap_fixed
5,5,0.7345791267453134,ICA,logmap_fixed
6,6,0.5915377648919287,ICA,logmap_fixed
7,7,0.7622031493948832,ICA,logmap_fixed
8,8,0.6321502505060905,ICA,logmap_fixed
9,9,0.7843715707414545,ICA,logmap_fixed
10,10,0.6548281910072036,ICA,logmap_fixed
11,11,0.6512984206547062,ICA,logmap_fixed
12,12,0.6750275735139543,ICA,logmap_fixed
13,13,0.6468974899939125,ICA,logmap_fixed
14,14,0.7129179114999882,ICA,logmap_fixed
15,15,0.5908235548307663,ICA,logmap_fixed
16,16,0.9041969578207116,ICA,logmap_fixed
17,17,0.7121085997324021,ICA,logmap_fixed
18,18,0.6865429491897816,ICA,logmap_fixed
19,19,0.7568246787284605,ICA,logmap_fixed
20,20,0.6824307048048948,ICA,logmap_fixed
21,21,0.7761903181332841,ICA,logmap_fixed
22,22,0.8742516487197721,ICA,logmap_fixed
23,23,0.6513113220735118,ICA,logmap_fixed
24,24,0.5587557984560797,ICA,logmap_fixed
25,25,0.571628185233812,ICA,logmap_fixed
26,26,0.698059774384417,ICA,logmap_fixed
27,27,0.6995879868526333,ICA,logmap_fixed
28,28,0.6706359872119888,ICA,logmap_fixed
29,29,0.6264740177805375,ICA,logmap_fixed
30,30,0.6912165938625772,ICA,logmap_fixed
31,31,0.7528496627819775,ICA,logmap_fixed
32,32,0.6212252020269575,ICA,logmap_fixed
33,33,0.8792930801140151,ICA,logmap_fixed
34,34,0.7903695441052367,ICA,logmap_fixed
35,35,0.7280786919801945,ICA,logmap_fixed
36,36,0.6799900975677693,ICA,logmap_fixed
37,37,0.6034278691380839,ICA,logmap_fixed
38,38,0.6866588288950121,ICA,logmap_fixed
39,39,0.6849129926425133,ICA,logmap_fixed
40,40,0.7267068072359528,ICA,logmap_fixed
41,41,0.6555468093720223,ICA,logmap_fixed
42,42,0.6933306131040469,ICA,logmap_fixed
43,43,0.6856947789598222,ICA,logmap_fixed
44,44,0.6029507186671311,ICA,logmap_fixed
45,45,0.5548003000518436,ICA,logmap_fixed
46,46,0.6384606116859453,ICA,logmap_fixed
47,47,0.7249173316590948,ICA,logmap_fixed
48,48,0.7747575804460912,ICA,logmap_fixed
49,49,0.7133592162546389,ICA,logmap_fixed
