,data_id,r,method,dataset
0,0,0.9726426939310823,MaCo,logmap_fixed
1,1,0.96408020837936,MaCo,logmap_fixed
2,2,0.9767761366996082,MaCo,logmap_fixed
3,3,0.9745080806035937,MaCo,logmap_fixed
4,4,0.9620639911980982,MaCo,logmap_fixed
5,5,0.7900234328354308,MaCo,logmap_fixed
6,6,0.9670254581469774,MaCo,logmap_fixed
7,7,0.9863622292960353,MaCo,logmap_fixed
8,8,0.9713498577644443,MaCo,logmap_fixed
9,9,0.9812859786532516,MaCo,logmap_fixed
10,10,0.9781825166170803,MaCo,logmap_fixed
11,11,0.7824147054383748,MaCo,logmap_fixed
12,12,0.9551743643906101,MaCo,logmap_fixed
13,13,0.9680876062760372,MaCo,logmap_fixed
14,14,0.9704671295083998,MaCo,logmap_fixed
15,15,0.9778361905066585,MaCo,logmap_fixed
16,16,0.841255695903766,MaCo,logmap_fixed
17,17,0.9701176992810955,MaCo,logmap_fixed
18,18,0.9665737965315746,MaCo,logmap_fixed
19,19,0.9833069942500037,MaCo,logmap_fixed
20,20,0.975368574065822,MaCo,logmap_fixed
21,21,0.9799770992748957,MaCo,logmap_fixed
22,22,0.5662917623797314,MaCo,logmap_fixed
23,23,0.9789047743339553,MaCo,logmap_fixed
24,24,0.9688649444804224,MaCo,logmap_fixed
25,25,0.9692802576282762,MaCo,logmap_fixed
26,26,0.9741439980640361,MaCo,logmap_fixed
27,27,0.9731045933540156,MaCo,logmap_fixed
28,28,0.9733122625758346,MaCo,logmap_fixed
29,29,0.9780869944637329,MaCo,logmap_fixed
30,30,0.9772475570450195,MaCo,logmap_fixed
31,31,0.9637565606236238,MaCo,logmap_fixed
32,32,0.9727673063243216,MaCo,logmap_fixed
33,33,0.9736537769815635,MaCo,logmap_fixed
34,34,0.978604867983152,MaCo,logmap_fixed
35,35,0.9681537359331801,MaCo,logmap_fixed
36,36,0.96713892420975,MaCo,logmap_fixed
37,37,0.9715579448350016,MaCo,logmap_fixed
38,38,0.9766413687068328,MaCo,logmap_fixed
39,39,0.9642845821166046,MaCo,logmap_fixed
40,40,0.9787376763692032,MaCo,logmap_fixed
41,41,0.9717062696124095,MaCo,logmap_fixed
42,42,0.960668192459547,MaCo,logmap_fixed
43,43,0.980833726534619,MaCo,logmap_fixed
44,44,0.9765677328429933,MaCo,logmap_fixed
45,45,0.9752098911143292,MaCo,logmap_fixed
46,46,0.972515371990226,MaCo,logmap_fixed
47,47,0.9698549552220866,MaCo,logmap_fixed
48,48,0.9770349163504333,MaCo,logmap_fixed
49,49,0.9773129945169095,MaCo,logmap_fixed
