,data_id,r,method,dataset
0,0,0.03835847045672784,Random,logmap_fixed
1,1,0.037886042555872156,Random,logmap_fixed
2,2,0.036035680957717725,Random,logmap_fixed
3,3,0.04149651235487229,Random,logmap_fixed
4,4,0.033702176156128694,Random,logmap_fixed
5,5,0.01755628253852601,Random,logmap_fixed
6,6,0.038371508131904174,Random,logmap_fixed
7,7,0.03437156083315212,Random,logmap_fixed
8,8,0.03510478930692853,Random,logmap_fixed
9,9,0.04137777930318144,Random,logmap_fixed
10,10,0.03727958191086692,Random,logmap_fixed
11,11,0.025264146147583388,Random,logmap_fixed
12,12,0.016301398165681363,Random,logmap_fixed
13,13,0.035598258315014675,Random,logmap_fixed
14,14,0.03240791776578711,Random,logmap_fixed
15,15,0.03733310087967487,Random,logmap_fixed
16,16,0.019446751968476724,Random,logmap_fixed
17,17,0.03347079001319053,Random,logmap_fixed
18,18,0.034662695981953,Random,logmap_fixed
19,19,0.037453471820247934,Random,logmap_fixed
20,20,0.03588319338219665,Random,logmap_fixed
21,21,0.038908035236056196,Random,logmap_fixed
22,22,0.013747803862667045,Random,logmap_fixed
23,23,0.036464102075193384,Random,logmap_fixed
24,24,0.03420999182981717,Random,logmap_fixed
25,25,0.030946860266078402,Random,logmap_fixed
26,26,0.03403210783449241,Random,logmap_fixed
27,27,0.03721764293368437,Random,logmap_fixed
28,28,0.03409069719254592,Random,logmap_fixed
29,29,0.03483308665265651,Random,logmap_fixed
30,30,0.03881236310602741,Random,logmap_fixed
31,31,0.03510380200597389,Random,logmap_fixed
32,32,0.03877115286605416,Random,logmap_fixed
33,33,0.029894057486957934,Random,logmap_fixed
34,34,0.03471203244338972,Random,logmap_fixed
35,35,0.03571616803040379,Random,logmap_fixed
36,36,0.0326879332322925,Random,logmap_fixed
37,37,0.040608352967740215,Random,logmap_fixed
38,38,0.03981593600709658,Random,logmap_fixed
39,39,0.03289623674297737,Random,logmap_fixed
40,40,0.03661422515339052,Random,logmap_fixed
41,41,0.015019945052915738,Random,logmap_fixed
42,42,0.04439878814580358,Random,logmap_fixed
43,43,0.035436682116413806,Random,logmap_fixed
44,44,0.03621722175638323,Random,logmap_fixed
45,45,0.035196355318118135,Random,logmap_fixed
46,46,0.03368337762751371,Random,logmap_fixed
47,47,0.03683816621533738,Random,logmap_fixed
48,48,0.034804713403686204,Random,logmap_fixed
49,49,0.035411070182563696,Random,logmap_fixed
