,data_id,r,method,dataset
0,0,0.09899029696879325,SFA,logmap_fixed
1,1,0.04112828351042412,SFA,logmap_fixed
2,2,0.11633786071436963,SFA,logmap_fixed
3,3,0.05705945282941201,SFA,logmap_fixed
4,4,0.1329078790175829,SFA,logmap_fixed
5,5,0.034756962927202796,SFA,logmap_fixed
6,6,0.15384436963770018,SFA,logmap_fixed
7,7,0.04532352026295777,SFA,logmap_fixed
8,8,0.10320700664235088,SFA,logmap_fixed
9,9,0.03073769922457879,SFA,logmap_fixed
10,10,0.12019501775720218,SFA,logmap_fixed
11,11,0.04641622058265522,SFA,logmap_fixed
12,12,0.009078667731691576,SFA,logmap_fixed
13,13,0.11196714876074365,SFA,logmap_fixed
14,14,0.05030045262047769,SFA,logmap_fixed
15,15,0.1423730619303578,SFA,logmap_fixed
16,16,0.0024593455544577,SFA,logmap_fixed
17,17,0.06217124403670716,SFA,logmap_fixed
18,18,0.11931478813987853,SFA,logmap_fixed
19,19,0.04914452573921665,SFA,logmap_fixed
20,20,0.06542186653111472,SFA,logmap_fixed
21,21,0.044211739375176085,SFA,logmap_fixed
22,22,0.00664011277478617,SFA,logmap_fixed
23,23,0.058092059462112995,SFA,logmap_fixed
24,24,0.12979298187380825,SFA,logmap_fixed
25,25,0.10464185264716357,SFA,logmap_fixed
26,26,0.0656111947737421,SFA,logmap_fixed
27,27,0.043278989060528086,SFA,logmap_fixed
28,28,0.10647214023075846,SFA,logmap_fixed
29,29,0.12673711152909228,SFA,logmap_fixed
30,30,0.1433041316712756,SFA,logmap_fixed
31,31,0.05356327923309311,SFA,logmap_fixed
32,32,0.12683298167669754,SFA,logmap_fixed
33,33,0.00957176532302819,SFA,logmap_fixed
34,34,0.07449580784321312,SFA,logmap_fixed
35,35,0.05912597544823378,SFA,logmap_fixed
36,36,0.11125071004427625,SFA,logmap_fixed
37,37,0.13004360757897473,SFA,logmap_fixed
38,38,0.08027245095857193,SFA,logmap_fixed
39,39,0.07580819601351103,SFA,logmap_fixed
40,40,0.09955186755076022,SFA,logmap_fixed
41,41,0.04311148495612186,SFA,logmap_fixed
42,42,0.03831111561144905,SFA,logmap_fixed
43,43,0.08552759337568598,SFA,logmap_fixed
44,44,0.14690380042939927,SFA,logmap_fixed
45,45,0.17619460456871708,SFA,logmap_fixed
46,46,0.08815403771003578,SFA,logmap_fixed
47,47,0.02838164951075062,SFA,logmap_fixed
48,48,0.05296642168904897,SFA,logmap_fixed
49,49,0.0616767722628943,SFA,logmap_fixed
