,data_id,r,method,dataset
0,0,0.7698049069025595,CCA,lorenz
1,1,0.8179349299703457,CCA,lorenz
2,2,0.7796044620067188,CCA,lorenz
3,3,0.838691420358158,CCA,lorenz
4,4,0.9160278543239958,CCA,lorenz
5,5,0.8842095983707385,CCA,lorenz
6,6,0.9060321855107443,CCA,lorenz
7,7,0.7870060134414094,CCA,lorenz
8,8,0.6729216867421225,CCA,lorenz
9,9,0.8747766138767433,CCA,lorenz
10,10,0.7994998762015831,CCA,lorenz
11,11,0.8504848760949095,CCA,lorenz
12,12,0.8098769168022916,CCA,lorenz
13,13,0.8784454398453233,CCA,lorenz
14,14,0.8406004182149637,CCA,lorenz
15,15,0.8801385507269575,CCA,lorenz
16,16,0.8922002746618192,CCA,lorenz
17,17,0.8979788398232353,CCA,lorenz
18,18,0.8304135928158657,CCA,lorenz
19,19,0.8688830499502531,CCA,lorenz
20,20,0.8417068718046568,CCA,lorenz
21,21,0.8519840944543149,CCA,lorenz
22,22,0.8528832556790242,CCA,lorenz
23,23,0.8010356751455685,CCA,lorenz
24,24,0.6269827584528622,CCA,lorenz
25,25,0.677298908853118,CCA,lorenz
26,26,0.7455949428850556,CCA,lorenz
27,27,0.8806587879004149,CCA,lorenz
28,28,0.8835443260395786,CCA,lorenz
29,29,0.675833281535195,CCA,lorenz
30,30,0.870543688666139,CCA,lorenz
31,31,0.7404286270084016,CCA,lorenz
32,32,0.8402204688923324,CCA,lorenz
33,33,0.8532220426891508,CCA,lorenz
34,34,0.843780796748352,CCA,lorenz
35,35,0.9237768288447967,CCA,lorenz
36,36,0.8239737575154058,CCA,lorenz
37,37,0.7992961623876721,CCA,lorenz
38,38,0.7779961920888236,CCA,lorenz
39,39,0.7337916043813338,CCA,lorenz
40,40,0.794460452362513,CCA,lorenz
41,41,0.6269375449606404,CCA,lorenz
42,42,0.8927888921704484,CCA,lorenz
43,43,0.809119733425887,CCA,lorenz
44,44,0.8453694580344234,CCA,lorenz
45,45,0.5592955102820629,CCA,lorenz
46,46,0.7647201705182269,CCA,lorenz
47,47,0.8150599343068061,CCA,lorenz
48,48,0.915083188361742,CCA,lorenz
49,49,0.8778109373186876,CCA,lorenz
50,50,0.8319933897279077,CCA,lorenz
51,51,0.8928339964163475,CCA,lorenz
52,52,0.8509486225946307,CCA,lorenz
53,53,0.7982764230007098,CCA,lorenz
54,54,0.7500056090579111,CCA,lorenz
55,55,0.8485678935288301,CCA,lorenz
56,56,0.8413064416165814,CCA,lorenz
57,57,0.6851780885505403,CCA,lorenz
58,58,0.8407911707564389,CCA,lorenz
59,59,0.7146981129741697,CCA,lorenz
60,60,0.7363164618458795,CCA,lorenz
61,61,0.8892821430464637,CCA,lorenz
62,62,0.8043429833554568,CCA,lorenz
63,63,0.8605934558015009,CCA,lorenz
64,64,0.876959055636882,CCA,lorenz
65,65,0.8697087648535134,CCA,lorenz
66,66,0.8544326817206039,CCA,lorenz
67,67,0.5360258083778245,CCA,lorenz
68,68,0.6876267038973486,CCA,lorenz
69,69,0.7599306038917664,CCA,lorenz
70,70,0.8901412514122075,CCA,lorenz
71,71,0.843755379552562,CCA,lorenz
72,72,0.8415365354943405,CCA,lorenz
73,73,0.8442858813718663,CCA,lorenz
74,74,0.8917398959665676,CCA,lorenz
75,75,0.7911761557520016,CCA,lorenz
76,76,0.8472161559501795,CCA,lorenz
77,77,0.7193865112420775,CCA,lorenz
78,78,0.8679878938581652,CCA,lorenz
79,79,0.8881993761166929,CCA,lorenz
80,80,0.7996150951808054,CCA,lorenz
81,81,0.8196746520776808,CCA,lorenz
82,82,0.8908342267895519,CCA,lorenz
83,83,0.8892572186289409,CCA,lorenz
84,84,0.867658671210129,CCA,lorenz
85,85,0.8027180568798536,CCA,lorenz
86,86,0.8236839973787147,CCA,lorenz
87,87,0.8286251236052771,CCA,lorenz
88,88,0.7564180744892892,CCA,lorenz
89,89,0.7969850377726029,CCA,lorenz
90,90,0.8857102016231994,CCA,lorenz
91,91,0.9293174096264681,CCA,lorenz
92,92,0.8589471229837371,CCA,lorenz
93,93,0.7826980476982648,CCA,lorenz
94,94,0.850638194788801,CCA,lorenz
95,95,0.7308579765689304,CCA,lorenz
96,96,0.8466560823249253,CCA,lorenz
97,97,0.7874872830712194,CCA,lorenz
98,98,0.8280463385801563,CCA,lorenz
99,99,0.83798303837334,CCA,lorenz
