,data_id,r,method,dataset
0,0,0.24779091296934613,DCA,lorenz
1,1,0.5477722285434918,DCA,lorenz
2,2,0.5802109958816013,DCA,lorenz
3,3,0.5537996914303555,DCA,lorenz
4,4,0.8522740529409898,DCA,lorenz
5,5,0.8293314786487509,DCA,lorenz
6,6,0.6121055235366379,DCA,lorenz
7,7,0.4089663431193069,DCA,lorenz
8,8,0.284856299825862,DCA,lorenz
9,9,0.5260112167399651,DCA,lorenz
10,10,0.5414949888127507,DCA,lorenz
11,11,0.5499453262530656,DCA,lorenz
12,12,0.2172740103325464,DCA,lorenz
13,13,0.7156214935878813,DCA,lorenz
14,14,0.45450804710094833,DCA,lorenz
15,15,0.7606582736645862,DCA,lorenz
16,16,0.7405010591104044,DCA,lorenz
17,17,0.6527569030204501,DCA,lorenz
18,18,0.6972617528330369,DCA,lorenz
19,19,0.9026089747756693,DCA,lorenz
20,20,0.6283688934018847,DCA,lorenz
21,21,0.6386735926502798,DCA,lorenz
22,22,0.5587361470645796,DCA,lorenz
23,23,0.557564469261351,DCA,lorenz
24,24,0.16965172473361528,DCA,lorenz
25,25,0.32229940268724605,DCA,lorenz
26,26,0.4301819807790384,DCA,lorenz
27,27,0.4417966366788453,DCA,lorenz
28,28,0.6641175543234538,DCA,lorenz
29,29,0.5496536791424607,DCA,lorenz
30,30,0.7817575323825552,DCA,lorenz
31,31,0.41165588171618883,DCA,lorenz
32,32,0.3875864109109122,DCA,lorenz
33,33,0.6653180653281795,DCA,lorenz
34,34,0.2809371051891195,DCA,lorenz
35,35,0.8568798824038915,DCA,lorenz
36,36,0.7889507474474087,DCA,lorenz
37,37,0.19445655705383286,DCA,lorenz
38,38,0.47881402260468187,DCA,lorenz
39,39,0.2946910292966378,DCA,lorenz
40,40,0.2047860596043372,DCA,lorenz
41,41,0.164277593176541,DCA,lorenz
42,42,0.815917741654752,DCA,lorenz
43,43,0.583309488377135,DCA,lorenz
44,44,0.6784955895743576,DCA,lorenz
45,45,0.1596618463061053,DCA,lorenz
46,46,0.26692956344254604,DCA,lorenz
47,47,0.4397285012733477,DCA,lorenz
48,48,0.9078203103558758,DCA,lorenz
49,49,0.42804647516045324,DCA,lorenz
50,50,0.7803322736099758,DCA,lorenz
51,51,0.5983443450565576,DCA,lorenz
52,52,0.7234704781336821,DCA,lorenz
53,53,0.3356120133331944,DCA,lorenz
54,54,0.23308469397680964,DCA,lorenz
55,55,0.7187830289479105,DCA,lorenz
56,56,0.7647494502730738,DCA,lorenz
57,57,0.31898861155708363,DCA,lorenz
58,58,0.6672946609101289,DCA,lorenz
59,59,0.5067184312270958,DCA,lorenz
60,60,0.18127138661484948,DCA,lorenz
61,61,0.7300397178706814,DCA,lorenz
62,62,0.4980816117863405,DCA,lorenz
63,63,0.7097406700030965,DCA,lorenz
64,64,0.9003745546751603,DCA,lorenz
65,65,0.6227643916918983,DCA,lorenz
66,66,0.7525351834987932,DCA,lorenz
67,67,0.18803377296017876,DCA,lorenz
68,68,0.23262639117347036,DCA,lorenz
69,69,0.257583850061352,DCA,lorenz
70,70,0.7653329889896086,DCA,lorenz
71,71,0.9344186037399934,DCA,lorenz
72,72,0.7347008196864138,DCA,lorenz
73,73,0.7190845555731056,DCA,lorenz
74,74,0.35547295784344174,DCA,lorenz
75,75,0.8105455294599337,DCA,lorenz
76,76,0.3009381069733794,DCA,lorenz
77,77,0.3439957244316595,DCA,lorenz
78,78,0.591671091769929,DCA,lorenz
79,79,0.6795528412610656,DCA,lorenz
80,80,0.7495589244626799,DCA,lorenz
81,81,0.44102526086736105,DCA,lorenz
82,82,0.6931848880799538,DCA,lorenz
83,83,0.6931267374632812,DCA,lorenz
84,84,0.4389841110264391,DCA,lorenz
85,85,0.6171892011936836,DCA,lorenz
86,86,0.5955620261152419,DCA,lorenz
87,87,0.2554277951261936,DCA,lorenz
88,88,0.5435997198255137,DCA,lorenz
89,89,0.3356967949854744,DCA,lorenz
90,90,0.5207074223340331,DCA,lorenz
91,91,0.8681962603576966,DCA,lorenz
92,92,0.4036621145737732,DCA,lorenz
93,93,0.3423221482632287,DCA,lorenz
94,94,0.7597501156253317,DCA,lorenz
95,95,0.3605612737268777,DCA,lorenz
96,96,0.3487117604511662,DCA,lorenz
97,97,0.6939496301278933,DCA,lorenz
98,98,0.1789170384751655,DCA,lorenz
99,99,0.11706392602861423,DCA,lorenz
