,data_id,r,method,dataset
0,0,0.9232921055479579,DCCA,lorenz
1,1,0.9251885392881278,DCCA,lorenz
2,2,0.9187164169978103,DCCA,lorenz
3,3,0.9386984462609311,DCCA,lorenz
4,4,0.946150889505855,DCCA,lorenz
5,5,0.9396141177209347,DCCA,lorenz
6,6,0.9487211822980827,DCCA,lorenz
7,7,0.9228678514876822,DCCA,lorenz
8,8,0.9155637887724918,DCCA,lorenz
9,9,0.9382685586973645,DCCA,lorenz
10,10,0.9261265767874187,DCCA,lorenz
11,11,0.935487564003616,DCCA,lorenz
12,12,0.937235707368898,DCCA,lorenz
13,13,0.9440715413192045,DCCA,lorenz
14,14,0.9433088909107162,DCCA,lorenz
15,15,0.937161316848613,DCCA,lorenz
16,16,0.9357023561786477,DCCA,lorenz
17,17,0.9460324859904647,DCCA,lorenz
18,18,0.9183415872208375,DCCA,lorenz
19,19,0.9261727746650622,DCCA,lorenz
20,20,0.9288159441595475,DCCA,lorenz
21,21,0.925510517343575,DCCA,lorenz
22,22,0.9348138470863503,DCCA,lorenz
23,23,0.9213915247403855,DCCA,lorenz
24,24,0.14265307923264298,DCCA,lorenz
25,25,0.9162307205295169,DCCA,lorenz
26,26,0.9158491349445778,DCCA,lorenz
27,27,0.9369899996799674,DCCA,lorenz
28,28,0.9397532069005439,DCCA,lorenz
29,29,0.9015966550007204,DCCA,lorenz
30,30,0.9318822128264127,DCCA,lorenz
31,31,0.9191488118426631,DCCA,lorenz
32,32,0.9410189421584365,DCCA,lorenz
33,33,0.9318698727367142,DCCA,lorenz
34,34,0.9358905404267621,DCCA,lorenz
35,35,0.9539011452805002,DCCA,lorenz
36,36,0.923403107250309,DCCA,lorenz
37,37,0.9382224091503698,DCCA,lorenz
38,38,0.9002637200743066,DCCA,lorenz
39,39,0.9027164586810964,DCCA,lorenz
40,40,0.9177692544257824,DCCA,lorenz
41,41,0.9151223403465891,DCCA,lorenz
42,42,0.9296367173365907,DCCA,lorenz
43,43,0.9163767066680016,DCCA,lorenz
44,44,0.9340560896521243,DCCA,lorenz
45,45,0.9180512650896434,DCCA,lorenz
46,46,0.9230095647879791,DCCA,lorenz
47,47,0.9202650928353173,DCCA,lorenz
48,48,0.9501582934576931,DCCA,lorenz
49,49,0.9415372607561836,DCCA,lorenz
50,50,0.9322617161371513,DCCA,lorenz
51,51,0.9388679607934336,DCCA,lorenz
52,52,0.9253139601683598,DCCA,lorenz
53,53,0.9270617157454334,DCCA,lorenz
54,54,0.912578429848722,DCCA,lorenz
55,55,0.9356521618176502,DCCA,lorenz
56,56,0.9307023700582193,DCCA,lorenz
57,57,0.9273376593088548,DCCA,lorenz
58,58,0.9158882816502237,DCCA,lorenz
59,59,0.9095778104771913,DCCA,lorenz
60,60,0.9224067121947312,DCCA,lorenz
61,61,0.9451942686690424,DCCA,lorenz
62,62,0.9233938502795082,DCCA,lorenz
63,63,0.9324324873830693,DCCA,lorenz
64,64,0.9309916989544442,DCCA,lorenz
65,65,0.9392940464565176,DCCA,lorenz
66,66,0.9211069951854759,DCCA,lorenz
67,67,0.8747150777847705,DCCA,lorenz
68,68,0.9169699249953432,DCCA,lorenz
69,69,0.919432591580555,DCCA,lorenz
70,70,0.9381230682247841,DCCA,lorenz
71,71,0.9308083377622778,DCCA,lorenz
72,72,0.9224474095619177,DCCA,lorenz
73,73,0.9180967179946715,DCCA,lorenz
74,74,0.951704639244976,DCCA,lorenz
75,75,0.8992431081548407,DCCA,lorenz
76,76,0.9359142854236612,DCCA,lorenz
77,77,0.9238358288495709,DCCA,lorenz
78,78,0.9361046418134396,DCCA,lorenz
79,79,0.9455021511695414,DCCA,lorenz
80,80,0.9097134808967698,DCCA,lorenz
81,81,0.9358365584888503,DCCA,lorenz
82,82,0.9451957763664409,DCCA,lorenz
83,83,0.942462573762597,DCCA,lorenz
84,84,0.9458610196887355,DCCA,lorenz
85,85,0.9195226759778578,DCCA,lorenz
86,86,0.915187610704707,DCCA,lorenz
87,87,0.9297031875699778,DCCA,lorenz
88,88,0.9094124791744889,DCCA,lorenz
89,89,0.11303859057790201,DCCA,lorenz
90,90,0.9367421130394793,DCCA,lorenz
91,91,0.955737870655899,DCCA,lorenz
92,92,0.9390783926557488,DCCA,lorenz
93,93,0.9136341007062266,DCCA,lorenz
94,94,0.9293448835882824,DCCA,lorenz
95,95,0.9206548093638656,DCCA,lorenz
96,96,0.9310547262553762,DCCA,lorenz
97,97,0.8812628253281518,DCCA,lorenz
98,98,0.9314379043041746,DCCA,lorenz
99,99,0.9430149537794703,DCCA,lorenz
