,coefs,wcomp,n_components,method,dataset
0,0.19729205595849159,1,1,ICA,lorenz
1,0.3056224618914456,1,1,ICA,lorenz
2,0.35831962541057366,1,1,ICA,lorenz
3,0.3921957990668837,1,1,ICA,lorenz
4,0.773982683568685,1,1,ICA,lorenz
5,0.6661765851212169,1,1,ICA,lorenz
6,0.28654488090544505,1,1,ICA,lorenz
7,0.2818236970583049,1,1,ICA,lorenz
8,0.16747040663294932,1,1,ICA,lorenz
9,0.5352146929503809,1,1,ICA,lorenz
10,0.43880597809640876,1,1,ICA,lorenz
11,0.5120886263757354,1,1,ICA,lorenz
12,0.15266328965120565,1,1,ICA,lorenz
13,0.6978826688127984,1,1,ICA,lorenz
14,0.5910994273735701,1,1,ICA,lorenz
15,0.6424126101913795,1,1,ICA,lorenz
16,0.8036980408419024,1,1,ICA,lorenz
17,0.304927605646059,1,1,ICA,lorenz
18,0.47253910832636775,1,1,ICA,lorenz
19,0.9061992053132649,1,1,ICA,lorenz
20,0.36173493097121634,1,1,ICA,lorenz
21,0.6045438597415369,1,1,ICA,lorenz
22,0.6970237284355284,1,1,ICA,lorenz
23,0.752247345114203,1,1,ICA,lorenz
24,0.1712870463467211,1,1,ICA,lorenz
25,0.14999936388443377,1,1,ICA,lorenz
26,0.35861799502157954,1,1,ICA,lorenz
27,0.48605210223820855,1,1,ICA,lorenz
28,0.598929526438882,1,1,ICA,lorenz
29,0.17248140107335586,1,1,ICA,lorenz
30,0.30792232931226227,1,1,ICA,lorenz
31,0.18923335627169854,1,1,ICA,lorenz
32,0.345824190786814,1,1,ICA,lorenz
33,0.3538704101013583,1,1,ICA,lorenz
34,0.41197903959204574,1,1,ICA,lorenz
35,0.739867423733959,1,1,ICA,lorenz
36,0.2654059576682811,1,1,ICA,lorenz
37,0.1682549919412788,1,1,ICA,lorenz
38,0.42009246600412303,1,1,ICA,lorenz
39,0.21760028806750323,1,1,ICA,lorenz
40,0.20533110978985855,1,1,ICA,lorenz
41,0.1331417594508703,1,1,ICA,lorenz
42,0.2546940308647039,1,1,ICA,lorenz
43,0.4396649195443099,1,1,ICA,lorenz
44,0.7086927992270475,1,1,ICA,lorenz
45,0.12151298309157134,1,1,ICA,lorenz
46,0.1871805766443096,1,1,ICA,lorenz
47,0.36241734524335706,1,1,ICA,lorenz
48,0.7788768547181424,1,1,ICA,lorenz
49,0.506580042668984,1,1,ICA,lorenz
50,0.2684961787008496,1,1,ICA,lorenz
51,0.5262158635222718,1,1,ICA,lorenz
52,0.8222639567767661,1,1,ICA,lorenz
53,0.22064272284172903,1,1,ICA,lorenz
54,0.19989154876522708,1,1,ICA,lorenz
55,0.7925039215109251,1,1,ICA,lorenz
56,0.35576824591305173,1,1,ICA,lorenz
57,0.33936612155220364,1,1,ICA,lorenz
58,0.43577117000463494,1,1,ICA,lorenz
59,0.22438711751687632,1,1,ICA,lorenz
60,0.19939339059042682,1,1,ICA,lorenz
61,0.7522244134148605,1,1,ICA,lorenz
62,0.46048556837231897,1,1,ICA,lorenz
63,0.5117936757500191,1,1,ICA,lorenz
64,0.2780438356131143,1,1,ICA,lorenz
65,0.46180724506549203,1,1,ICA,lorenz
66,0.7643772906746956,1,1,ICA,lorenz
67,0.39844405165258273,1,1,ICA,lorenz
68,0.16648498034988599,1,1,ICA,lorenz
69,0.7585927335921356,1,1,ICA,lorenz
70,0.6438225293002894,1,1,ICA,lorenz
71,0.8305160793204287,1,1,ICA,lorenz
72,0.19895977747006957,1,1,ICA,lorenz
73,0.25521419881604096,1,1,ICA,lorenz
74,0.428725397697716,1,1,ICA,lorenz
75,0.8912466950872173,1,1,ICA,lorenz
76,0.33060343270955006,1,1,ICA,lorenz
77,0.21371669713484187,1,1,ICA,lorenz
78,0.28706077219612114,1,1,ICA,lorenz
79,0.6174562800806214,1,1,ICA,lorenz
80,0.48947679811813904,1,1,ICA,lorenz
81,0.4755105169685,1,1,ICA,lorenz
82,0.630584213239032,1,1,ICA,lorenz
83,0.5328257732002128,1,1,ICA,lorenz
84,0.32644725450662815,1,1,ICA,lorenz
85,0.33591351223589894,1,1,ICA,lorenz
86,0.5271417116073193,1,1,ICA,lorenz
87,0.26703095069949545,1,1,ICA,lorenz
88,0.14914691923306353,1,1,ICA,lorenz
89,0.2297869333718022,1,1,ICA,lorenz
90,0.3251731193403449,1,1,ICA,lorenz
91,0.8255410456418507,1,1,ICA,lorenz
92,0.6337592002612807,1,1,ICA,lorenz
93,0.2610834585480256,1,1,ICA,lorenz
94,0.6968643223881783,1,1,ICA,lorenz
95,0.2623438717193226,1,1,ICA,lorenz
96,0.3799676674496425,1,1,ICA,lorenz
97,0.5197833705957262,1,1,ICA,lorenz
98,0.2811312342001939,1,1,ICA,lorenz
99,0.14309878665575926,1,1,ICA,lorenz
0,0.1848122342731536,1,2,ICA,lorenz
1,0.5042240677366657,1,2,ICA,lorenz
2,0.3549938542316989,1,2,ICA,lorenz
3,0.4641033261630506,1,2,ICA,lorenz
4,0.7742854604127974,1,2,ICA,lorenz
5,0.6660696540672189,2,2,ICA,lorenz
6,0.7482417195791992,2,2,ICA,lorenz
7,0.28025600517922705,1,2,ICA,lorenz
8,0.16270621977237185,2,2,ICA,lorenz
9,0.6268701907391795,2,2,ICA,lorenz
10,0.48850086381148483,1,2,ICA,lorenz
11,0.5350186416764895,1,2,ICA,lorenz
12,0.1735866324742218,1,2,ICA,lorenz
13,0.5544359840377365,1,2,ICA,lorenz
14,0.5700093887361688,2,2,ICA,lorenz
15,0.7646962763228502,1,2,ICA,lorenz
16,0.8033283645303357,2,2,ICA,lorenz
17,0.575239664391433,2,2,ICA,lorenz
18,0.8157069332847267,2,2,ICA,lorenz
19,0.8929866588695443,1,2,ICA,lorenz
20,0.39203279723142065,1,2,ICA,lorenz
21,0.6112575634436366,1,2,ICA,lorenz
22,0.6970312546119031,1,2,ICA,lorenz
23,0.7672274612811492,1,2,ICA,lorenz
24,0.17334520554847307,1,2,ICA,lorenz
25,0.25412752378142794,2,2,ICA,lorenz
26,0.4340729369658087,2,2,ICA,lorenz
27,0.5042862710944854,1,2,ICA,lorenz
28,0.5854381862483721,1,2,ICA,lorenz
29,0.6297836498993973,2,2,ICA,lorenz
30,0.7765310654336723,2,2,ICA,lorenz
31,0.16283877529219765,1,2,ICA,lorenz
32,0.60331247204396,2,2,ICA,lorenz
33,0.3742141062181393,2,2,ICA,lorenz
34,0.4149167111018664,1,2,ICA,lorenz
35,0.7401634540247709,2,2,ICA,lorenz
36,0.6799414511572209,2,2,ICA,lorenz
37,0.20869181912925241,2,2,ICA,lorenz
38,0.6841224988507396,2,2,ICA,lorenz
39,0.21196546953409393,1,2,ICA,lorenz
40,0.21537103526375573,2,2,ICA,lorenz
41,0.1365691816114375,1,2,ICA,lorenz
42,0.9395034883762562,2,2,ICA,lorenz
43,0.5612233523656542,2,2,ICA,lorenz
44,0.7084958787358374,2,2,ICA,lorenz
45,0.1656737529918076,2,2,ICA,lorenz
46,0.25669849482106655,2,2,ICA,lorenz
47,0.2920763523186632,1,2,ICA,lorenz
