,coefs,wcomp,n_components,method,dataset
0,0.19729205595849172,1,1,PCA,lorenz
1,0.3056224618914461,1,1,PCA,lorenz
2,0.35831962541057366,1,1,PCA,lorenz
3,0.39219579906688357,1,1,PCA,lorenz
4,0.773982683568685,1,1,PCA,lorenz
5,0.6661765851212169,1,1,PCA,lorenz
6,0.28654488090544383,1,1,PCA,lorenz
7,0.281823697058306,1,1,PCA,lorenz
8,0.16747040663294938,1,1,PCA,lorenz
9,0.5352146929503818,1,1,PCA,lorenz
10,0.4388059780964067,1,1,PCA,lorenz
11,0.5120886263757357,1,1,PCA,lorenz
12,0.15266328965120565,1,1,PCA,lorenz
13,0.6978826688127984,1,1,PCA,lorenz
14,0.5910994273735704,1,1,PCA,lorenz
15,0.64241261019138,1,1,PCA,lorenz
16,0.8036980408419023,1,1,PCA,lorenz
17,0.3049276056460562,1,1,PCA,lorenz
18,0.47253910832636725,1,1,PCA,lorenz
19,0.9061992053132647,1,1,PCA,lorenz
20,0.36173493097121556,1,1,PCA,lorenz
21,0.604543859741537,1,1,PCA,lorenz
22,0.6970237284355284,1,1,PCA,lorenz
23,0.7522473451142029,1,1,PCA,lorenz
24,0.17128704634672096,1,1,PCA,lorenz
25,0.14999936388443394,1,1,PCA,lorenz
26,0.3586179950215779,1,1,PCA,lorenz
27,0.48605210223820866,1,1,PCA,lorenz
28,0.5989295264388819,1,1,PCA,lorenz
29,0.1724814010733556,1,1,PCA,lorenz
30,0.30792232931226193,1,1,PCA,lorenz
31,0.18923335627169893,1,1,PCA,lorenz
32,0.3458241907868101,1,1,PCA,lorenz
33,0.3538704101013579,1,1,PCA,lorenz
34,0.41197903959204557,1,1,PCA,lorenz
35,0.7398674237339591,1,1,PCA,lorenz
36,0.26540595766828146,1,1,PCA,lorenz
37,0.16825499194127883,1,1,PCA,lorenz
38,0.4200924660041245,1,1,PCA,lorenz
39,0.21760028806750323,1,1,PCA,lorenz
40,0.20533110978985886,1,1,PCA,lorenz
41,0.1331417594508703,1,1,PCA,lorenz
42,0.2546940308647035,1,1,PCA,lorenz
43,0.43966491954431036,1,1,PCA,lorenz
44,0.7086927992270475,1,1,PCA,lorenz
45,0.1215129830915714,1,1,PCA,lorenz
46,0.187180576644309,1,1,PCA,lorenz
47,0.36241734524335706,1,1,PCA,lorenz
48,0.7788768547181423,1,1,PCA,lorenz
49,0.5065800426689842,1,1,PCA,lorenz
50,0.2684961787008508,1,1,PCA,lorenz
51,0.5262158635222727,1,1,PCA,lorenz
52,0.822263956776766,1,1,PCA,lorenz
53,0.220642722841729,1,1,PCA,lorenz
54,0.19989154876522716,1,1,PCA,lorenz
55,0.7925039215109253,1,1,PCA,lorenz
56,0.35576824591305095,1,1,PCA,lorenz
57,0.33936612155220397,1,1,PCA,lorenz
58,0.43577117000463506,1,1,PCA,lorenz
59,0.22438711751687657,1,1,PCA,lorenz
60,0.19939339059042677,1,1,PCA,lorenz
61,0.7522244134148605,1,1,PCA,lorenz
62,0.46048556837231897,1,1,PCA,lorenz
63,0.5117936757500193,1,1,PCA,lorenz
64,0.2780438356131144,1,1,PCA,lorenz
65,0.46180724506549164,1,1,PCA,lorenz
66,0.7643772906746956,1,1,PCA,lorenz
