,coefs,wcomp,n_components,method,dataset
0,0.18934196007281648,1,1,SFA,lorenz
1,0.15426800815048797,1,1,SFA,lorenz
2,0.16889275033163087,1,1,SFA,lorenz
3,0.40142184668475794,1,1,SFA,lorenz
4,0.7336466397191719,1,1,SFA,lorenz
5,0.3916258974471671,1,1,SFA,lorenz
6,0.19079740916471732,1,1,SFA,lorenz
7,0.2458175979767608,1,1,SFA,lorenz
8,0.19492435158127616,1,1,SFA,lorenz
9,0.16316381718490627,1,1,SFA,lorenz
10,0.17967255252916586,1,1,SFA,lorenz
11,0.1707050334097087,1,1,SFA,lorenz
12,0.12969075970364297,1,1,SFA,lorenz
13,0.45434609424683325,1,1,SFA,lorenz
14,0.2742774137219825,1,1,SFA,lorenz
15,0.1231436340106835,1,1,SFA,lorenz
16,0.7352154262437327,1,1,SFA,lorenz
17,0.1019516819515711,1,1,SFA,lorenz
18,0.15251439806135883,1,1,SFA,lorenz
19,0.9266100022540142,1,1,SFA,lorenz
20,0.13615525277709714,1,1,SFA,lorenz
21,0.14501598044503747,1,1,SFA,lorenz
22,0.6267243787517044,1,1,SFA,lorenz
23,0.13769739345394572,1,1,SFA,lorenz
24,0.14895062443512683,1,1,SFA,lorenz
25,0.2382741319099452,1,1,SFA,lorenz
26,0.2007748463393015,1,1,SFA,lorenz
27,0.17587251430397577,1,1,SFA,lorenz
28,0.16994410063868867,1,1,SFA,lorenz
29,0.1550000408133664,1,1,SFA,lorenz
30,0.19515465879046626,1,1,SFA,lorenz
31,0.1493184688646801,1,1,SFA,lorenz
32,0.18076159135508693,1,1,SFA,lorenz
33,0.2241287641429116,1,1,SFA,lorenz
34,0.22166885508746567,1,1,SFA,lorenz
35,0.27830392398423,1,1,SFA,lorenz
36,0.15908973119618616,1,1,SFA,lorenz
37,0.16947285058705372,1,1,SFA,lorenz
38,0.23875127140685626,1,1,SFA,lorenz
39,0.15999276480943103,1,1,SFA,lorenz
40,0.24193354800800776,1,1,SFA,lorenz
41,0.09988696592950078,1,1,SFA,lorenz
42,0.1528858811329963,1,1,SFA,lorenz
43,0.15718411798334078,1,1,SFA,lorenz
44,0.32294691176450707,1,1,SFA,lorenz
45,0.17135019046846506,1,1,SFA,lorenz
46,0.10790726095773813,1,1,SFA,lorenz
47,0.15340597854344618,1,1,SFA,lorenz
48,0.7398023409094159,1,1,SFA,lorenz
49,0.31141063483642367,1,1,SFA,lorenz
50,0.1301055353555152,1,1,SFA,lorenz
51,0.13955554770785816,1,1,SFA,lorenz
52,0.559016836230305,1,1,SFA,lorenz
53,0.1761735993426351,1,1,SFA,lorenz
54,0.24738002413155588,1,1,SFA,lorenz
55,0.370333297952591,1,1,SFA,lorenz
56,0.17037059120444134,1,1,SFA,lorenz
57,0.1738663973623854,1,1,SFA,lorenz
58,0.1629249932837908,1,1,SFA,lorenz
59,0.6359821261183485,1,1,SFA,lorenz
60,0.20156464389791115,1,1,SFA,lorenz
61,0.7915688129965736,1,1,SFA,lorenz
62,0.2457520996273799,1,1,SFA,lorenz
63,0.2502717279803948,1,1,SFA,lorenz
64,0.1452642685544683,1,1,SFA,lorenz
65,0.14644002573093767,1,1,SFA,lorenz
66,0.7984055066006214,1,1,SFA,lorenz
67,0.49418690412027394,1,1,SFA,lorenz
68,0.12049630153258865,1,1,SFA,lorenz
69,0.15451198417689596,1,1,SFA,lorenz
70,0.5418768685312926,1,1,SFA,lorenz
71,0.18688718296686588,1,1,SFA,lorenz
72,0.16475712331614586,1,1,SFA,lorenz
73,0.13346081912175187,1,1,SFA,lorenz
74,0.21679700994226053,1,1,SFA,lorenz
75,0.2481867216287513,1,1,SFA,lorenz
76,0.1676320007379568,1,1,SFA,lorenz
77,0.3125154053511228,1,1,SFA,lorenz
