,data_id,r,method,dataset
0,0,0.2710595482096467,MaCo,lorenz
1,1,0.7734052623649621,MaCo,lorenz
2,2,0.29436591503117165,MaCo,lorenz
3,3,0.839119045965728,MaCo,lorenz
4,4,0.8636167536834007,MaCo,lorenz
5,5,0.7705883021013415,MaCo,lorenz
6,6,0.814922452794916,MaCo,lorenz
7,7,0.45460911464278,MaCo,lorenz
8,8,0.09052442273027925,MaCo,lorenz
9,9,0.20437414411737181,MaCo,lorenz
10,10,0.6389551457584812,MaCo,lorenz
11,11,0.8317541192705235,MaCo,lorenz
12,12,0.23953225060753106,MaCo,lorenz
13,13,0.8942455006665392,MaCo,lorenz
14,14,0.8177635561858391,MaCo,lorenz
15,15,0.7944490093268353,MaCo,lorenz
16,16,0.7427041978878551,MaCo,lorenz
17,17,0.6469280195747927,MaCo,lorenz
18,18,0.14819569339145502,MaCo,lorenz
19,19,0.6491630774062798,MaCo,lorenz
20,20,0.5399612973596037,MaCo,lorenz
21,21,0.8626579749630086,MaCo,lorenz
22,22,0.8442967610078169,MaCo,lorenz
23,23,0.5912459093488013,MaCo,lorenz
24,24,0.6653024824851984,MaCo,lorenz
25,25,0.09434469912646731,MaCo,lorenz
26,26,0.1983015030843355,MaCo,lorenz
27,27,0.745832208957131,MaCo,lorenz
28,28,0.17664342442378295,MaCo,lorenz
29,29,0.06614171943798461,MaCo,lorenz
30,30,0.8109646590821769,MaCo,lorenz
31,31,0.5581387139803606,MaCo,lorenz
32,32,0.8579566808308947,MaCo,lorenz
33,33,0.6713702255712257,MaCo,lorenz
34,34,0.832997076273751,MaCo,lorenz
35,35,0.8523402703061473,MaCo,lorenz
36,36,0.069156486652758,MaCo,lorenz
37,37,0.12392703265054279,MaCo,lorenz
38,38,0.2990856214869992,MaCo,lorenz
39,39,0.828776823852231,MaCo,lorenz
40,40,0.8694657092534959,MaCo,lorenz
41,41,0.07677928535407808,MaCo,lorenz
42,42,0.10159009375470528,MaCo,lorenz
43,43,0.8419051946513758,MaCo,lorenz
44,44,0.8633828773174608,MaCo,lorenz
45,45,0.13222841191271806,MaCo,lorenz
46,46,0.16359078230485283,MaCo,lorenz
47,47,0.8996716220072023,MaCo,lorenz
48,48,0.7949555411609117,MaCo,lorenz
49,49,0.9115121568729541,MaCo,lorenz
50,50,0.24526261803755903,MaCo,lorenz
51,51,0.8647581347206733,MaCo,lorenz
52,52,0.7468635833453721,MaCo,lorenz
53,53,0.6350002413650283,MaCo,lorenz
54,54,0.8752355334820172,MaCo,lorenz
55,55,0.8398800055578923,MaCo,lorenz
56,56,0.07937972944631669,MaCo,lorenz
57,57,0.8558810837964443,MaCo,lorenz
58,58,0.8065274859772351,MaCo,lorenz
59,59,0.5518929607349595,MaCo,lorenz
60,60,0.8356421602427225,MaCo,lorenz
61,61,0.6742376378445736,MaCo,lorenz
62,62,0.5777568643461899,MaCo,lorenz
63,63,0.6934504226787505,MaCo,lorenz
64,64,0.8607858362689558,MaCo,lorenz
65,65,0.8577659779328366,MaCo,lorenz
66,66,0.7696721943222037,MaCo,lorenz
67,67,0.0816988202932948,MaCo,lorenz
68,68,0.12740477432895825,MaCo,lorenz
69,69,0.10771003488713408,MaCo,lorenz
70,70,0.8237096876271073,MaCo,lorenz
71,71,0.823218861352677,MaCo,lorenz
72,72,0.8851239629057539,MaCo,lorenz
73,73,0.5544147891201047,MaCo,lorenz
74,74,0.3952633370172508,MaCo,lorenz
75,75,0.394633519870682,MaCo,lorenz
76,76,0.8212073416244027,MaCo,lorenz
77,77,0.1385442468920608,MaCo,lorenz
78,78,0.6417382109137681,MaCo,lorenz
79,79,0.8765226014336714,MaCo,lorenz
80,80,0.8766001890980173,MaCo,lorenz
81,81,0.1098134068369514,MaCo,lorenz
82,82,0.9480609329186647,MaCo,lorenz
83,83,0.7329429843348615,MaCo,lorenz
84,84,0.08457571608763458,MaCo,lorenz
85,85,0.12196123205207783,MaCo,lorenz
86,86,0.8886206699754651,MaCo,lorenz
87,87,0.855275274352198,MaCo,lorenz
88,88,0.37924093393121655,MaCo,lorenz
89,89,0.17572875581522848,MaCo,lorenz
90,90,0.13536176785034598,MaCo,lorenz
91,91,0.8069681161126864,MaCo,lorenz
92,92,0.8540890287012752,MaCo,lorenz
93,93,0.7048950352276945,MaCo,lorenz
94,94,0.89773862014009,MaCo,lorenz
95,95,0.8342434068896778,MaCo,lorenz
96,96,0.09046731325488482,MaCo,lorenz
97,97,0.775572915511813,MaCo,lorenz
98,98,0.7631394520708406,MaCo,lorenz
99,99,0.15611899667467363,MaCo,lorenz
