,data_id,r,method,dataset
0,0,0.7620483054222825,PCA,lorenz
1,1,0.6418894792715756,PCA,lorenz
2,2,0.7498379259196204,PCA,lorenz
3,3,0.6437170619936434,PCA,lorenz
4,4,0.7553003547584003,PCA,lorenz
5,5,0.7224781957551144,PCA,lorenz
6,6,0.6847323851077713,PCA,lorenz
7,7,0.7735918765060451,PCA,lorenz
8,8,0.6151980990385212,PCA,lorenz
9,9,0.6990718407300099,PCA,lorenz
10,10,0.6187664060844604,PCA,lorenz
11,11,0.6715404379965585,PCA,lorenz
12,12,0.8064468176979638,PCA,lorenz
13,13,0.6522133538938658,PCA,lorenz
14,14,0.6702710390718569,PCA,lorenz
15,15,0.574925631747522,PCA,lorenz
16,16,0.7654215626475184,PCA,lorenz
17,17,0.6970676267876854,PCA,lorenz
18,18,0.6746416369960042,PCA,lorenz
19,19,0.9295193631626323,PCA,lorenz
20,20,0.582952716218161,PCA,lorenz
21,21,0.6401844689244682,PCA,lorenz
22,22,0.625060800944069,PCA,lorenz
23,23,0.6315295505021002,PCA,lorenz
24,24,0.5170370082048168,PCA,lorenz
25,25,0.5423030987665085,PCA,lorenz
26,26,0.7057256008103028,PCA,lorenz
27,27,0.7824400573354362,PCA,lorenz
28,28,0.6382464864732036,PCA,lorenz
29,29,0.6575510202458517,PCA,lorenz
30,30,0.7495163064653265,PCA,lorenz
31,31,0.764441822159517,PCA,lorenz
32,32,0.6029934782584492,PCA,lorenz
33,33,0.6574396667612123,PCA,lorenz
34,34,0.7635094799987191,PCA,lorenz
35,35,0.7509322789400847,PCA,lorenz
36,36,0.7210771948934288,PCA,lorenz
37,37,0.7673226503978255,PCA,lorenz
38,38,0.5147782689046689,PCA,lorenz
39,39,0.8005980657538356,PCA,lorenz
40,40,0.7645524284640177,PCA,lorenz
41,41,0.6098168843122017,PCA,lorenz
42,42,0.882489287137593,PCA,lorenz
43,43,0.6157618742513495,PCA,lorenz
44,44,0.7472358501235385,PCA,lorenz
45,45,0.43421579354390777,PCA,lorenz
46,46,0.6859370873152257,PCA,lorenz
47,47,0.7305081243340454,PCA,lorenz
48,48,0.7775169133815597,PCA,lorenz
49,49,0.7418125825669946,PCA,lorenz
50,50,0.64882843809604,PCA,lorenz
51,51,0.5671400704488853,PCA,lorenz
52,52,0.7441811769633588,PCA,lorenz
53,53,0.760350651468477,PCA,lorenz
54,54,0.7002203527407415,PCA,lorenz
55,55,0.6856047582629812,PCA,lorenz
56,56,0.6551365376493438,PCA,lorenz
57,57,0.6558769376782764,PCA,lorenz
58,58,0.570270351581814,PCA,lorenz
59,59,0.6195513106219842,PCA,lorenz
60,60,0.7451479331661752,PCA,lorenz
61,61,0.7045024930289004,PCA,lorenz
62,62,0.6880881998301854,PCA,lorenz
63,63,0.5895467978224006,PCA,lorenz
64,64,0.8681562572743348,PCA,lorenz
65,65,0.557754719473774,PCA,lorenz
66,66,0.8735596549400838,PCA,lorenz
67,67,0.5657255258832122,PCA,lorenz
68,68,0.6690368040529492,PCA,lorenz
69,69,0.6850061350890235,PCA,lorenz
70,70,0.6756613509016436,PCA,lorenz
71,71,0.8185535287519127,PCA,lorenz
72,72,0.5965331682052355,PCA,lorenz
73,73,0.7357438338725786,PCA,lorenz
74,74,0.8298686534101303,PCA,lorenz
75,75,0.86950178051943,PCA,lorenz
76,76,0.81713683969674,PCA,lorenz
77,77,0.7909782965327211,PCA,lorenz
78,78,0.6069348899641771,PCA,lorenz
79,79,0.6733735367875309,PCA,lorenz
80,80,0.6277245025469701,PCA,lorenz
81,81,0.727116459616945,PCA,lorenz
82,82,0.6833238034862393,PCA,lorenz
83,83,0.5639908199277891,PCA,lorenz
84,84,0.4917562364625734,PCA,lorenz
85,85,0.7089175520848514,PCA,lorenz
86,86,0.7258092043909831,PCA,lorenz
87,87,0.7969284433587118,PCA,lorenz
88,88,0.5357248546184877,PCA,lorenz
89,89,0.7631748903083847,PCA,lorenz
90,90,0.6440175314243373,PCA,lorenz
91,91,0.8370070036051953,PCA,lorenz
92,92,0.7291825553220205,PCA,lorenz
93,93,0.750394137812513,PCA,lorenz
94,94,0.6622539603710738,PCA,lorenz
95,95,0.6502208944895095,PCA,lorenz
96,96,0.8165192455842358,PCA,lorenz
97,97,0.6529846873373538,PCA,lorenz
98,98,0.6464378847769205,PCA,lorenz
99,99,0.8206558977941303,PCA,lorenz
