,data_id,r,method,dataset
0,0,0.08197625551805136,Random,lorenz
1,1,0.09830111967112554,Random,lorenz
2,2,0.08801232771324558,Random,lorenz
3,3,0.09632368462136645,Random,lorenz
4,4,0.06979603050798065,Random,lorenz
5,5,0.0847853167483919,Random,lorenz
6,6,0.08171531019029311,Random,lorenz
7,7,0.08250589319111469,Random,lorenz
8,8,0.0831825631448513,Random,lorenz
9,9,0.09443830782708619,Random,lorenz
10,10,0.08242420359373212,Random,lorenz
11,11,0.08244581870496674,Random,lorenz
12,12,0.0876112586106228,Random,lorenz
13,13,0.08007525707621682,Random,lorenz
14,14,0.06865263745618412,Random,lorenz
15,15,0.0799596042365364,Random,lorenz
16,16,0.08276740797415151,Random,lorenz
17,17,0.08191386598766312,Random,lorenz
18,18,0.07542090232415513,Random,lorenz
19,19,0.09729432264427233,Random,lorenz
20,20,0.07742864820699127,Random,lorenz
21,21,0.08029396484076866,Random,lorenz
22,22,0.0745458858910167,Random,lorenz
23,23,0.0904800281875792,Random,lorenz
24,24,0.08746544760846126,Random,lorenz
25,25,0.07963342232408709,Random,lorenz
26,26,0.08962077277533906,Random,lorenz
27,27,0.0797423947445889,Random,lorenz
28,28,0.07914382493298418,Random,lorenz
29,29,0.0745971415022427,Random,lorenz
30,30,0.08917777559442108,Random,lorenz
31,31,0.07885037271325684,Random,lorenz
32,32,0.07717344643077224,Random,lorenz
33,33,0.08315065142185059,Random,lorenz
34,34,0.08263483454963895,Random,lorenz
35,35,0.09466098329967529,Random,lorenz
36,36,0.07769017337835878,Random,lorenz
37,37,0.07671233536444888,Random,lorenz
38,38,0.0994837749366114,Random,lorenz
39,39,0.08127048442571425,Random,lorenz
40,40,0.09577657346783951,Random,lorenz
41,41,0.0833796081195883,Random,lorenz
42,42,0.09380369723858296,Random,lorenz
43,43,0.08872236751492597,Random,lorenz
44,44,0.07998142423004459,Random,lorenz
45,45,0.08656487158607723,Random,lorenz
46,46,0.07200794381598112,Random,lorenz
47,47,0.07984403453709794,Random,lorenz
48,48,0.09156023044507397,Random,lorenz
49,49,0.07850234788912618,Random,lorenz
50,50,0.0751031541792548,Random,lorenz
51,51,0.09091142983410286,Random,lorenz
52,52,0.08004360390757152,Random,lorenz
53,53,0.08982424765448167,Random,lorenz
54,54,0.07706924631279705,Random,lorenz
55,55,0.07957826103607099,Random,lorenz
56,56,0.09203868709575741,Random,lorenz
57,57,0.07773557472099264,Random,lorenz
58,58,0.07762368296470078,Random,lorenz
59,59,0.08062853087720885,Random,lorenz
60,60,0.08124993493595849,Random,lorenz
61,61,0.07920954294675606,Random,lorenz
62,62,0.08303656331525686,Random,lorenz
63,63,0.09532522974378625,Random,lorenz
64,64,0.08077755561097114,Random,lorenz
65,65,0.07903715440430922,Random,lorenz
66,66,0.07203685100045826,Random,lorenz
67,67,0.09374195081505882,Random,lorenz
68,68,0.0771544712630642,Random,lorenz
69,69,0.07266018512745681,Random,lorenz
70,70,0.08755276293670847,Random,lorenz
71,71,0.08476562467376036,Random,lorenz
72,72,0.07343691637322149,Random,lorenz
73,73,0.07768852666180318,Random,lorenz
74,74,0.08689083313656963,Random,lorenz
75,75,0.07206185595345706,Random,lorenz
76,76,0.07651023816623342,Random,lorenz
77,77,0.0856865085145815,Random,lorenz
78,78,0.09037188082414613,Random,lorenz
79,79,0.08993232084328344,Random,lorenz
80,80,0.10093923760891414,Random,lorenz
81,81,0.07257989811759949,Random,lorenz
82,82,0.08863023653615615,Random,lorenz
83,83,0.08349850677410822,Random,lorenz
84,84,0.08134419191239843,Random,lorenz
85,85,0.08241633266623727,Random,lorenz
86,86,0.08328896404138948,Random,lorenz
87,87,0.08563222257119972,Random,lorenz
88,88,0.07671820849868266,Random,lorenz
89,89,0.08429822592819626,Random,lorenz
90,90,0.079721361567174,Random,lorenz
91,91,0.08408197294848037,Random,lorenz
92,92,0.09330167938741085,Random,lorenz
93,93,0.08797448514322083,Random,lorenz
94,94,0.07271145148628859,Random,lorenz
95,95,0.07623030073053065,Random,lorenz
96,96,0.08303458477210235,Random,lorenz
97,97,0.07556919807954578,Random,lorenz
98,98,0.07726351456970375,Random,lorenz
99,99,0.07085386701110574,Random,lorenz
