,data_id,r,method,dataset
0,0,0.20962339257446008,ShRec,lorenz
1,1,0.16043441381646395,ShRec,lorenz
2,2,0.0734780349967977,ShRec,lorenz
3,3,0.5107744288049245,ShRec,lorenz
4,4,0.7956471836410446,ShRec,lorenz
5,5,0.7444620062778808,ShRec,lorenz
6,6,0.5047633986467469,ShRec,lorenz
7,7,0.33015153364563005,ShRec,lorenz
8,8,0.06238644704371572,ShRec,lorenz
9,9,0.3816773085330433,ShRec,lorenz
10,10,0.2897886133929145,ShRec,lorenz
11,11,0.49446461507862727,ShRec,lorenz
12,12,0.12263630613354734,ShRec,lorenz
13,13,0.6340344385842023,ShRec,lorenz
14,14,0.506649700589119,ShRec,lorenz
15,15,0.5005163410417697,ShRec,lorenz
16,16,0.8071650453481738,ShRec,lorenz
17,17,0.17065287024019624,ShRec,lorenz
18,18,0.24362453694377612,ShRec,lorenz
19,19,0.9114473676518031,ShRec,lorenz
20,20,0.16168851286297706,ShRec,lorenz
21,21,0.4194275286274797,ShRec,lorenz
22,22,0.6516498217028398,ShRec,lorenz
23,23,0.288393881817428,ShRec,lorenz
24,24,0.14025133522302202,ShRec,lorenz
25,25,0.29965386222808515,ShRec,lorenz
26,26,0.37833091531463814,ShRec,lorenz
27,27,0.0809624497738333,ShRec,lorenz
28,28,0.23063764895977026,ShRec,lorenz
29,29,0.11730024691035354,ShRec,lorenz
30,30,0.3996226323215808,ShRec,lorenz
31,31,0.3047268868038433,ShRec,lorenz
32,32,0.2653919672796688,ShRec,lorenz
33,33,0.49162340880926725,ShRec,lorenz
34,34,0.2714347385271537,ShRec,lorenz
35,35,0.7762846986090222,ShRec,lorenz
36,36,0.3514933281536884,ShRec,lorenz
37,37,0.09825783562552397,ShRec,lorenz
38,38,0.33771638596726783,ShRec,lorenz
39,39,0.24881677350293713,ShRec,lorenz
40,40,0.21100589001619635,ShRec,lorenz
41,41,0.056851230418229384,ShRec,lorenz
42,42,0.2001487029032215,ShRec,lorenz
43,43,0.42122432056247366,ShRec,lorenz
44,44,0.7645883484451566,ShRec,lorenz
45,45,0.11509657939409401,ShRec,lorenz
46,46,0.0916420460819005,ShRec,lorenz
47,47,0.3592189943301512,ShRec,lorenz
48,48,0.7963632000969835,ShRec,lorenz
49,49,0.5412284028763292,ShRec,lorenz
50,50,0.39096328442535044,ShRec,lorenz
51,51,0.5458302322628911,ShRec,lorenz
52,52,0.6757871207848747,ShRec,lorenz
53,53,0.2337615057256137,ShRec,lorenz
54,54,0.1700819578535301,ShRec,lorenz
55,55,0.686413632870639,ShRec,lorenz
56,56,0.25203375340855183,ShRec,lorenz
57,57,0.1979289445664876,ShRec,lorenz
58,58,0.2069387205279342,ShRec,lorenz
59,59,0.36146272525886525,ShRec,lorenz
60,60,0.15567170918339596,ShRec,lorenz
61,61,0.7408588671329903,ShRec,lorenz
62,62,0.45237031852957615,ShRec,lorenz
63,63,0.5613916669494241,ShRec,lorenz
64,64,0.32302483022912837,ShRec,lorenz
65,65,0.5627416274166213,ShRec,lorenz
66,66,0.8624060247673395,ShRec,lorenz
67,67,0.23040863106419704,ShRec,lorenz
68,68,0.11259044564855342,ShRec,lorenz
69,69,0.08262919689892058,ShRec,lorenz
70,70,0.7463037251527019,ShRec,lorenz
71,71,0.8279148261043805,ShRec,lorenz
72,72,0.2844958596229588,ShRec,lorenz
73,73,0.21979729121102412,ShRec,lorenz
74,74,0.3894282133529603,ShRec,lorenz
75,75,0.857626149174507,ShRec,lorenz
76,76,0.16344758413204116,ShRec,lorenz
77,77,0.2338352455006233,ShRec,lorenz
78,78,0.3314783733818425,ShRec,lorenz
79,79,0.726229967340729,ShRec,lorenz
80,80,0.3892237610105718,ShRec,lorenz
81,81,0.09124287395902536,ShRec,lorenz
82,82,0.6955594257287337,ShRec,lorenz
83,83,0.6396739300501806,ShRec,lorenz
84,84,0.0889041965463833,ShRec,lorenz
85,85,0.35148748017620335,ShRec,lorenz
86,86,0.0713346407447116,ShRec,lorenz
87,87,0.20525649816735464,ShRec,lorenz
88,88,0.37792678513768047,ShRec,lorenz
89,89,0.23448830906673304,ShRec,lorenz
90,90,0.29905089339856755,ShRec,lorenz
91,91,0.8477694932781366,ShRec,lorenz
92,92,0.4303102049964926,ShRec,lorenz
93,93,0.23312660627092538,ShRec,lorenz
94,94,0.6831886356655704,ShRec,lorenz
95,95,0.2744988282722298,ShRec,lorenz
96,96,0.2910318149867087,ShRec,lorenz
97,97,0.49810225455940754,ShRec,lorenz
98,98,0.3332980287802814,ShRec,lorenz
99,99,0.09452613037276741,ShRec,lorenz
