,r2,L
0,0.9229088359016298,0.001
1,0.9288623600649548,0.001
2,0.9185716199270247,0.001
3,0.9315558252153581,0.001
4,0.8636651272784573,0.001
5,0.9237937491048802,0.001
6,0.9405403000158618,0.001
7,0.9127241403372109,0.001
8,0.8925565103356333,0.001
9,0.9055206771544079,0.001
10,0.9134194969565524,0.001
11,0.8975097073476386,0.001
12,0.943679527858698,0.001
13,0.9199330054944187,0.001
14,0.8704551122702086,0.001
0,0.9311308126656458,0.0017782794100389228
1,0.9011637094184941,0.0017782794100389228
2,0.9151039070356014,0.0017782794100389228
3,0.9103558049684487,0.0017782794100389228
4,0.8337400246893317,0.0017782794100389228
5,0.9073790648796033,0.0017782794100389228
6,0.9263013118293775,0.0017782794100389228
7,0.9040604822873523,0.0017782794100389228
8,0.9074527084699522,0.0017782794100389228
9,0.9061683148786912,0.0017782794100389228
10,0.921587683078585,0.0017782794100389228
11,0.8849375500844783,0.0017782794100389228
12,0.9984889711870767,0.0017782794100389228
13,0.9346971424102837,0.0017782794100389228
14,0.8402471997267129,0.0017782794100389228
0,0.9273810434264386,0.0031622776601683794
1,0.925176612491311,0.0031622776601683794
2,0.9286117611453268,0.0031622776601683794
3,0.9313262279231551,0.0031622776601683794
4,0.8547309191844796,0.0031622776601683794
5,0.9132644207700642,0.0031622776601683794
6,0.9183667695116772,0.0031622776601683794
7,0.9261422862733054,0.0031622776601683794
8,0.8994050298992451,0.0031622776601683794
9,0.9068639410641189,0.0031622776601683794
10,0.8709621071347617,0.0031622776601683794
11,0.8605958496749252,0.0031622776601683794
12,0.9856246336569573,0.0031622776601683794
13,0.9234247970594179,0.0031622776601683794
14,0.8440323666148554,0.0031622776601683794
0,0.8954530992726034,0.005623413251903491
1,0.909854942461711,0.005623413251903491
2,0.8825830979388535,0.005623413251903491
3,0.8887812074590016,0.005623413251903491
4,0.8765703887254283,0.005623413251903491
5,0.8982246746828143,0.005623413251903491
6,0.9391643409581868,0.005623413251903491
7,0.925837403010158,0.005623413251903491
8,0.8900487216112289,0.005623413251903491
9,0.9157782830125272,0.005623413251903491
10,0.9118914122229115,0.005623413251903491
11,0.8440074017352321,0.005623413251903491
12,0.9424411342501757,0.005623413251903491
13,0.9052466107761844,0.005623413251903491
14,0.8372735242343101,0.005623413251903491
0,0.8850643823446152,0.01
1,0.8665532500274243,0.01
2,0.9034377751731919,0.01
3,0.8704026830575284,0.01
4,0.8418357384630597,0.01
5,0.8458199585661984,0.01
6,0.8865620597625538,0.01
7,0.9018221102814918,0.01
8,0.882088742920203,0.01
9,0.8978517320131171,0.01
10,0.8808181011104972,0.01
11,0.9295102711878912,0.01
12,0.9735130146451763,0.01
13,0.8954481657363369,0.01
14,0.838190840850553,0.01
0,0.8534348383751122,0.01778279410038923
1,0.8471164009615245,0.01778279410038923
2,0.8371049669672205,0.01778279410038923
3,0.8510298497011394,0.01778279410038923
4,0.8047479800852764,0.01778279410038923
