,data_id,r,method,dataset
0,0,0.7161087968073381,pca,logmap_fixed
1,1,0.7339014312134702,pca,logmap_fixed
2,2,0.7317686321583637,pca,logmap_fixed
3,3,0.7100035273202685,pca,logmap_fixed
4,4,0.591688729464924,pca,logmap_fixed
5,5,0.7112013038380592,pca,logmap_fixed
6,6,0.6161558651320066,pca,logmap_fixed
7,7,0.7573698157402723,pca,logmap_fixed
8,8,0.6485498364605411,pca,logmap_fixed
9,9,0.7617792305756016,pca,logmap_fixed
10,10,0.6096861778050187,pca,logmap_fixed
11,11,0.608748326618116,pca,logmap_fixed
12,12,0.6865098118646628,pca,logmap_fixed
13,13,0.6524749336917279,pca,logmap_fixed
14,14,0.7199403246370105,pca,logmap_fixed
15,15,0.4916823030997376,pca,logmap_fixed
16,16,0.9133650069565402,pca,logmap_fixed
17,17,0.7567623655177294,pca,logmap_fixed
18,18,0.6845785179111376,pca,logmap_fixed
19,19,0.7705592765945437,pca,logmap_fixed
20,20,0.7109603125529596,pca,logmap_fixed
21,21,0.7877613355193712,pca,logmap_fixed
22,22,0.889523280029991,pca,logmap_fixed
23,23,0.7277895202829375,pca,logmap_fixed
24,24,0.5830901979318839,pca,logmap_fixed
25,25,0.6304916657710653,pca,logmap_fixed
26,26,0.7457601175003009,pca,logmap_fixed
27,27,0.7234103713046357,pca,logmap_fixed
28,28,0.6680165711016064,pca,logmap_fixed
29,29,0.5443197509305745,pca,logmap_fixed
30,30,0.6885501452582423,pca,logmap_fixed
31,31,0.7377207476521718,pca,logmap_fixed
32,32,0.5878177884530489,pca,logmap_fixed
33,33,0.8946180415132405,pca,logmap_fixed
34,34,0.7908278381355006,pca,logmap_fixed
35,35,0.7371090888079398,pca,logmap_fixed
36,36,0.6877026205011915,pca,logmap_fixed
37,37,0.6083026997767861,pca,logmap_fixed
38,38,0.7224857259084937,pca,logmap_fixed
39,39,0.7051995067752362,pca,logmap_fixed
40,40,0.7317232722902721,pca,logmap_fixed
41,41,0.5529148279621723,pca,logmap_fixed
42,42,0.7185748718737872,pca,logmap_fixed
43,43,0.777576031534599,pca,logmap_fixed
44,44,0.5474770617568286,pca,logmap_fixed
45,45,0.42905810515364085,pca,logmap_fixed
46,46,0.6498210727356232,pca,logmap_fixed
47,47,0.7585103700850288,pca,logmap_fixed
48,48,0.7675497063036231,pca,logmap_fixed
49,49,0.7434511947874968,pca,logmap_fixed
