,data_id,r,method,dataset
0,0,0.7223834688064582,ShRec,logmap_fixed
1,1,0.7255615811475131,ShRec,logmap_fixed
2,2,0.7290889249550143,ShRec,logmap_fixed
3,3,0.7288944547742984,ShRec,logmap_fixed
4,4,0.6092798856541148,ShRec,logmap_fixed
5,5,0.7755774709457359,ShRec,logmap_fixed
6,6,0.6316315643405566,ShRec,logmap_fixed
7,7,0.7781668634920115,ShRec,logmap_fixed
8,8,0.6630197297956961,ShRec,logmap_fixed
9,9,0.8063475902752755,ShRec,logmap_fixed
10,10,0.6678485968456419,ShRec,logmap_fixed
11,11,0.7963933436207522,ShRec,logmap_fixed
12,12,0.6822836522158172,ShRec,logmap_fixed
13,13,0.6694288016428938,ShRec,logmap_fixed
14,14,0.738800222842978,ShRec,logmap_fixed
15,15,0.6397128805350496,ShRec,logmap_fixed
16,16,0.9834786596669141,ShRec,logmap_fixed
17,17,0.7784092855945527,ShRec,logmap_fixed
18,18,0.6923559556035738,ShRec,logmap_fixed
19,19,0.7880240804441088,ShRec,logmap_fixed
20,20,0.7218052027418406,ShRec,logmap_fixed
21,21,0.776708178808416,ShRec,logmap_fixed
22,22,0.9772832979129719,ShRec,logmap_fixed
23,23,0.7432563816640361,ShRec,logmap_fixed
24,24,0.5952369182150046,ShRec,logmap_fixed
25,25,0.6393108607532304,ShRec,logmap_fixed
26,26,0.7626596195151696,ShRec,logmap_fixed
27,27,0.7399937619433307,ShRec,logmap_fixed
28,28,0.6899144296002655,ShRec,logmap_fixed
29,29,0.647796119155701,ShRec,logmap_fixed
30,30,0.6997179943242497,ShRec,logmap_fixed
31,31,0.7670952371472718,ShRec,logmap_fixed
32,32,0.6365222642973609,ShRec,logmap_fixed
33,33,0.9669715294432127,ShRec,logmap_fixed
34,34,0.8270436333365521,ShRec,logmap_fixed
35,35,0.7447422782844417,ShRec,logmap_fixed
36,36,0.695488928582853,ShRec,logmap_fixed
37,37,0.6093888646503176,ShRec,logmap_fixed
38,38,0.7225315971911433,ShRec,logmap_fixed
39,39,0.726755444227186,ShRec,logmap_fixed
40,40,0.723689288701958,ShRec,logmap_fixed
41,41,0.7226378463121151,ShRec,logmap_fixed
42,42,0.7245100381076852,ShRec,logmap_fixed
43,43,0.7969360560065093,ShRec,logmap_fixed
44,44,0.6479219545813752,ShRec,logmap_fixed
45,45,0.5592282229223078,ShRec,logmap_fixed
46,46,0.6487916716404664,ShRec,logmap_fixed
47,47,0.7608316855720272,ShRec,logmap_fixed
48,48,0.8010650369250863,ShRec,logmap_fixed
49,49,0.7404401959150603,ShRec,logmap_fixed
