,data_id,r,method,dataset
0,0,0.8939868537895752,ASOM,tentmap
1,1,0.7008406404223466,ASOM,tentmap
2,2,0.8326800735581265,ASOM,tentmap
3,3,0.6163845883059603,ASOM,tentmap
4,4,0.41443033448350075,ASOM,tentmap
5,5,0.911743728642759,ASOM,tentmap
6,6,0.38537088477598996,ASOM,tentmap
7,7,0.9353413731690561,ASOM,tentmap
8,8,0.9055056779644847,ASOM,tentmap
9,9,0.8731699965934857,ASOM,tentmap
10,10,0.8554130415295421,ASOM,tentmap
11,11,0.27773623324785457,ASOM,tentmap
12,12,0.949835007621495,ASOM,tentmap
13,13,0.6858701162228471,ASOM,tentmap
14,14,0.9015971894887792,ASOM,tentmap
15,15,0.8642170249661997,ASOM,tentmap
16,16,0.9054703506666653,ASOM,tentmap
17,17,0.9051032738085477,ASOM,tentmap
18,18,0.7072224030837909,ASOM,tentmap
19,19,0.9349004783925476,ASOM,tentmap
20,20,0.8618382690938813,ASOM,tentmap
21,21,0.7345257328402586,ASOM,tentmap
22,22,0.7946133204794983,ASOM,tentmap
23,23,0.7614987306830229,ASOM,tentmap
24,24,0.4165096980851625,ASOM,tentmap
25,25,0.19657696143059675,ASOM,tentmap
26,26,0.7790799511236729,ASOM,tentmap
27,27,0.8167360357335363,ASOM,tentmap
28,28,0.5740259486532231,ASOM,tentmap
29,29,0.8764109434724077,ASOM,tentmap
30,30,0.6241546405744945,ASOM,tentmap
31,31,0.8288407097783613,ASOM,tentmap
32,32,0.8727864231608357,ASOM,tentmap
33,33,0.6879083442384546,ASOM,tentmap
34,34,0.7487610381663417,ASOM,tentmap
35,35,0.9203216548286721,ASOM,tentmap
36,36,0.8548267793460353,ASOM,tentmap
37,37,0.8666582342034944,ASOM,tentmap
38,38,0.6861606699564902,ASOM,tentmap
39,39,0.9161997857389479,ASOM,tentmap
40,40,0.6856617494570236,ASOM,tentmap
41,41,0.8622336235054331,ASOM,tentmap
42,42,0.7471492821096304,ASOM,tentmap
43,43,0.9363150301582888,ASOM,tentmap
44,44,0.7434485123746457,ASOM,tentmap
45,45,0.8639874615316294,ASOM,tentmap
46,46,0.8557328046899184,ASOM,tentmap
47,47,0.9233784598605825,ASOM,tentmap
48,48,0.8534019375069785,ASOM,tentmap
49,49,0.8569194346203451,ASOM,tentmap
