,data_id,r,method,dataset
0,0,0.6483502922647044,ICA,tentmap
1,1,0.32106974760826135,ICA,tentmap
2,2,0.36627723969789316,ICA,tentmap
3,3,0.4396203391062715,ICA,tentmap
4,4,0.6398905468713423,ICA,tentmap
5,5,0.5162899997997951,ICA,tentmap
6,6,0.6899060274408588,ICA,tentmap
7,7,0.5921320504196348,ICA,tentmap
8,8,0.7048393950431227,ICA,tentmap
9,9,0.5916471722511024,ICA,tentmap
10,10,0.13546130549474084,ICA,tentmap
11,11,0.3896847183554112,ICA,tentmap
12,12,0.4623837212989444,ICA,tentmap
13,13,0.5036350647109765,ICA,tentmap
14,14,0.5851519746635355,ICA,tentmap
15,15,0.17144670058427144,ICA,tentmap
16,16,0.5629908495233619,ICA,tentmap
17,17,0.473942319187688,ICA,tentmap
18,18,0.5712039501397355,ICA,tentmap
19,19,0.5069217465122284,ICA,tentmap
20,20,0.5960554351085332,ICA,tentmap
21,21,0.6048891451932107,ICA,tentmap
22,22,0.328400495686657,ICA,tentmap
23,23,0.6240456813109759,ICA,tentmap
24,24,0.6667875936257304,ICA,tentmap
25,25,0.5331419801851159,ICA,tentmap
26,26,0.39657998116961113,ICA,tentmap
27,27,0.6513197905535346,ICA,tentmap
28,28,0.2916669501562116,ICA,tentmap
29,29,0.34756252757723494,ICA,tentmap
30,30,0.5811994065188685,ICA,tentmap
31,31,0.5837005480465405,ICA,tentmap
32,32,0.5812564159815983,ICA,tentmap
33,33,0.5025317200260448,ICA,tentmap
34,34,0.42392280880969635,ICA,tentmap
35,35,0.4526000829674436,ICA,tentmap
36,36,0.29699399872300314,ICA,tentmap
37,37,0.25319240704931184,ICA,tentmap
38,38,0.34323656732609376,ICA,tentmap
39,39,0.5997007550460705,ICA,tentmap
40,40,0.564483048856039,ICA,tentmap
41,41,0.49499339869976494,ICA,tentmap
42,42,0.5916214053929995,ICA,tentmap
43,43,0.5892374810756982,ICA,tentmap
44,44,0.5335952082290742,ICA,tentmap
45,45,0.4562912095441632,ICA,tentmap
46,46,0.48828984750182725,ICA,tentmap
47,47,0.6210744993337527,ICA,tentmap
48,48,0.5793048892452602,ICA,tentmap
49,49,0.476849389371388,ICA,tentmap
