,data_id,r,method,dataset
0,0,0.616469982225088,MaCo,tentmap
1,1,0.7577245754661504,MaCo,tentmap
2,2,0.42676318492935417,MaCo,tentmap
3,3,0.8749369795853952,MaCo,tentmap
4,4,0.9073409847071234,MaCo,tentmap
5,5,0.11380721982454987,MaCo,tentmap
6,6,0.8770327927151299,MaCo,tentmap
7,7,0.8938895787280118,MaCo,tentmap
8,8,0.9428289087730615,MaCo,tentmap
9,9,0.7126940986219927,MaCo,tentmap
10,10,0.9050675181911724,MaCo,tentmap
11,11,0.847519381675827,MaCo,tentmap
12,12,0.9272386005910083,MaCo,tentmap
13,13,0.8536925433847335,MaCo,tentmap
14,14,0.9334743166424093,MaCo,tentmap
15,15,0.8683788705655436,MaCo,tentmap
16,16,0.803064000859042,MaCo,tentmap
17,17,0.8396909424449847,MaCo,tentmap
18,18,0.9352353617458987,MaCo,tentmap
19,19,0.8234786653402716,MaCo,tentmap
20,20,0.8575447318220796,MaCo,tentmap
21,21,0.8775857715060261,MaCo,tentmap
22,22,0.8090105967370882,MaCo,tentmap
23,23,0.9029471225287017,MaCo,tentmap
24,24,0.9237035729684241,MaCo,tentmap
25,25,0.8867064274338868,MaCo,tentmap
26,26,0.8560409182798195,MaCo,tentmap
27,27,0.8944635489196948,MaCo,tentmap
28,28,0.8021957928579871,MaCo,tentmap
29,29,0.7756713445852754,MaCo,tentmap
30,30,0.9199463730665257,MaCo,tentmap
31,31,0.8863812815464097,MaCo,tentmap
32,32,0.8857355855679088,MaCo,tentmap
33,33,0.89042776522885,MaCo,tentmap
34,34,0.8631461610138063,MaCo,tentmap
35,35,0.7971997904219017,MaCo,tentmap
36,36,0.8997505951337946,MaCo,tentmap
37,37,0.7848342862826899,MaCo,tentmap
38,38,0.8610267961031696,MaCo,tentmap
39,39,0.8398993774416601,MaCo,tentmap
40,40,0.8906827920411109,MaCo,tentmap
41,41,0.9071507466047781,MaCo,tentmap
42,42,0.45375476224343214,MaCo,tentmap
43,43,0.8029955335864015,MaCo,tentmap
44,44,0.8851006270214903,MaCo,tentmap
45,45,0.8569632634392992,MaCo,tentmap
46,46,0.8226255560270239,MaCo,tentmap
47,47,0.5500634217541616,MaCo,tentmap
48,48,0.87722023294258,MaCo,tentmap
49,49,0.8036783488021488,MaCo,tentmap
