,data_id,r,method,dataset
0,0,0.17428438795950735,Random,tentmap
1,1,0.13603592521448166,Random,tentmap
2,2,0.13876956768033868,Random,tentmap
3,3,0.1266311881056426,Random,tentmap
4,4,0.1846318380947514,Random,tentmap
5,5,0.11382728771181905,Random,tentmap
6,6,0.20560639362306118,Random,tentmap
7,7,0.0943567952251203,Random,tentmap
8,8,0.1750361864810754,Random,tentmap
9,9,0.1063649539560787,Random,tentmap
10,10,0.2043470878270498,Random,tentmap
11,11,0.11860080373366158,Random,tentmap
12,12,0.10362231410695258,Random,tentmap
13,13,0.16571627604528913,Random,tentmap
14,14,0.13179998474096322,Random,tentmap
15,15,0.20010735142818742,Random,tentmap
16,16,0.12062527448289695,Random,tentmap
17,17,0.1463996393701813,Random,tentmap
18,18,0.17165594851133792,Random,tentmap
19,19,0.12352728726658249,Random,tentmap
20,20,0.13942751598050748,Random,tentmap
21,21,0.08967306252524924,Random,tentmap
22,22,0.13211528107160309,Random,tentmap
23,23,0.2082452738395346,Random,tentmap
24,24,0.23991847971755698,Random,tentmap
25,25,0.18184409169263818,Random,tentmap
26,26,0.1303505942326613,Random,tentmap
27,27,0.1259916283288943,Random,tentmap
28,28,0.15532678900324245,Random,tentmap
29,29,0.1622613104366132,Random,tentmap
30,30,0.19073821333688057,Random,tentmap
31,31,0.11788719215496873,Random,tentmap
32,32,0.14279927342350257,Random,tentmap
33,33,0.11099195844255014,Random,tentmap
34,34,0.10391197822919233,Random,tentmap
35,35,0.1546468841478842,Random,tentmap
36,36,0.21853425869154924,Random,tentmap
37,37,0.17340585448945872,Random,tentmap
38,38,0.15952542665405967,Random,tentmap
39,39,0.14521430347625305,Random,tentmap
40,40,0.14688556530164626,Random,tentmap
41,41,0.10280432294925179,Random,tentmap
42,42,0.1684017493697241,Random,tentmap
43,43,0.10447629548339145,Random,tentmap
44,44,0.19393615602594336,Random,tentmap
45,45,0.18665900854033582,Random,tentmap
46,46,0.15733532910430859,Random,tentmap
47,47,0.1190703381063522,Random,tentmap
48,48,0.11195804612210954,Random,tentmap
49,49,0.14061752137580985,Random,tentmap
