,data_id,r,method,dataset
0,0,0.09639901470900833,SFA,logmap_fixed
1,1,0.037095390487605094,SFA,logmap_fixed
2,2,0.07703767972324488,SFA,logmap_fixed
3,3,0.04292795516808377,SFA,logmap_fixed
4,4,0.13745552945000084,SFA,logmap_fixed
5,5,0.052064898553594856,SFA,logmap_fixed
6,6,0.08657561970012358,SFA,logmap_fixed
7,7,0.39932031756528913,SFA,logmap_fixed
8,8,0.08501688705205848,SFA,logmap_fixed
9,9,0.3631756328714605,SFA,logmap_fixed
10,10,0.03694601263468097,SFA,logmap_fixed
11,11,0.294255893379926,SFA,logmap_fixed
12,12,0.1539699387112538,SFA,logmap_fixed
13,13,0.11650548778691258,SFA,logmap_fixed
14,14,0.11846809299300042,SFA,logmap_fixed
15,15,0.022548404601613177,SFA,logmap_fixed
16,16,0.32089990711810534,SFA,logmap_fixed
17,17,0.07656391178020484,SFA,logmap_fixed
18,18,0.06694422545250946,SFA,logmap_fixed
19,19,0.28068385459736817,SFA,logmap_fixed
20,20,0.11192172137201174,SFA,logmap_fixed
21,21,0.1520045647931822,SFA,logmap_fixed
22,22,0.08939747709259176,SFA,logmap_fixed
23,23,0.10016804123239456,SFA,logmap_fixed
24,24,0.1130878848138405,SFA,logmap_fixed
25,25,0.02462691967221851,SFA,logmap_fixed
26,26,0.034706474057496293,SFA,logmap_fixed
27,27,0.24782387277796405,SFA,logmap_fixed
28,28,0.044343827815691024,SFA,logmap_fixed
29,29,0.07935231525541331,SFA,logmap_fixed
30,30,0.12558521068576362,SFA,logmap_fixed
31,31,0.31383913432259586,SFA,logmap_fixed
32,32,0.03187314233755652,SFA,logmap_fixed
33,33,0.16462302968323306,SFA,logmap_fixed
34,34,0.04762600049964133,SFA,logmap_fixed
35,35,0.14919346290300148,SFA,logmap_fixed
36,36,0.04866898104393576,SFA,logmap_fixed
37,37,0.052282696799251946,SFA,logmap_fixed
38,38,0.036528756234238985,SFA,logmap_fixed
39,39,0.2049575399834913,SFA,logmap_fixed
40,40,0.0398991452061574,SFA,logmap_fixed
41,41,0.04846740886955955,SFA,logmap_fixed
42,42,0.04005514589858515,SFA,logmap_fixed
43,43,0.20148110250627113,SFA,logmap_fixed
44,44,0.022793791147039263,SFA,logmap_fixed
45,45,0.025878639548629713,SFA,logmap_fixed
46,46,0.04228839889963692,SFA,logmap_fixed
47,47,0.2881718843022013,SFA,logmap_fixed
48,48,0.23619289024251522,SFA,logmap_fixed
49,49,0.250362823665008,SFA,logmap_fixed
