,cc_pred,cc_valid,x_valid,x_past_valid,x_pred,Y_1_valid,Y_2_valid
0,2.1184025,-0.9398401190109135,0.5714929,-0.8932774,0.5600947,-1.0758588,0.17223002
1,1.5698266,0.4034215425148753,0.07117024,0.5714929,0.04425156,0.17223002,0.6400006
2,1.3469622,1.029679768982266,0.42839664,0.07117024,0.4171635,0.6400006,-0.45643184
3,1.888817,-0.3503308551437952,0.74704653,0.42839664,0.7450861,-0.45643184,1.0094472
4,1.2285378,1.2805988674793496,-0.8737451,0.74704653,-0.95564353,1.0094472,-1.628095
5,2.1133666,-1.201610922005121,0.66575307,-0.8737451,0.60327184,-1.628095,-1.5183779
6,1.8247317,-0.2881612902415426,0.3185141,0.66575307,0.25548327,-1.5183779,-1.1527675
7,1.2577648,1.3181858987944401,-0.016445527,0.3185141,-0.0092839,-1.1527675,-0.3344376
8,2.338574,-1.3438302880768742,1.5577356,-0.016445527,1.5311354,-0.3344376,1.4434991
9,1.9661239,-0.7417803852889958,-1.364874,1.5577356,-1.3544154,1.4434991,-1.5324799
10,1.466147,0.8032273556642333,-0.76554483,-1.364874,-0.72932494,-1.5324799,-1.2390774
11,1.6388441,0.27140369005410075,0.5074554,-0.76554483,0.4936713,-1.2390774,-0.39266375
12,1.2982271,1.184892090270494,-0.27252224,0.5074554,-0.25800908,-0.39266375,0.5229461
13,2.1117616,-0.8567748850703742,1.3006283,-0.27252224,1.306199,0.5229461,0.9088061
14,1.5245442,0.5840464175026079,-1.2355583,1.3006283,-1.2523088,0.9088061,-0.832923
15,1.4793177,0.7407706482331102,-0.43885309,-1.2355583,-0.45184195,-0.832923,0.30604124
16,1.5911022,0.418421032218427,0.76658434,-0.43885309,0.78278434,0.30604124,0.4838554
17,1.360701,1.0090557289551318,-0.7451,0.76658434,-0.76260006,0.4838554,-0.12438675
18,1.8555038,-0.28795232269104726,0.67398316,-0.7451,0.6600112,-0.12438675,1.1046033
19,1.3090264,1.3182945684153349,-0.71696186,0.67398316,-0.6123179,1.1046033,-1.3626356
20,2.3467073,-1.3442470180118953,0.9854337,-0.71696186,1.0037845,-1.3626356,-0.5826672
21,2.0735602,-0.7431901514627381,-0.097071186,0.9854337,-0.13067663,-0.5826672,1.0095631
22,1.4204615,0.8007573869483918,0.6390796,-0.097071186,0.63094723,1.0095631,-1.2803117
23,1.6169589,0.277418616215384,0.015877107,0.6390796,0.004233241,-1.2803117,-0.4970818
24,1.3036219,1.1788477670517026,0.40505403,0.015877107,0.40538085,-0.4970818,0.49158525
25,2.093553,-0.8358305951208886,1.0507296,0.40505403,1.0495576,0.49158525,0.9406822
26,1.5042855,0.6266366958193128,-1.2799939,1.0507296,-1.2574124,0.9406822,-0.95219535
27,1.4884338,0.6597605503357482,-0.5363484,-1.2799939,-0.54345906,-0.95219535,0.14152895
28,1.4960546,0.5933566745457297,0.651673,-0.5363484,0.6757492,0.14152895,0.5748289
29,1.466974,0.7234818129194206,-0.2902447,0.651673,-0.26028597,0.5748289,-0.12968978
30,1.5637342,0.45724843848916785,0.80176,-0.2902447,0.7819885,-0.12968978,0.7943108
31,1.3839821,0.9528356489580472,-0.79808784,0.80176,-0.8129178,0.7943108,-0.77876526
32,1.8179871,-0.12376789626382534,0.5558298,-0.79808784,0.5699223,-0.77876526,0.5847356
